,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,601668,中国建筑,5.55,2.97,0.16,0.0,0.56,3.49,2.97,12.70亿,413.20亿,2293.28亿,4.01
1,2,000753,漳州发展,4.58,2.92,0.13,-0.22,1.75,3.56,4.49,0.79亿,9.91亿,45.41亿,43.16
2,3,300374,中铁装配,14.41,2.56,0.36,-0.21,4.36,1.93,2.92,1.18亿,1.89亿,27.26亿,--
3,4,002596,海南瑞泽,3.7,2.49,0.09,-0.27,3.96,2.9,4.43,1.53亿,10.41亿,38.53亿,200.56
4,5,002116,中国海诚,12.47,2.46,0.3,0.0,5.26,3.62,7.81,2.75亿,4.16亿,51.93亿,22.94
5,6,600585,海螺水泥,30.58,1.97,0.59,-0.07,0.49,1.8,2.5,5.97亿,40.00亿,1223.11亿,9.79
6,7,601186,中国铁建,8.08,1.64,0.13,0.0,0.45,2.24,1.51,4.18亿,115.03亿,929.46亿,4.39
7,8,000002,万科A,17.55,1.21,0.21,-0.11,0.42,1.71,2.08,7.22亿,97.17亿,1705.40亿,8.98
8,9,603725,天安新材,7.88,1.16,0.09,0.25,0.83,1.97,2.57,0.13亿,2.05亿,16.18亿,65.94
9,10,000926,福星股份,4.49,1.13,0.05,0.0,0.78,1.7,1.13,0.33亿,9.35亿,41.98亿,52.81
10,11,000790,华神科技,4.97,1.02,0.05,0.2,1.43,1.97,1.83,0.44亿,6.19亿,30.77亿,90.34
11,12,601618,中国中冶,3.39,0.89,0.03,0.0,0.25,1.74,1.49,1.54亿,178.53亿,605.20亿,7.85
12,13,601886,江河集团,7.96,0.89,0.07,0.0,0.15,0.83,1.52,0.14亿,11.33亿,90.19亿,15.09
13,14,600248,陕西建工,4.58,0.88,0.04,0.0,0.56,1.16,0.88,0.37亿,14.51亿,66.44亿,4.04
14,15,600502,安徽建工,5.33,0.76,0.04,0.0,0.64,0.81,1.51,0.58亿,17.17亿,91.49亿,7.38
15,16,000498,山东路桥,8.15,0.74,0.06,0.12,0.6,1.09,1.85,0.72亿,14.58亿,118.82亿,5.08
16,17,000667,美好置业,1.39,0.72,0.01,0.0,0.29,0.44,0.72,0.10亿,24.39亿,33.91亿,--
17,18,600512,腾达建设,2.82,0.71,0.02,0.0,0.39,1.12,1.07,0.18亿,15.99亿,45.09亿,--
18,19,601155,新城控股,19.45,0.62,0.12,-0.05,0.43,1.12,1.91,1.88亿,22.56亿,438.72亿,9.82
19,20,002375,亚厦股份,4.9,0.62,0.03,0.41,0.42,1.09,1.23,0.27亿,13.31亿,65.22亿,21.34
20,21,600629,华建集团,5.53,0.55,0.03,0.0,7.04,7.12,5.64,3.67亿,9.38亿,51.86亿,15.92
21,22,002081,金螳螂,5.52,0.55,0.03,0.0,0.19,0.57,0.91,0.27亿,26.36亿,145.50亿,9.15
22,23,000797,中国武夷,3.76,0.54,0.02,0.27,1.13,0.76,1.07,0.66亿,15.70亿,59.04亿,169.97
23,24,600491,龙元建设,5.68,0.53,0.03,0.0,0.36,0.8,1.06,0.31亿,15.30亿,86.89亿,6.73
24,25,605287,德才股份,24.82,0.53,0.13,0.0,0.5,1.27,0.97,0.08亿,0.63亿,15.59亿,13.46
25,26,000786,北新建材,29.36,0.51,0.15,-0.34,0.13,0.68,2.23,0.61亿,16.32亿,479.29亿,15.87
26,27,002743,富煌钢构,5.94,0.51,0.03,0.0,0.44,0.79,0.68,0.11亿,4.34亿,25.81亿,25.27
27,28,002061,浙江交科,5.96,0.51,0.03,0.0,0.73,1.12,1.01,0.81亿,18.57亿,110.65亿,8.34
28,29,003001,中岩大地,16.44,0.43,0.07,0.06,1.35,1.28,0.92,0.11亿,0.49亿,8.11亿,--
29,30,000055,方大集团,5.16,0.39,0.02,0.19,0.59,1.04,0.97,0.21亿,6.76亿,34.88亿,19.41
30,31,600170,上海建工,2.7,0.37,0.01,-0.37,0.14,0.76,1.11,0.33亿,89.04亿,240.42亿,103.50
31,32,603030,全筑股份,2.74,0.37,0.01,-0.36,0.71,1.02,0.73,0.11亿,5.80亿,15.89亿,--
32,33,603828,柯利达,3.64,0.28,0.01,0.0,0.46,1.36,2.2,0.10亿,5.96亿,21.69亿,355.91
33,34,600510,黑牡丹,7.26,0.28,0.02,-0.14,0.53,0.87,1.24,0.39亿,10.15亿,73.69亿,23.85
34,35,600939,重庆建工,3.77,0.27,0.01,0.0,0.21,1.23,1.06,0.15亿,19.02亿,71.70亿,19.36
35,36,002628,成都路桥,3.77,0.27,0.01,-0.27,1.0,1.74,1.06,0.28亿,7.52亿,28.36亿,--
36,37,002047,宝鹰股份,4.11,0.24,0.01,-0.24,2.35,2.14,4.63,1.30亿,13.36亿,54.89亿,--
37,38,600496,精工钢构,4.23,0.24,0.01,0.24,0.44,1.0,0.95,0.37亿,20.13亿,85.14亿,9.76
38,39,300823,建科机械,18.26,0.22,0.04,0.17,0.91,0.6,0.71,0.06亿,0.38亿,6.97亿,40.04
39,40,002822,中装建设,5.05,0.2,0.01,0.0,0.79,0.68,1.79,0.26亿,6.51亿,32.87亿,--
40,41,605122,四方新材,15.83,0.19,0.03,0.0,0.78,1.26,0.76,0.07亿,0.59亿,9.29亿,40.39
41,42,002613,北玻股份,5.53,0.18,0.01,0.36,2.38,0.59,1.99,0.76亿,5.78亿,31.99亿,134.71
42,43,002620,瑞和股份,6.16,0.16,0.01,0.0,0.8,1.26,1.79,0.15亿,3.15亿,19.39亿,--
43,44,002909,集泰股份,9.96,0.1,0.01,0.4,6.61,3.01,5.93,2.43亿,3.62亿,36.01亿,404.03
44,45,003037,三和管桩,12.77,0.08,0.01,0.31,2.93,1.66,2.19,0.34亿,0.91亿,11.62亿,36.81
45,46,301024,霍普股份,25.63,0.04,0.01,0.12,1.19,0.57,1.76,0.05亿,0.18亿,4.55亿,--
46,47,836149,旭杰科技,4.17,0.0,0.0,0.0,0.0,0.01,0.0,0.00亿,0.48亿,2.00亿,--
47,48,300621,维业股份,9.44,0.0,0.0,0.0,0.44,0.83,2.23,0.08亿,1.94亿,18.32亿,695.88
48,49,300564,筑博设计,13.22,-0.08,-0.01,-0.08,0.29,0.7,0.83,0.04亿,1.09亿,14.39亿,18.94
49,50,002761,浙江建投,22.31,-0.09,-0.02,0.0,0.84,0.73,0.98,0.93亿,4.93亿,109.90亿,17.49
50,51,300732,设研院,9.89,-0.1,-0.01,0.1,0.41,0.94,0.81,0.13亿,3.22亿,31.89亿,15.97
51,52,002135,东南网架,6.86,-0.15,-0.01,0.0,0.33,0.88,0.58,0.25亿,10.94亿,75.04亿,15.93
52,53,001212,中旗新材,29.96,-0.17,-0.05,0.03,1.18,0.89,1.8,0.20亿,0.56亿,16.70亿,39.69
53,54,002205,国统股份,11.69,-0.17,-0.02,0.09,1.52,0.83,1.88,0.33亿,1.86亿,21.73亿,--
54,55,300746,汉嘉设计,10.05,-0.2,-0.02,0.0,0.28,0.79,1.59,0.06亿,2.21亿,22.22亿,45.92
55,56,603183,建研院,4.8,-0.21,-0.01,-0.21,0.53,0.86,0.83,0.12亿,4.92亿,23.59亿,273.26
56,57,002811,郑中设计,8.15,-0.24,-0.02,0.0,0.18,0.77,1.35,0.04亿,2.47亿,20.15亿,--
57,58,603017,中衡设计,10.27,-0.29,-0.03,0.1,0.26,0.66,1.36,0.07亿,2.76亿,28.34亿,25.83
58,59,301227,森鹰窗业,33.24,-0.3,-0.1,-0.12,1.33,0.84,3.21,0.09亿,0.21亿,6.99亿,27.28
59,60,000859,国风新材,5.93,-0.34,-0.02,0.0,0.45,1.49,1.51,0.24亿,8.96亿,53.12亿,22.21
60,61,603385,惠达卫浴,8.83,-0.34,-0.03,0.0,1.47,2.05,3.73,0.49亿,3.71亿,32.79亿,26.75
61,62,301149,隆华新材,11.61,-0.34,-0.04,-0.09,1.02,1.07,0.77,0.22亿,1.85亿,21.50亿,36.89
62,63,600477,杭萧钢构,5.78,-0.34,-0.02,0.0,1.08,0.69,2.07,1.49亿,23.69亿,136.93亿,44.72
63,64,003013,地铁设计,17.35,-0.34,-0.06,0.06,1.06,0.8,0.8,0.11亿,0.60亿,10.45亿,20.13
64,65,301167,建研设计,24.74,-0.36,-0.09,-0.12,0.72,0.8,0.81,0.10亿,0.56亿,13.85亿,27.22
65,66,601789,宁波建工,5.19,-0.38,-0.02,-0.19,2.18,0.74,1.73,1.23亿,10.87亿,56.40亿,18.69
66,67,002593,日上集团,4.09,-0.49,-0.02,0.0,1.27,0.76,1.22,0.24亿,4.63亿,18.95亿,47.63
67,68,300117,嘉寓股份,4.02,-0.49,-0.02,0.25,1.11,1.03,1.49,0.32亿,7.17亿,28.81亿,32.52
68,69,300935,盈建科,30.2,-0.53,-0.16,0.03,1.07,1.07,2.04,0.13亿,0.40亿,11.93亿,--
69,70,002809,红墙股份,10.93,-0.55,-0.06,0.0,0.88,0.86,1.36,0.13亿,1.36亿,14.89亿,27.24
70,71,605318,法狮龙,15.16,-0.59,-0.09,0.0,0.79,0.8,1.11,0.05亿,0.39亿,5.94亿,92.21
71,72,300675,建科院,16.3,-0.61,-0.1,0.0,0.89,0.92,1.52,0.21亿,1.47亿,23.91亿,110.63
72,73,002949,华阳国际,15.33,-0.78,-0.12,-0.07,0.88,2.0,1.42,0.20亿,1.49亿,22.86亿,15.63
73,74,002398,垒知集团,6.29,-0.79,-0.05,0.0,0.96,2.06,1.42,0.35亿,5.77亿,36.28亿,16.14
74,75,002541,鸿路钢构,33.11,-0.96,-0.32,0.09,0.23,0.73,1.89,0.37亿,4.92亿,162.82亿,19.61
75,76,300986,志特新材,40.82,-0.97,-0.4,-0.44,0.43,0.59,2.52,0.12亿,0.70亿,28.58亿,39.35
76,77,301010,晶雪节能,19.63,-1.01,-0.2,-0.05,0.79,0.9,1.41,0.08亿,0.51亿,9.94亿,84.15
77,78,002482,ST广田,1.91,-1.04,-0.02,0.0,0.29,1.01,1.55,0.08亿,15.29亿,29.21亿,--
78,79,301027,华蓝集团,14.94,-1.06,-0.16,0.0,0.81,1.04,1.46,0.12亿,1.01亿,15.14亿,40.98
79,80,603007,ST花王,4.42,-1.12,-0.05,0.0,0.19,1.33,1.57,0.03亿,3.33亿,14.74亿,--
80,81,300767,震安科技,52.07,-1.25,-0.66,0.02,0.23,0.54,1.73,0.24亿,2.04亿,106.42亿,122.54
81,82,300977,深圳瑞捷,21.07,-1.31,-0.28,-0.05,2.4,1.88,1.08,0.13亿,0.26亿,5.40亿,112.74
82,83,300019,硅宝科技,18.53,-1.33,-0.25,0.11,1.18,0.68,1.44,0.71亿,3.24亿,60.09亿,28.97
83,84,002789,建艺集团,16.13,-1.65,-0.27,-0.06,2.01,1.08,1.77,0.32亿,0.99亿,15.97亿,75.12
84,85,300500,启迪设计,17.23,-2.21,-0.39,0.17,1.77,1.07,3.18,0.50亿,1.64亿,28.31亿,36.11
85,86,002713,东易日盛,7.16,-2.58,-0.19,0.0,3.47,0.9,2.72,1.01亿,4.05亿,28.97亿,--
