,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300404,博济医药,10.89,9.12,0.91,1.02,11.01,4.65,11.32,3.14亿,2.69亿,29.34亿,140.66
1,2,688131,皓元医药,128.52,5.09,6.22,-0.75,1.33,2.87,6.39,1.02亿,0.60亿,77.59亿,65.33
2,3,300683,海特生物,40.68,2.86,1.13,0.0,0.83,2.98,4.12,0.38亿,1.13亿,45.79亿,212.18
3,4,688137,近岸蛋白,85.5,2.76,2.3,-0.13,2.76,2.12,3.02,0.38亿,0.16亿,13.91亿,49.94
4,5,300887,谱尼测试,38.3,2.71,1.01,-0.1,1.51,2.46,4.1,0.58亿,1.02亿,39.02亿,45.62
5,6,301047,义翘神州,113.39,2.71,2.99,0.01,1.17,2.82,4.5,0.78亿,0.58亿,66.29亿,39.82
6,7,688247,宣泰医药,16.44,2.43,0.39,-0.12,8.35,3.62,4.36,0.56亿,0.41亿,6.73亿,83.3
7,8,688117,圣诺生物,27.38,1.94,0.52,-0.26,1.33,1.79,3.02,0.16亿,0.45亿,12.24亿,42.12
8,9,603127,昭衍新药,58.72,1.86,1.07,-0.31,1.08,2.56,3.04,2.85亿,4.50亿,264.34亿,37.33
9,10,300363,博腾股份,47.21,1.83,0.85,-0.44,1.46,2.27,2.74,3.42亿,5.00亿,235.93亿,12.25
10,11,300759,康龙化成,66.92,1.58,1.04,-0.31,0.66,1.42,4.14,4.16亿,9.46亿,632.86亿,62.21
11,12,300149,睿智医药,11.22,1.45,0.16,0.0,0.73,1.57,1.63,0.40亿,4.99亿,55.98亿,4.11
12,13,600222,太龙药业,6.49,1.41,0.09,0.0,1.61,2.23,2.03,0.60亿,5.74亿,37.25亿,--
13,14,688202,美迪西,196.92,1.34,2.61,-0.18,0.82,1.48,2.11,0.95亿,0.59亿,117.03亿,46.21
14,15,002821,凯莱英,151.61,1.14,1.71,-0.46,0.97,1.89,3.05,4.80亿,3.27亿,496.02亿,15.46
15,16,300725,药石科技,79.76,1.0,0.79,0.03,0.45,1.02,1.87,0.60亿,1.68亿,134.36亿,47.85
16,17,002693,双成药业,7.59,0.93,0.07,-0.26,1.22,1.87,2.0,0.38亿,4.08亿,30.98亿,--
17,18,603456,九洲药业,40.28,0.9,0.36,-0.12,0.3,1.43,2.25,0.99亿,8.31亿,334.82亿,36.56
18,19,301096,百诚医药,67.69,0.86,0.58,-0.1,1.01,1.6,1.91,0.47亿,0.69亿,46.41亿,37.81
19,20,301201,诚达药业,54.96,0.84,0.46,-0.2,0.91,1.88,1.47,0.26亿,0.52亿,28.85亿,43.30
20,21,000813,德展健康,3.91,0.77,0.03,0.26,0.81,1.57,2.32,0.71亿,22.18亿,86.71亿,98.74
21,22,600721,百花医药,6.74,0.75,0.05,0.0,0.51,1.28,1.34,0.13亿,3.78亿,25.46亿,173.62
22,23,300497,富祥药业,13.11,0.69,0.09,0.0,0.54,1.12,1.23,0.31亿,4.46亿,58.41亿,117.82
23,24,603259,药明康德,87.5,0.63,0.55,-0.48,0.31,1.57,1.82,6.89亿,25.59亿,2239.02亿,26.33
24,25,300412,迦南科技,6.44,0.62,0.04,0.0,1.35,1.68,1.56,0.41亿,4.72亿,30.43亿,63.35
25,26,688222,成都先导,15.27,0.59,0.09,-0.07,0.2,1.55,1.12,0.08亿,2.80亿,42.78亿,440.03
26,27,301277,新天地,31.91,0.44,0.14,0.0,2.59,1.15,1.26,0.26亿,0.32亿,10.10亿,35.74
27,28,300347,泰格医药,116.66,0.38,0.44,-0.29,0.38,1.06,2.38,2.48亿,5.70亿,664.83亿,47.57
28,29,688621,阳光诺和,106.16,0.34,0.36,0.0,0.16,0.53,1.57,0.10亿,0.57亿,60.44亿,53.66
29,30,688076,诺泰生物,30.1,0.23,0.07,-0.69,1.11,0.61,2.73,0.47亿,1.43亿,43.11亿,90.47
30,31,301333,诺思格,113.02,0.04,0.04,0.05,0.72,0.49,2.67,0.12亿,0.15亿,16.95亿,60.66
31,32,603739,蔚蓝生物,14.54,-0.14,-0.02,-0.14,0.14,0.72,0.96,0.05亿,2.52亿,36.70亿,50.78
32,33,688238,和元生物,21.11,-1.12,-0.24,-0.14,1.4,1.51,2.44,0.21亿,0.73亿,15.34亿,230.24
33,34,300012,华测检测,21.95,-1.57,-0.35,-0.18,0.17,1.19,1.34,0.58亿,15.23亿,334.36亿,41.76
34,35,301230,泓博医药,64.61,-3.0,-2.0,-0.29,3.95,3.01,3.86,0.42亿,0.16亿,10.61亿,97.58
