,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300078,思创医惠,5.9,3.51,0.2,0.17,7.98,5.88,5.79,3.61亿,7.75亿,45.75亿,816.14
1,2,603716,塞力医疗,11.23,2.0,0.22,0.0,2.44,5.18,2.63,0.55亿,2.01亿,22.61亿,--
2,3,002777,久远银海,19.5,1.77,0.34,1.56,1.3,1.42,3.24,0.99亿,3.99亿,77.89亿,47.73
3,4,300096,易联众,7.35,1.66,0.12,0.69,4.71,2.72,3.73,1.30亿,3.77亿,27.67亿,--
4,5,300451,创业慧康,8.97,1.36,0.12,0.67,0.54,1.11,2.49,0.65亿,13.57亿,121.75亿,60.98
5,6,300253,卫宁健康,11.0,1.2,0.13,0.64,0.6,1.68,2.76,1.21亿,18.49亿,203.34亿,126.53
6,7,000503,国新健康,11.02,1.01,0.11,0.18,0.51,1.61,1.83,0.50亿,8.99亿,99.05亿,--
7,8,688246,嘉和美康,38.32,0.87,0.33,-0.34,1.26,1.63,3.24,0.48亿,1.00亿,38.27亿,2684.88
8,9,002065,东华软件,6.77,0.59,0.04,0.3,0.56,1.37,1.34,1.10亿,29.04亿,196.61亿,33.65
9,10,300168,万达信息,10.24,0.39,0.04,0.59,0.49,1.15,1.76,0.59亿,11.83亿,121.16亿,--
10,11,600718,东软集团,11.19,-0.27,-0.03,0.54,0.67,1.35,1.34,0.90亿,12.04亿,134.69亿,79.78
11,12,300290,荣科科技,5.19,-0.38,-0.02,0.39,0.75,1.25,1.73,0.24亿,6.24亿,32.37亿,83.82
12,13,688579,山大地纬,11.55,-1.11,-0.13,0.87,0.68,1.16,3.0,0.22亿,2.82亿,32.53亿,141.09
13,14,301117,佳缘科技,80.96,-1.78,-1.47,0.07,0.81,0.6,3.17,0.28亿,0.43亿,34.43亿,152.96
