,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002970,锐明技术,29.02,10.01,2.64,0.0,5.25,4.96,2.73,1.63亿,1.08亿,31.28亿,--
1,2,300807,天迈科技,28.18,8.26,2.15,1.0,9.4,7.9,11.56,1.24亿,0.49亿,13.71亿,--
2,3,002212,天融信,11.97,0.59,0.07,0.59,0.63,1.52,2.27,0.87亿,11.68亿,139.78亿,--
3,4,601360,三六零,11.25,0.45,0.05,0.27,3.4,1.65,4.2,26.77亿,71.45亿,803.85亿,--
4,5,002355,兴民智通,4.73,0.42,0.02,0.0,0.52,0.78,1.7,0.15亿,6.17亿,29.19亿,--
5,6,301308,江波龙,73.43,0.4,0.29,0.12,5.79,1.43,3.39,1.43亿,0.34亿,24.67亿,108.63
6,7,600081,东风科技,11.43,0.35,0.04,0.09,0.27,1.16,0.97,0.10亿,3.14亿,35.84亿,57.17
7,8,603023,威帝股份,4.32,0.23,0.01,-0.23,0.27,1.26,0.7,0.07亿,5.62亿,24.28亿,986.32
8,9,002055,得润电子,10.21,-0.1,-0.01,0.1,0.63,1.22,1.17,0.38亿,5.89亿,60.17亿,--
9,10,002232,启明信息,14.99,-0.53,-0.08,0.34,0.74,0.82,1.19,0.45亿,4.09亿,61.24亿,68.03
10,11,603936,博敏电子,14.95,-0.53,-0.08,0.13,0.94,0.75,1.8,0.72亿,5.11亿,76.40亿,44.09
11,12,300077,国民技术,16.9,-0.59,-0.1,0.24,1.68,1.25,2.65,1.57亿,5.55亿,93.81亿,2498.05
12,13,300735,光弘科技,10.42,-0.67,-0.07,0.0,0.4,1.21,1.43,0.31亿,7.53亿,78.43亿,30.08
13,14,300458,全志科技,24.54,-0.69,-0.17,0.08,1.67,1.16,2.79,2.10亿,5.08亿,124.55亿,52.23
14,15,600699,均胜电子,16.18,-0.74,-0.12,0.0,0.51,1.52,1.53,1.14亿,13.68亿,221.36亿,126.75
15,16,300563,神宇股份,12.91,-1.22,-0.16,0.0,1.36,1.31,1.99,0.22亿,1.23亿,15.85亿,38.26
16,17,300188,美亚柏科,15.96,-3.15,-0.52,0.25,1.28,2.13,1.88,1.48亿,7.24亿,115.59亿,--
17,18,688288,鸿泉物联,24.01,-3.23,-0.8,0.33,1.85,1.35,5.0,0.32亿,0.71亿,17.16亿,--
