,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,001339,智微智能,31.72,9.99,2.88,0.0,18.09,2.63,2.46,3.52亿,0.62亿,19.59亿,58.99
1,2,603869,新智认知,10.6,6.0,0.6,2.22,2.15,3.31,6.8,1.12亿,5.05亿,53.48亿,121.36
2,3,002373,千方科技,11.99,4.26,0.49,0.17,1.49,3.2,5.22,2.40亿,13.74亿,164.68亿,--
3,4,300379,东方通,25.57,4.16,1.02,0.47,2.89,2.96,4.85,3.13亿,4.33亿,110.75亿,--
4,5,002401,中远海科,17.75,3.08,0.53,0.57,7.17,1.59,7.72,4.57亿,3.66亿,64.88亿,30.61
5,6,300603,立昂技术,13.49,2.59,0.34,0.6,12.89,1.4,9.05,4.38亿,2.53亿,34.16亿,77.86
6,7,000948,南天信息,24.9,2.38,0.58,0.24,5.74,2.0,4.93,4.67亿,3.35亿,83.29亿,151.16
7,8,300075,数字政通,21.12,1.25,0.26,0.0,3.82,1.37,2.97,3.31亿,4.15亿,87.68亿,45.18
8,9,002316,*ST亚联,3.57,1.13,0.04,0.28,0.7,1.0,1.7,0.07亿,2.92亿,10.42亿,--
9,10,600271,航天信息,12.64,0.96,0.12,0.32,0.48,1.69,2.0,1.11亿,18.53亿,234.21亿,48.76
10,11,600035,楚天高速,3.41,0.89,0.03,0.0,0.5,1.86,1.18,0.27亿,16.10亿,54.90亿,6.49
11,12,601801,皖新传媒,5.72,0.88,0.05,0.18,0.32,1.18,2.65,0.36亿,19.89亿,113.78亿,10.27
12,13,300205,天喻信息,13.28,0.61,0.08,0.15,1.18,1.36,2.27,0.66亿,4.26亿,56.57亿,48.90
13,14,002104,恒宝股份,8.83,0.11,0.01,0.23,1.89,0.94,1.25,0.98亿,5.91亿,52.15亿,63.69
14,15,300020,银江技术,7.76,0.0,0.0,0.26,1.36,1.17,1.42,0.66亿,6.27亿,48.68亿,47.73
15,16,002654,万润科技,5.34,0.0,0.0,0.19,1.69,1.12,2.44,0.69亿,7.64亿,40.81亿,--
16,17,603458,勘设股份,10.21,0.0,0.0,0.0,0.29,1.0,0.49,0.09亿,3.11亿,31.79亿,18.16
17,18,002217,合力泰,2.92,0.0,0.0,0.0,0.43,0.79,1.03,0.39亿,31.09亿,90.79亿,--
18,19,002484,江海股份,24.16,-0.04,-0.01,-0.04,0.27,0.91,2.48,0.50亿,7.87亿,190.25亿,31.23
19,20,300717,华信新材,16.58,-0.06,-0.01,0.0,0.52,0.98,1.21,0.09亿,1.02亿,16.89亿,37.01
20,21,002941,新疆交建,13.64,-0.07,-0.01,0.07,0.57,1.41,1.39,0.50亿,6.40亿,87.30亿,29.73
21,22,300079,数码视讯,6.24,-0.16,-0.01,0.48,2.82,0.94,3.04,2.23亿,12.67亿,79.06亿,88.60
22,23,300448,浩云科技,5.68,-0.18,-0.01,0.0,0.66,0.8,1.58,0.18亿,4.78亿,27.13亿,250.78
23,24,002682,龙洲股份,5.06,-0.2,-0.01,0.0,2.37,0.61,1.77,0.67亿,5.58亿,28.24亿,--
24,25,000997,新大陆,16.44,-0.24,-0.04,0.31,0.48,0.64,0.85,0.81亿,10.26亿,168.73亿,34.19
25,26,301339,通行宝,21.09,-0.28,-0.06,0.52,5.06,1.38,1.75,0.59亿,0.56亿,11.88亿,60.26
26,27,002331,皖通科技,7.74,-0.39,-0.03,0.39,1.31,1.21,1.8,0.39亿,3.89亿,30.13亿,--
27,28,300184,力源信息,5.14,-0.39,-0.02,0.0,1.25,0.85,1.36,0.68亿,10.48亿,53.89亿,20.48
28,29,300541,先进数通,14.33,-0.56,-0.08,0.07,6.25,1.34,2.64,2.25亿,2.55亿,36.52亿,84.63
29,30,600106,重庆路桥,5.34,-0.56,-0.03,0.19,0.73,1.88,2.61,0.52亿,13.29亿,70.97亿,38.16
30,31,002436,兴森科技,12.07,-0.58,-0.07,0.08,1.22,0.9,2.64,1.91亿,12.99亿,156.75亿,29.50
31,32,300552,万集科技,22.85,-0.78,-0.18,0.18,0.67,0.53,1.56,0.19亿,1.26亿,28.76亿,--
32,33,000909,数源科技,9.91,-0.9,-0.09,0.3,3.72,1.63,2.3,1.42亿,3.87亿,38.39亿,362.68
33,34,300462,华铭智能,10.85,-0.91,-0.1,0.09,0.7,0.93,2.1,0.10亿,1.37亿,14.82亿,--
34,35,300790,宇瞳光学,18.03,-0.93,-0.17,-0.06,0.41,1.7,2.25,0.18亿,2.50亿,45.09亿,48.18
35,36,603068,博通集成,34.14,-1.04,-0.36,-0.03,1.69,1.3,2.03,0.87亿,1.50亿,51.36亿,--
36,37,002049,紫光国微,118.68,-1.23,-1.48,-0.08,0.79,1.25,1.82,7.96亿,8.50亿,1008.31亿,37.06
37,38,002869,金溢科技,26.5,-1.56,-0.42,0.3,1.83,1.32,3.57,0.73亿,1.51亿,40.06亿,273.26
38,39,300376,易事特,7.81,-2.38,-0.19,0.39,1.21,2.38,1.88,2.20亿,23.25亿,181.55亿,34.17
39,40,300520,科大国创,26.37,-4.28,-1.18,-0.34,11.24,1.33,3.85,6.85亿,2.32亿,61.11亿,89.00
