,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600018,上港集团,5.3,0.38,0.02,0.0,0.02,1.1,0.57,0.26亿,231.74亿,1228.20亿,7.11
1,2,600582,天地科技,5.27,0.19,0.01,0.0,0.13,0.91,0.76,0.28亿,41.39亿,218.10亿,10.22
2,3,300571,平治信息,40.89,0.07,0.03,-0.78,4.7,2.67,7.32,2.24亿,1.16亿,47.27亿,22.90
3,4,000988,华工科技,20.14,0.05,0.01,0.15,0.43,1.08,1.39,0.87亿,10.05亿,202.40亿,21.03
4,5,601608,中信重工,3.79,0.0,0.0,0.0,0.06,0.69,0.53,0.09亿,43.39亿,164.46亿,63.87
5,6,002429,兆驰股份,4.37,0.0,0.0,0.23,0.35,2.35,1.83,0.69亿,44.96亿,196.49亿,16.84
6,7,300308,中际旭创,35.7,-0.22,-0.08,0.28,1.13,1.06,3.19,3.03亿,7.48亿,267.16亿,25.16
7,8,603118,共进股份,9.52,-0.42,-0.04,-0.11,0.32,1.19,1.25,0.24亿,7.82亿,74.44亿,16.11
8,9,300504,天邑股份,18.65,-0.43,-0.08,0.16,0.67,1.42,1.12,0.27亿,2.14亿,39.88亿,18.06
9,10,603042,华脉科技,11.2,-0.53,-0.06,0.09,0.46,1.17,1.42,0.08亿,1.61亿,17.99亿,--
10,11,300252,金信诺,8.35,-0.83,-0.07,-0.12,0.49,1.02,1.19,0.18亿,4.42亿,36.93亿,97.16
11,12,000810,创维数字,16.11,-0.92,-0.15,0.0,0.62,1.12,1.42,1.11亿,11.17亿,179.99亿,19.66
12,13,603803,瑞斯康达,7.56,-1.31,-0.1,0.0,0.31,1.2,1.44,0.10亿,4.21亿,31.83亿,53.67
13,14,600487,亨通光电,14.83,-1.33,-0.2,-0.07,1.1,2.01,2.33,4.03亿,24.67亿,365.82亿,19.33
14,15,002396,星网锐捷,23.26,-1.81,-0.43,0.0,1.38,1.98,1.98,1.89亿,5.83亿,135.67亿,18.48
15,16,301183,东田微,26.36,-1.82,-0.49,-0.04,3.45,1.18,3.35,0.18亿,0.20亿,5.27亿,65.27
16,17,301191,菲菱科思,91.65,-2.29,-2.15,-0.48,6.28,1.22,2.86,0.77亿,0.13亿,12.23亿,23.34
17,18,688313,仕佳光子,12.03,-2.59,-0.32,0.33,2.2,1.1,2.35,0.86亿,3.25亿,39.07亿,61.49
18,19,300548,博创科技,21.64,-2.65,-0.59,0.28,2.48,1.18,2.25,1.16亿,2.15亿,46.61亿,34.28
19,20,603083,剑桥科技,15.77,-2.95,-0.48,0.0,5.8,1.58,3.63,2.34亿,2.54亿,40.03亿,41.88
20,21,002902,铭普光磁,16.26,-3.16,-0.53,-0.37,4.78,2.24,1.91,1.16亿,1.49亿,24.31亿,45.66
21,22,002281,光迅科技,22.9,-3.82,-0.91,0.66,3.64,1.87,4.03,5.67亿,6.74亿,154.38亿,24.36
22,23,300250,初灵信息,22.99,-5.62,-1.37,1.28,27.16,3.34,6.53,9.88亿,1.59亿,36.63亿,357.01
