,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688262,国芯科技,63.08,8.53,4.96,-0.65,3.61,3.24,11.68,4.12亿,1.87亿,118.04亿,117.48
1,2,300223,北京君正,84.4,4.58,3.7,0.05,2.5,3.45,6.17,8.59亿,4.10亿,346.19亿,41.66
2,3,603893,瑞芯微,90.5,1.25,1.12,-0.28,0.5,1.46,3.62,1.84亿,4.15亿,375.99亿,102.71
3,4,688391,钜泉科技,125.6,1.0,1.24,0.36,5.2,2.4,3.63,0.81亿,0.12亿,15.33亿,36.64
4,5,000333,美的集团,51.68,0.64,0.33,-0.08,0.11,1.09,1.5,3.85亿,68.53亿,3541.67亿,11.08
5,6,300484,蓝海华腾,16.35,0.49,0.08,0.43,7.52,1.72,5.35,1.99亿,1.60亿,26.19亿,40.86
6,7,000651,格力电器,34.7,0.46,0.16,0.09,0.13,1.12,0.78,2.50亿,55.87亿,1938.86亿,8.01
7,8,603501,韦尔股份,94.88,0.43,0.41,-0.21,0.45,1.6,2.34,4.98亿,11.80亿,1119.33亿,39.19
8,9,000559,万向钱潮,5.36,0.38,0.02,0.19,0.12,0.79,0.94,0.18亿,27.53亿,147.56亿,21.6
9,10,002448,中原内配,5.96,0.17,0.01,0.0,0.46,0.93,0.67,0.13亿,4.72亿,28.16亿,18.46
10,11,603986,兆易创新,116.91,0.12,0.14,-0.26,0.88,1.71,3.4,6.82亿,6.63亿,775.44亿,27.96
11,12,603421,鼎信通讯,10.28,0.1,0.01,0.1,0.25,0.89,1.95,0.16亿,6.52亿,67.05亿,67.38
12,13,002180,纳思达,56.7,0.09,0.05,-0.28,0.21,0.98,2.24,1.43亿,12.06亿,684.08亿,38.81
13,14,688018,乐鑫科技,116.2,0.07,0.08,0.19,0.55,0.88,3.01,0.52亿,0.80亿,93.52亿,83.65
14,15,300287,飞利信,4.17,0.0,0.0,0.0,2.51,1.47,2.16,1.35亿,12.84亿,53.55亿,--
15,16,688385,复旦微电,69.82,-0.04,-0.03,0.04,1.12,1.22,3.28,2.35亿,2.99亿,208.88亿,49.77
16,17,002405,四维图新,13.0,-0.08,-0.01,-0.08,0.84,1.12,1.77,2.53亿,22.98亿,298.73亿,--
17,18,688396,华润微,57.42,-0.09,-0.05,-0.1,0.42,1.45,1.79,1.07亿,4.41亿,253.28亿,27.64
18,19,600460,士兰微,36.45,-0.11,-0.04,-0.08,0.65,1.39,2.44,3.32亿,14.16亿,516.16亿,49.99
19,20,688416,恒烁股份,52.42,-0.15,-0.08,-0.34,10.83,0.91,4.25,1.02亿,0.18亿,9.44亿,69.66
20,21,600171,上海贝岭,19.97,-0.2,-0.04,-0.1,0.78,1.01,1.6,1.09亿,7.02亿,140.22亿,28.70
21,22,688047,龙芯中科,122.03,-0.22,-0.27,0.26,3.93,1.04,3.74,1.56亿,0.33亿,40.03亿,502.42
22,23,300184,力源信息,5.14,-0.39,-0.02,0.2,1.2,0.96,1.36,0.64亿,10.48亿,53.89亿,20.48
23,24,300671,富满微,48.29,-0.39,-0.19,-0.31,1.26,1.04,3.09,1.32亿,2.17亿,104.80亿,106.58
24,25,300386,飞天诚信,11.21,-0.44,-0.05,-0.09,1.03,1.42,1.51,0.28亿,2.42亿,27.15亿,--
25,26,600060,海信视像,15.47,-0.52,-0.08,-0.13,0.12,0.62,1.03,0.24亿,12.89亿,199.42亿,13.71
26,27,688595,芯海科技,47.01,-0.57,-0.27,-0.53,1.0,1.29,2.64,0.37亿,0.79亿,37.27亿,1568.04
27,28,603160,汇顶科技,57.72,-0.6,-0.35,-0.24,0.46,1.16,1.88,1.20亿,4.58亿,264.35亿,--
28,29,300327,中颖电子,41.89,-0.64,-0.27,-0.19,0.82,1.32,2.87,1.17亿,3.38亿,141.73亿,34.60
29,30,300458,全志科技,24.52,-0.77,-0.19,-0.24,1.71,1.06,2.79,2.14亿,5.08亿,124.45亿,52.18
30,31,688766,普冉股份,170.2,-0.99,-1.71,-0.17,0.47,0.8,3.52,0.22亿,0.27亿,46.61亿,46.84
31,32,688049,炬芯科技,33.53,-1.06,-0.36,-0.15,1.87,1.13,3.51,0.57亿,0.90亿,30.06亿,63.05
32,33,300077,国民技术,16.81,-1.12,-0.19,-0.47,1.74,1.16,2.65,1.63亿,5.55亿,93.31亿,2484.75
33,34,688380,中微半导,30.71,-1.19,-0.37,-0.1,2.36,1.07,1.58,0.41亿,0.57亿,17.44亿,131.25
34,35,603068,博通集成,34.07,-1.25,-0.43,-0.23,1.63,1.48,2.03,0.83亿,1.50亿,51.25亿,--
35,36,300455,康拓红外,9.32,-1.48,-0.14,-0.11,0.35,1.14,1.48,0.23亿,7.09亿,66.04亿,209.32
36,37,603015,弘讯科技,7.82,-1.64,-0.13,0.13,1.27,1.55,3.15,0.40亿,4.04亿,31.61亿,54.66
37,38,300183,东软载波,18.0,-2.07,-0.38,0.11,2.54,1.65,6.37,1.53亿,3.35亿,60.38亿,68.55
38,39,300681,英搏尔,42.62,-2.6,-1.14,-0.19,1.74,1.6,1.87,0.86亿,1.15亿,49.04亿,164.92
39,40,300474,景嘉微,82.2,-4.51,-3.88,0.05,3.47,1.18,2.94,9.08亿,3.17亿,260.63亿,161.87
