,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300459,汤姆猫,4.44,14.43,0.56,-0.45,16.46,4.88,13.4,21.91亿,30.01亿,133.24亿,29.24
1,2,601990,南京证券,9.52,10.06,0.87,0.0,6.03,13.39,10.64,20.41亿,36.20亿,344.62亿,49.14
2,3,603927,中科软,35.72,10.01,3.25,0.0,2.36,6.7,11.03,4.88亿,5.94亿,212.03亿,52.15
3,4,002131,利欧股份,2.17,9.04,0.18,0.0,8.65,4.14,10.55,10.69亿,58.35亿,126.61亿,--
4,5,002555,三七互娱,24.04,7.75,1.73,0.0,2.93,4.28,7.08,11.26亿,16.36亿,393.18亿,17.72
5,6,600536,中国软件,80.92,7.74,5.81,0.03,5.84,3.83,11.88,29.38亿,6.43亿,520.26亿,--
6,7,600066,宇通客车,9.16,7.51,0.64,0.11,2.83,7.98,9.27,5.69亿,22.14亿,202.80亿,116.27
7,8,601799,星宇股份,144.61,7.31,9.85,-0.19,0.86,4.89,7.87,3.49亿,2.86亿,413.12亿,41.09
8,9,000977,浪潮信息,39.98,7.16,2.67,-0.18,11.79,2.24,7.16,67.13亿,14.62亿,584.45亿,28.39
9,10,300223,北京君正,86.21,6.83,5.51,0.26,3.09,3.12,7.52,10.64亿,4.10亿,353.61亿,42.55
10,11,600050,中国联通,5.38,6.54,0.33,0.19,1.56,3.39,9.51,25.51亿,309.62亿,1665.78亿,18.78
11,12,000063,中兴通讯,30.89,6.15,1.79,-0.03,1.73,3.4,6.98,20.67亿,39.80亿,1229.39亿,16.09
12,13,002368,太极股份,40.86,5.72,2.21,-0.54,3.58,2.37,11.56,8.40亿,5.88亿,240.15亿,154.38
13,14,002024,ST易购,2.3,5.02,0.11,0.0,0.71,8.06,4.57,1.28亿,78.83亿,181.32亿,--
14,15,002603,以岭药业,30.82,5.01,1.47,0.0,7.57,5.58,7.43,31.69亿,13.76亿,424.08亿,27.30
15,16,002415,海康威视,37.78,4.42,1.6,0.4,0.51,3.23,5.06,17.15亿,91.09亿,3441.29亿,30.01
16,17,603444,吉比特,387.95,4.36,16.2,0.28,1.0,3.59,5.79,2.78亿,0.72亿,278.81亿,20.67
17,18,300413,芒果超媒,35.77,4.29,1.47,0.03,0.86,2.21,5.98,3.11亿,10.22亿,365.46亿,29.90
18,19,002373,千方科技,11.99,4.26,0.49,0.17,1.58,2.94,5.22,2.55亿,13.74亿,164.68亿,--
19,20,603939,益丰药房,59.3,4.24,2.41,-0.77,2.22,8.92,5.77,9.86亿,7.19亿,426.14亿,38.97
20,21,300033,同花顺,129.18,4.18,5.18,0.1,1.53,2.43,6.47,5.33亿,2.72亿,350.78亿,59.02
