,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300459,汤姆猫,4.44,14.43,0.56,-0.45,15.73,6.53,13.4,20.93亿,30.01亿,133.24亿,29.24
1,2,002425,凯撒文化,5.89,10.09,0.54,0.0,3.03,2.65,10.09,1.67亿,9.56亿,56.31亿,--
2,3,002555,三七互娱,23.89,7.08,1.58,-0.13,2.52,5.15,6.72,9.64亿,16.36亿,390.73亿,17.61
3,4,600640,国脉文化,11.72,6.64,0.73,2.27,1.41,5.28,8.01,1.27亿,7.96亿,93.26亿,--
4,5,300133,华策影视,5.76,5.5,0.3,0.35,2.13,3.47,5.68,1.94亿,16.18亿,93.23亿,27.28
5,6,300058,蓝色光标,6.27,4.15,0.25,-0.16,5.45,3.41,6.64,7.94亿,23.19亿,145.40亿,385.64
6,7,300148,天舟文化,3.8,3.83,0.14,0.0,8.62,6.39,6.28,2.54亿,7.75亿,29.47亿,228.76
7,8,601949,中国出版,5.62,3.69,0.2,-0.71,1.52,5.95,10.52,1.58亿,18.23亿,102.42亿,26.14
8,9,300043,星辉娱乐,3.32,2.79,0.09,0.0,3.51,4.19,4.64,1.09亿,9.38亿,31.13亿,--
9,10,002858,力盛体育,14.34,2.65,0.37,0.14,3.57,2.95,4.08,0.74亿,1.45亿,20.75亿,--
10,11,002862,实丰文化,16.67,2.52,0.41,-1.01,1.51,1.68,5.23,0.22亿,0.90亿,15.03亿,230.32
11,12,000888,峨眉山A,8.56,2.39,0.2,0.12,2.1,3.06,3.35,0.95亿,5.27亿,45.10亿,--
12,13,300052,中青宝,23.21,2.34,0.53,-0.13,10.86,2.79,6.3,6.58亿,2.61亿,60.63亿,646.42
13,14,000607,华媒控股,6.09,2.01,0.12,0.5,6.53,2.99,4.69,3.50亿,8.85亿,53.89亿,83.94
14,15,002699,ST美盛,3.58,1.99,0.07,0.0,3.75,2.64,3.13,1.22亿,9.09亿,32.56亿,15.84
15,16,002292,奥飞娱乐,5.55,1.83,0.1,-0.18,7.14,3.3,5.5,3.89亿,9.75亿,54.13亿,--
16,17,000719,中原传媒,9.04,1.8,0.16,-0.11,1.03,1.4,2.03,0.62亿,6.67亿,60.31亿,9.12
17,18,300785,值得买,35.22,1.5,0.52,-0.17,4.47,1.47,4.18,1.18亿,0.75亿,26.51亿,133.56
18,19,603808,歌力思,10.5,1.45,0.15,0.0,0.78,2.12,2.32,0.30亿,3.69亿,38.75亿,35.61
19,20,300468,四方精创,11.8,1.38,0.16,-0.09,2.53,2.0,2.49,1.57亿,5.29亿,62.43亿,83.84
20,21,000948,南天信息,24.63,1.27,0.31,0.57,3.9,1.65,4.52,3.15亿,3.35亿,82.39亿,149.52
21,22,603999,读者传媒,6.14,1.15,0.07,0.16,0.6,1.68,1.81,0.21亿,5.76亿,35.37亿,40.97
22,23,600633,浙数文化,9.71,1.15,0.11,0.21,1.5,1.8,2.6,1.82亿,12.66亿,122.90亿,25.7
23,24,300612,宣亚国际,22.24,1.14,0.25,-0.31,7.95,1.73,4.28,2.84亿,1.59亿,35.37亿,65.57
24,25,002345,潮宏基,6.65,1.06,0.07,-0.3,0.81,1.31,3.34,0.47亿,8.68亿,57.71亿,18.87
25,26,002602,世纪华通,4.85,1.04,0.05,-0.41,1.09,1.32,3.12,3.66亿,68.78亿,333.59亿,39.3
26,27,002803,吉宏股份,17.55,1.04,0.18,0.0,2.89,1.42,2.59,1.44亿,2.84亿,49.81亿,25.07
27,28,601921,浙版传媒,7.8,1.04,0.08,0.0,0.64,2.21,1.55,0.21亿,4.22亿,32.93亿,16.42
28,29,600556,天下秀,7.83,0.9,0.07,-0.26,1.61,2.14,2.71,2.29亿,18.08亿,141.55亿,52.04
29,30,603466,风语筑,16.23,0.81,0.13,-0.19,3.06,2.11,3.23,2.98亿,5.96亿,96.79亿,589.83
30,31,300113,顺网科技,12.69,0.79,0.1,0.0,4.54,2.55,3.81,2.55亿,4.46亿,56.56亿,100.06
31,32,600208,新湖中宝,2.72,0.74,0.02,0.0,0.27,1.35,1.11,0.63亿,85.98亿,233.87亿,10.98
32,33,300949,奥雅股份,37.5,0.64,0.24,-0.11,6.75,3.25,2.82,0.43亿,0.17亿,6.38亿,--
33,34,002306,中科云网,4.77,0.63,0.03,-0.21,0.98,0.89,2.11,0.38亿,8.13亿,38.79亿,--
34,35,603825,华扬联众,15.83,0.57,0.09,-0.06,2.36,1.6,2.1,0.95亿,2.53亿,40.10亿,47.56
35,36,300542,新晨科技,13.63,0.52,0.07,-0.22,2.1,2.01,2.43,0.70亿,2.42亿,33.00亿,318.39
36,37,600986,浙文互联,5.84,0.52,0.03,-0.34,1.85,1.54,2.24,1.43亿,13.22亿,77.23亿,46.21
37,38,002627,三峡旅游,5.47,0.37,0.02,-0.18,1.06,2.62,1.28,0.40亿,6.97亿,38.13亿,459.10
