,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002866,传艺科技,40.9,3.05,1.21,1.62,3.33,2.86,5.21,2.39亿,1.81亿,73.87亿,95.81
1,2,002384,东山精密,31.86,2.48,0.77,0.19,1.06,2.65,6.05,4.72亿,13.90亿,442.94亿,25.85
2,3,600183,生益科技,18.43,1.82,0.33,0.27,0.54,1.99,2.87,2.30亿,23.27亿,428.95亿,26.88
3,4,688401,路维光电,50.15,1.11,0.55,-0.02,2.88,2.59,3.67,0.41亿,0.28亿,14.27亿,58.91
4,5,300537,广信材料,16.27,0.62,0.1,0.25,1.47,1.16,2.17,0.33亿,1.37亿,22.32亿,--
5,6,603228,景旺电子,24.56,0.61,0.15,-0.24,0.19,1.16,1.84,0.39亿,8.42亿,206.76亿,19.67
6,7,002579,中京电子,12.98,0.54,0.07,-0.54,3.36,1.35,3.18,2.51亿,5.82亿,75.55亿,--
7,8,002913,奥士康,28.41,0.42,0.12,-0.11,0.18,1.12,1.94,0.13亿,2.66亿,75.46亿,16.54
8,9,603386,骏亚科技,11.89,0.34,0.04,0.0,0.33,2.01,1.86,0.13亿,3.26亿,38.80亿,24.98
9,10,605058,澳弘电子,22.42,0.0,0.0,0.09,1.07,2.17,2.05,0.10亿,0.43亿,9.62亿,18.98
10,11,002211,ST宏达,2.78,0.0,0.0,0.36,0.33,1.48,1.44,0.04亿,4.32亿,12.02亿,--
11,12,002217,合力泰,2.92,0.0,0.0,0.0,0.35,1.0,1.03,0.32亿,31.09亿,90.79亿,--
12,13,300964,本川智能,30.73,-0.07,-0.02,-0.2,0.97,1.56,1.63,0.10亿,0.33亿,10.11亿,47.33
13,14,301123,奕东电子,25.0,-0.16,-0.04,-0.16,0.9,1.26,1.32,0.17亿,0.76亿,19.10亿,48.56
14,15,000823,超声电子,10.7,-0.19,-0.02,0.0,0.42,1.2,1.59,0.24亿,5.37亿,57.45亿,14.52
15,16,002636,金安国纪,8.88,-0.23,-0.02,0.0,0.18,1.02,1.01,0.11亿,7.23亿,64.21亿,126.60
16,17,300852,四会富仕,37.56,-0.27,-0.1,0.03,0.82,1.41,1.59,0.11亿,0.36亿,13.37亿,18.11
17,18,300903,科翔股份,13.88,-0.29,-0.04,0.07,0.83,1.04,1.15,0.30亿,2.60亿,36.05亿,66.12
18,19,301176,逸豪新材,18.75,-0.37,-0.07,0.05,1.01,0.96,0.53,0.07亿,0.38亿,7.21亿,33.34
19,20,002938,鹏鼎控股,30.16,-0.46,-0.14,-0.1,0.09,0.89,1.35,0.60亿,22.39亿,675.38亿,16.09
20,21,301132,满坤科技,29.32,-0.47,-0.14,0.0,2.81,0.81,1.29,0.30亿,0.37亿,10.81亿,37.44
21,22,688655,迅捷兴,14.35,-0.55,-0.08,0.0,0.76,1.36,2.01,0.07亿,0.68亿,9.80亿,33.68
22,23,605258,协和电子,25.06,-0.56,-0.14,0.28,0.74,1.11,1.51,0.07亿,0.38亿,9.47亿,48.19
23,24,002288,超华科技,5.27,-0.57,-0.03,-0.19,0.51,1.33,1.51,0.22亿,8.01亿,42.22亿,112.16
24,25,300739,明阳电路,15.01,-0.6,-0.09,0.07,0.42,1.31,1.26,0.18亿,2.90亿,43.50亿,22.86
25,26,603936,博敏电子,14.94,-0.6,-0.09,0.13,0.9,0.83,1.8,0.68亿,5.11亿,76.35亿,44.06
26,27,002916,深南电路,85.89,-0.72,-0.62,0.11,0.23,0.99,1.48,1.01亿,5.10亿,437.69亿,27.96
27,28,603186,华正新材,31.27,-0.73,-0.23,0.19,2.59,1.17,3.75,1.16亿,1.42亿,44.37亿,54.99
28,29,002552,宝鼎科技,16.18,-0.74,-0.12,0.0,0.26,0.77,1.04,0.10亿,2.31亿,37.43亿,624.85
29,30,002436,兴森科技,12.05,-0.74,-0.09,0.08,0.95,1.08,2.64,1.49亿,12.99亿,156.49亿,29.45
30,31,002815,崇达技术,11.58,-0.77,-0.09,0.0,0.59,1.21,1.46,0.29亿,4.32亿,50.07亿,15.62
31,32,603920,世运电路,17.54,-0.79,-0.14,0.0,0.42,0.91,1.41,0.40亿,5.32亿,93.34亿,23.48
32,33,300283,温州宏丰,6.0,-0.83,-0.05,-0.17,1.33,0.95,1.65,0.25亿,3.10亿,18.61亿,118.2
