,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300174,元力股份,23.57,4.71,1.06,0.77,2.91,2.6,6.84,2.45亿,3.62亿,85.42亿,38.63
1,2,688622,禾信仪器,43.22,3.52,1.47,-0.64,2.29,1.76,6.23,0.37亿,0.38亿,16.41亿,--
2,3,300203,聚光科技,31.39,2.31,0.71,0.0,1.5,2.01,3.75,2.11亿,4.52亿,141.91亿,--
3,4,300137,先河环保,6.79,1.5,0.1,0.0,1.69,1.34,2.24,0.55亿,4.82亿,32.70亿,121.88
4,5,002076,*ST雪莱,2.79,1.09,0.03,0.0,1.18,0.93,2.17,0.36亿,10.97亿,30.60亿,--
5,6,300004,南风股份,6.16,0.65,0.04,0.16,0.37,1.05,0.82,0.11亿,4.77亿,29.37亿,127.72
6,7,600292,远达环保,6.01,0.5,0.03,0.17,0.23,1.21,0.84,0.11亿,7.81亿,46.93亿,85.65
7,8,000581,威孚高科,18.99,0.42,0.08,0.0,0.18,0.58,0.9,0.29亿,8.24亿,156.52亿,9.29
8,9,002573,清新环境,5.95,0.34,0.02,0.0,0.23,0.66,0.84,0.15亿,10.79亿,64.21亿,17.35
9,10,002658,雪迪龙,9.11,0.33,0.03,-0.11,1.08,0.58,0.99,0.34亿,3.45亿,31.41亿,18.70
10,11,300152,新动力,3.58,0.28,0.01,0.00,1.65,0.74,1.40,0.42亿,7.12亿,25.51亿,193.92
11,12,300172,中电环保,4.86,0.21,0.01,0.00,0.44,0.74,0.62,0.11亿,4.97亿,24.16亿,26.90
12,13,300072,海新能科,4.48,0.00,0.00,0.00,0.32,0.66,1.34,0.34亿,23.30亿,104.38亿,--
13,14,300105,龙源技术,8.41,0.00,0.00,0.12,1.21,0.57,1.55,0.52亿,5.13亿,43.16亿,45.83
14,15,603601,再升科技,5.85,0.00,0.00,0.17,0.41,1.20,1.37,0.25亿,10.20亿,59.69亿,31.05
15,16,600526,菲达环保,5.95,0.00,0.00,0.00,0.39,0.74,1.18,0.13亿,5.47亿,32.57亿,39.44
16,17,002499,*ST科林,--,--,--,--,--,--,--,--,1.89亿,3.18亿,--
17,18,300862,蓝盾光电,26.18,-0.04,-0.01,-0.04,0.31,0.66,0.99,0.07亿,0.86亿,22.48亿,79.33
18,19,300800,力合科技,13.03,-0.23,-0.03,-0.08,0.35,0.95,0.92,0.08亿,1.68亿,21.92亿,31.40
19,20,002781,*ST奇信,3.82,-0.26,-0.01,-0.26,6.62,1.26,7.31,0.56亿,2.24亿,8.55亿,--
20,21,300187,永清环保,6.27,-0.32,-0.02,0.32,0.3,0.66,2.38,0.12亿,6.45亿,40.43亿,55.81
21,22,300884,狄耐克,11.49,-0.35,-0.04,0.09,0.77,0.74,1.39,0.13亿,1.45亿,16.66亿,37.39
22,23,300335,迪森股份,5.17,-0.39,-0.02,0.0,1.29,0.78,0.77,0.26亿,3.96亿,20.48亿,184.20
23,24,301043,绿岛风,25.94,-0.54,-0.14,0.0,0.88,0.49,0.88,0.04亿,0.18亿,4.67亿,36.84
24,25,000551,创元科技,10.05,-0.59,-0.06,0.0,0.33,0.93,1.58,0.13亿,4.00亿,40.21亿,25.44
25,26,603311,金海高科,14.08,-0.92,-0.13,0.0,0.58,1.08,1.13,0.17亿,2.10亿,29.57亿,29.10
26,27,300012,华测检测,22.06,-1.08,-0.24,0.14,0.28,1.23,1.48,0.93亿,15.23亿,336.03亿,41.97
27,28,600459,贵研铂业,16.79,-1.29,-0.22,0.06,0.6,0.91,2.0,0.75亿,7.39亿,124.07亿,29.48
28,29,300056,中创环保,8.93,-1.44,-0.13,0.22,1.0,0.82,2.43,0.35亿,3.85亿,34.42亿,--
29,30,603177,德创环保,18.6,-1.48,-0.28,-0.16,1.27,0.86,2.12,0.48亿,2.02亿,37.57亿,154.71
30,31,002362,汉王科技,35.68,-1.57,-0.57,-0.14,15.79,1.03,5.24,11.57亿,2.07亿,73.82亿,--
31,32,600388,ST龙净,18.06,-1.9,-0.35,0.06,0.77,0.84,2.17,1.50亿,10.71亿,193.51亿,22.82
32,33,002980,华盛昌,36.3,-2.0,-0.74,0.22,5.44,1.06,1.92,0.66亿,0.33亿,12.10亿,37.84
33,34,002341,新纶新材,4.68,-3.31,-0.16,0.21,3.82,0.7,2.89,1.72亿,9.57亿,44.79亿,--
