,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600309,万华化学,100.06,0.65,0.65,0.11,0.07,1.36,1.31,2.17亿,31.40亿,3141.63亿,19.35
1,2,002493,荣盛石化,13.75,0.58,0.08,-0.07,0.12,1.99,1.98,1.55亿,94.98亿,1306.01亿,19.16
2,3,600989,宝丰能源,15.05,0.47,0.07,0.07,0.07,0.68,1.47,0.81亿,73.33亿,1103.67亿,15.41
3,4,688560,明冠新材,45.76,0.44,0.2,0.75,1.2,1.52,2.11,0.49亿,0.90亿,41.33亿,51.32
4,5,000990,诚志股份,9.66,0.21,0.02,0.0,0.47,1.19,1.04,0.55亿,12.15亿,117.39亿,279.94
5,6,000698,沈阳化工,5.1,0.2,0.01,0.0,0.37,0.85,0.79,0.15亿,7.86亿,40.07亿,--
6,7,603806,福斯特,67.9,0.03,0.02,0.3,0.07,0.85,1.56,0.62亿,13.32亿,904.12亿,44.22
7,8,601139,深圳燃气,7.14,0.0,0.0,0.0,0.05,0.73,0.98,0.10亿,28.77亿,205.40亿,17.40
8,9,002218,拓日新能,6.07,-0.33,-0.02,-0.16,0.93,0.75,1.48,0.78亿,13.87亿,84.20亿,60.54
9,10,301100,风光股份,24.47,-0.45,-0.11,-0.16,1.04,1.07,1.26,0.13亿,0.50亿,12.23亿,55.11
10,11,002648,卫星化学,17.75,-0.56,-0.1,-0.11,0.1,1.06,1.12,0.57亿,33.63亿,596.97亿,14.87
11,12,000819,岳阳兴长,24.5,-0.69,-0.17,0.0,0.54,1.9,3.16,0.40亿,2.99亿,73.29亿,112.04
12,13,000301,东方盛虹,15.67,-0.7,-0.11,-0.26,0.14,1.21,1.52,1.24亿,55.00亿,861.80亿,49.26
13,14,002868,绿康生化,53.8,-0.76,-0.41,-0.04,0.26,0.89,1.83,0.21亿,1.52亿,81.79亿,--
14,15,603330,天洋新材,13.88,-1.0,-0.14,0.14,0.5,0.81,2.14,0.23亿,3.33亿,46.20亿,170.87
15,16,688680,海优新材,199.13,-1.29,-2.6,0.53,0.6,0.84,2.33,0.55亿,0.46亿,92.15亿,94.08
16,17,605566,福莱蒽特,26.32,-1.39,-0.37,0.23,1.22,2.11,3.11,0.20亿,0.62亿,16.39亿,35.30
17,18,002140,东华科技,11.11,-1.68,-0.19,-0.18,1.05,1.5,2.48,0.63亿,5.38亿,59.80亿,26.87
18,19,300566,激智科技,23.55,-1.79,-0.43,0.09,1.88,1.98,3.21,0.91亿,2.05亿,48.22亿,137.49
19,20,603212,赛伍技术,30.89,-2.86,-0.91,0.42,3.39,3.24,4.31,3.06亿,2.93亿,90.42亿,44.64
20,21,603051,鹿山新材,65.49,-2.94,-1.98,0.65,5.43,3.14,4.25,0.81亿,0.23亿,15.06亿,80.37
21,22,603255,鼎际得,62.9,-3.14,-2.04,0.0,2.8,1.59,3.29,0.59亿,0.33亿,20.99亿,73.26
22,23,301131,聚赛龙,45.12,-4.14,-1.95,-0.57,5.6,3.6,4.61,0.31亿,0.12亿,5.39亿,73.73
