,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600378,昊华科技,54.6,9.99,4.96,0.0,0.14,2.39,0.0,0.69亿,9.04亿,493.56亿,49.37
1,2,002407,多氟多,38.12,1.38,0.52,-0.18,1.74,1.78,2.42,4.55亿,6.84亿,260.75亿,12.66
2,3,603659,璞泰来,52.2,1.01,0.52,-0.06,0.27,1.42,1.35,1.96亿,13.87亿,724.24亿,23.95
3,4,600673,东阳光,9.3,0.54,0.05,0.11,0.15,1.13,1.08,0.42亿,29.95亿,278.55亿,29.39
4,5,603978,深圳新星,23.36,-0.47,-0.11,-0.13,5.02,8.65,5.79,1.98亿,1.66亿,38.77亿,135.03
5,6,300343,联创股份,11.09,-0.98,-0.11,-0.27,1.31,1.42,1.25,1.36亿,9.31亿,103.21亿,10.49
6,7,600160,巨化股份,17.82,-1.27,-0.23,-0.39,0.63,1.13,2.38,3.07亿,27.00亿,481.10亿,21.24
7,8,603379,三美股份,31.09,-1.8,-0.57,-0.38,0.47,1.05,2.78,0.91亿,6.10亿,189.80亿,30.83
8,9,300056,中创环保,8.87,-2.1,-0.19,-0.11,0.79,1.03,2.32,0.27亿,3.85亿,34.19亿,--
9,10,002068,黑猫股份,15.84,-2.64,-0.43,0.06,1.56,1.4,3.63,1.82亿,7.34亿,116.20亿,238.29
10,11,605020,永和股份,53.81,-4.15,-2.33,-0.09,1.39,1.67,3.87,0.94亿,1.24亿,66.91亿,48.0
