,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300956,英力股份,18.57,9.11,1.55,0.05,22.18,5.1,14.87,2.31亿,0.57亿,10.59亿,79.6
1,2,300776,帝尔激光,149.98,8.05,11.17,-0.01,7.47,2.37,8.03,11.05亿,1.00亿,150.44亿,57.07
2,3,300724,捷佳伟创,130.95,6.05,7.47,-0.08,6.0,2.25,6.79,21.11亿,2.73亿,357.64亿,41.67
3,4,002329,皇氏集团,8.7,3.94,0.33,0.12,12.95,1.5,5.02,5.89亿,5.33亿,46.37亿,94.81
4,5,300450,先导智能,47.78,3.82,1.76,-0.04,1.73,2.51,4.22,11.87亿,14.54亿,694.82亿,33.7
5,6,603212,赛伍技术,31.8,3.25,1.0,0.03,9.92,2.04,10.78,9.14亿,2.93亿,93.09亿,45.96
6,7,300566,激智科技,23.98,3.14,0.73,0.0,6.83,1.38,4.13,3.33亿,2.05亿,49.10亿,140.0
7,8,002574,明牌珠宝,7.74,2.93,0.22,0.13,7.1,0.59,3.72,2.87亿,5.28亿,40.87亿,48.33
8,9,603028,赛福天,10.68,1.91,0.2,0.0,2.36,1.77,3.63,0.72亿,2.87亿,30.66亿,112.44
9,10,688559,海目星,66.24,1.63,1.06,0.06,4.53,1.27,4.4,3.92亿,1.31亿,86.58亿,45.45
10,11,301021,英诺激光,31.46,1.55,0.48,0.03,5.4,1.11,4.0,1.19亿,0.70亿,22.01亿,156.04
11,12,600641,万业企业,19.38,1.52,0.29,0.1,2.0,1.34,3.04,3.57亿,9.31亿,180.36亿,257.36
12,13,002079,苏州固锝,16.02,1.33,0.21,0.0,6.69,0.88,2.53,8.51亿,7.98亿,127.89亿,49.07
13,14,301030,仕净科技,48.99,1.18,0.57,0.35,4.2,0.65,4.11,2.16亿,1.04亿,51.08亿,84.06
14,15,002008,大族激光,30.43,0.9,0.27,0.03,2.48,0.76,2.32,7.33亿,9.79亿,297.97亿,23.69
15,16,002795,永和智控,10.54,0.86,0.09,0.19,4.67,0.79,2.01,1.19亿,2.42亿,25.49亿,66.25
16,17,002865,钧达股份,167.9,0.76,1.27,0.0,1.95,0.73,3.48,4.51亿,1.38亿,231.95亿,43.43
17,18,600438,通威股份,40.64,0.72,0.29,0.0,1.29,1.41,1.78,23.58亿,45.02亿,1829.59亿,6.32
18,19,600537,亿晶光电,8.7,0.69,0.06,-0.12,3.83,0.95,3.82,3.93亿,11.76亿,102.34亿,162.16
19,20,000821,京山轻机,26.18,0.69,0.18,0.04,9.91,0.86,4.0,14.70亿,5.73亿,149.98亿,60.82
20,21,000040,东旭蓝天,4.55,0.44,0.02,0.0,6.63,0.73,3.09,3.19亿,10.60亿,48.25亿,--
21,22,300757,罗博特科,62.41,0.18,0.11,0.08,1.31,0.74,2.25,0.85亿,1.04亿,64.91亿,4883.77
22,23,002506,协鑫集成,3.26,0.0,0.0,-0.31,0.77,0.7,1.23,1.46亿,58.49亿,190.69亿,--
23,24,688223,晶科能源,14.46,-0.21,-0.03,-0.41,2.44,1.35,2.42,6.96亿,19.60亿,283.42亿,64.71
24,25,002306,中科云网,4.74,-0.21,-0.01,0.0,1.95,0.49,1.47,0.75亿,8.13亿,38.55亿,--
25,26,688025,杰普特,59.89,-0.3,-0.18,0.0,2.06,0.48,2.51,0.68亿,0.55亿,33.04亿,82.39
26,27,601222,林洋能源,8.85,-0.45,-0.04,-0.23,1.32,0.9,1.57,2.42亿,20.60亿,182.32亿,18.63
27,28,603396,金辰股份,84.71,-0.47,-0.4,0.01,1.91,0.68,2.35,1.89亿,1.16亿,98.26亿,134.25
28,29,300117,嘉寓股份,4.04,-0.49,-0.02,0.0,2.14,0.71,1.97,0.62亿,7.17亿,28.96亿,32.68
29,30,002860,星帅尔,15.78,-0.5,-0.08,-0.06,6.91,0.5,2.08,2.38亿,2.19亿,34.60亿,33.52
30,31,002529,海源复材,19.12,-0.62,-0.12,0.32,2.25,0.93,2.08,1.11亿,2.60亿,49.71亿,--
31,32,300316,晶盛机电,67.11,-0.65,-0.44,-0.05,0.47,1.19,2.15,3.88亿,12.31亿,825.95亿,32.80
32,33,002514,宝馨科技,13.3,-0.82,-0.11,0.0,12.4,0.97,4.55,8.95亿,5.54亿,73.69亿,1238.12
33,34,688599,天合光能,64.19,-1.05,-0.68,-0.09,0.8,0.68,2.39,6.88亿,13.29亿,853.06亿,43.55
34,35,002056,横店东磁,22.07,-1.16,-0.26,0.0,1.31,1.2,3.85,4.67亿,15.97亿,352.47亿,22.29
