,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600449,宁夏建材,18.35,10.01,1.67,0.0,2.63,2.54,0.0,2.31亿,4.78亿,87.75亿,11.0
1,2,603966,法兰泰克,15.42,5.91,0.86,-0.45,4.43,2.24,9.07,2.02亿,3.00亿,46.31亿,22.09
2,3,600282,南钢股份,3.97,4.2,0.16,0.25,1.48,0.92,4.99,2.59亿,44.67亿,177.34亿,8.84
3,4,601949,中国出版,5.6,3.32,0.18,0.36,1.69,4.13,10.52,1.75亿,18.23亿,102.06亿,26.05
4,5,002010,传化智联,6.21,3.16,0.19,0.16,2.21,5.08,5.98,3.72亿,27.00亿,167.64亿,21.56
5,6,601668,中国建筑,5.56,3.15,0.17,0.0,0.59,3.02,2.97,13.37亿,413.20亿,2297.41亿,4.02
6,7,002116,中国海诚,12.55,3.12,0.38,0.0,5.48,3.11,7.81,2.87亿,4.16亿,52.26亿,23.09
7,8,301109,军信股份,17.22,2.93,0.49,0.0,3.27,4.18,4.12,0.50亿,0.89亿,15.39亿,16.13
8,9,002596,海南瑞泽,3.71,2.77,0.1,0.0,4.08,2.47,4.43,1.58亿,10.41亿,38.64亿,201.1
9,10,002800,天顺股份,25.62,2.77,0.69,0.12,5.81,2.06,7.18,1.52亿,1.01亿,25.92亿,102.06
10,11,300374,中铁装配,14.41,2.56,0.36,-0.14,4.61,1.69,2.92,1.25亿,1.89亿,27.26亿,--
11,12,601390,中国中铁,5.98,2.4,0.14,0.17,0.4,1.84,2.4,4.79亿,203.63亿,1217.74亿,4.82
12,13,601186,中国铁建,8.13,2.26,0.18,0.0,0.61,2.5,2.39,5.67亿,115.03亿,935.21亿,4.42
13,14,601868,中国能建,2.39,2.14,0.05,0.0,2.61,4.59,2.56,8.85亿,142.22亿,339.92亿,17.89
14,15,600585,海螺水泥,30.61,2.07,0.62,-0.03,0.52,1.58,2.5,6.37亿,40.00亿,1224.31亿,9.80
15,16,600198,大唐电信,7.2,1.98,0.14,0.0,1.05,1.54,3.12,0.66亿,8.80亿,63.39亿,--
16,17,600190,锦州港,3.61,1.98,0.07,0.56,1.06,1.0,2.83,0.67亿,17.79亿,64.24亿,70.00
17,18,603871,嘉友国际,24.14,1.94,0.46,0.0,0.25,0.72,2.53,0.29亿,5.00亿,120.71亿,19.39
18,19,601117,中国化学,8.94,1.82,0.16,-0.22,0.39,1.16,2.62,1.98亿,56.97亿,509.27亿,11.01
19,20,300808,久量股份,15.92,1.79,0.28,-0.06,2.02,3.16,2.49,0.51亿,1.60亿,25.47亿,--
20,21,300523,辰安科技,23.71,1.76,0.41,0.04,0.99,1.93,3.43,0.54亿,2.32亿,54.94亿,208.13
21,22,002889,东方嘉盛,25.05,1.75,0.43,0.2,1.19,1.53,3.17,0.27亿,0.90亿,22.50亿,17.02
22,23,000151,中成股份,14.41,1.69,0.24,-0.21,5.55,1.42,3.46,2.14亿,2.67亿,38.41亿,--
23,24,300603,立昂技术,13.36,1.6,0.21,-0.89,13.91,1.15,9.05,4.73亿,2.53亿,33.83亿,77.11
