,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002261,拓维信息,9.39,9.95,0.85,2.07,13.37,2.43,11.01,13.23亿,11.16亿,104.79亿,85.99
1,2,300086,康芝药业,7.23,6.95,0.47,0.42,10.92,5.07,9.17,3.37亿,4.36亿,31.50亿,--
2,3,603439,贵州三力,16.2,6.51,0.99,0.87,12.82,4.0,7.23,3.28亿,1.62亿,26.29亿,48.05
3,4,600976,健民集团,64.46,5.33,3.26,-0.05,1.68,2.52,6.41,1.63亿,1.52亿,98.24亿,22.74
4,5,002024,ST易购,2.3,5.02,0.11,0.0,0.75,7.42,4.57,1.34亿,78.83亿,181.32亿,--
5,6,300199,翰宇药业,13.54,4.47,0.58,0.37,7.49,2.85,5.48,6.60亿,6.66亿,90.18亿,--
6,7,300753,爱朋医疗,18.75,3.88,0.7,0.38,2.79,2.64,5.37,0.39亿,0.75亿,14.06亿,--
7,8,002762,金发拉比,12.94,3.52,0.44,0.08,17.52,2.31,6.24,4.51亿,2.01亿,26.02亿,333.29
8,9,603615,茶花股份,9.07,3.42,0.3,-0.11,1.27,1.61,4.22,0.28亿,2.42亿,21.93亿,--
9,10,301130,西点药业,33.24,3.23,1.04,0.18,7.62,3.1,3.79,0.51亿,0.20亿,6.71亿,62.72
10,11,300430,诚益通,15.63,3.17,0.48,0.26,0.63,1.29,4.09,0.25亿,2.56亿,40.07亿,42.56
11,12,300043,星辉娱乐,3.33,3.1,0.1,0.0,3.97,2.96,4.64,1.23亿,9.38亿,31.23亿,--
12,13,002621,美吉姆,5.34,3.09,0.16,0.0,6.69,2.62,5.41,2.83亿,7.98亿,42.60亿,--
13,14,300049,福瑞股份,28.86,2.78,0.78,-0.28,2.08,1.65,5.09,1.37亿,2.31亿,66.57亿,93.70
14,15,002435,长江健康,5.65,2.73,0.15,-0.18,2.0,2.64,4.73,1.36亿,12.03亿,67.94亿,48.80
15,16,301009,可靠股份,13.81,2.6,0.35,0.22,4.38,2.27,2.9,0.58亿,0.97亿,13.42亿,190.63
16,17,600735,新华锦,7.29,2.53,0.18,0.41,3.0,3.15,3.38,0.92亿,4.21亿,30.69亿,46.71
17,18,002127,南极电商,5.1,2.41,0.12,0.0,2.88,2.92,3.62,2.91亿,19.95亿,101.73亿,37.73
18,19,688117,圣诺生物,27.49,2.35,0.63,0.0,1.55,1.34,3.02,0.19亿,0.45亿,12.29亿,42.29
19,20,688089,嘉必优,54.06,2.31,1.22,0.3,1.06,1.33,4.03,0.37亿,0.65亿,35.27亿,62.48
20,21,605199,葫芦娃,17.45,2.29,0.39,0.12,5.53,2.02,2.99,0.90亿,0.93亿,16.29亿,72.84
21,22,002699,ST美盛,3.59,2.28,0.08,-0.28,4.49,1.98,3.13,1.46亿,9.09亿,32.65亿,15.89
22,23,002737,葵花药业,24.28,2.27,0.54,0.04,0.94,1.35,3.45,1.33亿,5.84亿,141.79亿,20.89
23,24,600315,上海家化,33.12,2.25,0.73,0.18,0.76,1.31,2.93,1.68亿,6.73亿,222.96亿,53.84
24,25,000705,浙江震元,8.69,2.23,0.19,0.12,4.58,3.6,2.59,1.12亿,2.82亿,24.49亿,42.19
25,26,002308,威创股份,5.81,2.11,0.12,0.35,10.41,2.95,6.15,5.52亿,8.97亿,52.09亿,51.72
26,27,002172,澳洋健康,4.4,2.09,0.09,0.23,4.02,3.83,4.64,1.36亿,7.65亿,33.67亿,101.73
27,28,600398,海澜之家,5.46,2.06,0.11,-0.37,0.37,1.92,3.55,0.87亿,43.20亿,235.85亿,10.11
28,29,000650,仁和药业,6.53,2.03,0.13,0.31,2.95,2.61,2.5,2.58亿,13.42亿,87.65亿,15.02
29,30,002292,奥飞娱乐,5.56,2.02,0.11,-0.18,7.75,2.24,5.5,4.22亿,9.75亿,54.23亿,--
30,31,300206,理邦仪器,13.2,2.01,0.26,0.08,1.38,1.29,3.25,0.62亿,3.40亿,44.94亿,30.35
31,32,002173,创新医疗,7.49,1.91,0.14,0.13,4.17,1.39,3.67,1.17亿,3.75亿,28.11亿,--
32,33,300888,稳健医疗,73.53,1.9,1.37,-0.01,1.19,2.37,2.7,1.18亿,1.36亿,100.00亿,18.81
33,34,002875,安奈儿,17.28,1.89,0.32,-0.29,7.11,1.89,2.89,1.49亿,1.22亿,21.16亿,--
34,35,688273,麦澜德,41.8,1.88,0.77,0.82,2.7,0.6,3.53,0.26亿,0.23亿,9.79亿,31.97
35,36,600479,千金药业,10.47,1.85,0.19,-0.1,1.1,2.12,2.14,0.48亿,4.19亿,43.82亿,18.04
36,37,002563,森马服饰,5.69,1.79,0.1,0.0,0.23,1.47,2.33,0.25亿,18.83亿,107.14亿,42.35
37,38,600981,汇鸿集团,2.85,1.79,0.05,0.0,0.49,2.31,2.86,0.31亿,22.42亿,63.91亿,--
38,39,300979,华利集团,61.52,1.64,0.99,0.23,0.25,0.46,2.2,0.22亿,1.46亿,89.87亿,22.02
39,40,300869,康泰医学,26.39,1.58,0.41,0.08,2.27,1.63,1.81,0.95亿,1.60亿,42.24亿,45.65
40,41,300329,海伦钢琴,7.78,1.57,0.12,0.0,1.74,1.66,2.74,0.34亿,2.52亿,19.62亿,182.64
41,42,600429,三元股份,5.32,1.53,0.08,0.19,0.66,1.3,1.72,0.53亿,14.98亿,79.67亿,56.24
42,43,301110,青木股份,42.52,1.43,0.6,0.07,5.76,1.05,2.93,0.39亿,0.16亿,6.80亿,56.37
43,44,600351,亚宝药业,6.46,1.41,0.09,0.16,1.23,1.63,1.57,0.61亿,7.70亿,49.74亿,34.92
44,45,000607,华媒控股,6.05,1.34,0.08,0.17,7.32,2.1,4.69,3.93亿,8.85亿,53.54亿,83.39
45,46,300314,戴维医疗,14.85,1.3,0.19,0.2,0.61,0.8,1.91,0.17亿,1.89亿,28.12亿,42.21
46,47,603518,锦泓集团,8.14,1.24,0.1,0.0,1.51,0.74,2.49,0.43亿,3.47亿,28.26亿,29.53
47,48,002862,实丰文化,16.44,1.11,0.18,-0.24,2.01,1.4,5.23,0.30亿,0.90亿,14.83亿,227.14
48,49,600679,上海凤凰,9.21,1.1,0.1,0.11,0.53,2.13,1.87,0.14亿,2.95亿,27.14亿,54.0
49,50,002293,罗莱生活,12.13,1.08,0.13,0.0,0.16,0.68,3.17,0.16亿,8.27亿,100.26亿,19.5
50,51,600327,大东方,4.75,1.06,0.05,0.0,0.82,1.88,1.06,0.35亿,8.85亿,42.03亿,18.32
51,52,603059,倍加洁,24.25,1.04,0.25,0.08,0.76,0.38,2.46,0.18亿,1.00亿,24.25亿,42.22
52,53,002269,美邦服饰,1.97,1.03,0.02,0.0,1.52,2.67,3.59,0.76亿,25.12亿,49.50亿,--
53,54,301283,聚胶股份,56.95,0.94,0.53,-0.04,0.81,0.99,1.74,0.09亿,0.19亿,10.80亿,47.56
54,55,002678,珠江钢琴,6.65,0.91,0.06,0.0,0.48,1.37,2.43,0.43亿,13.58亿,90.28亿,67.80
