,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,603918,金桥信息,10.25,9.98,0.93,0.0,12.0,3.74,8.91,4.42亿,3.66亿,37.47亿,424.17
1,2,002162,悦心健康,5.57,6.09,0.32,0.0,9.61,6.36,10.29,4.98亿,9.26亿,51.59亿,--
2,3,600845,宝信软件,52.0,4.36,2.17,0.02,0.48,2.54,5.58,3.49亿,14.37亿,747.48亿,50.39
3,4,603885,吉祥航空,17.8,3.67,0.63,0.06,1.06,1.45,5.53,4.18亿,22.14亿,394.09亿,--
4,5,300226,上海钢联,34.33,3.09,1.03,-0.06,2.83,2.0,8.68,2.52亿,2.57亿,88.37亿,49.90
5,6,600151,航天机电,9.94,2.69,0.26,-0.1,1.01,3.38,4.75,1.44亿,14.34亿,142.56亿,--
6,7,605398,新炬网络,32.42,2.21,0.7,0.03,2.93,1.17,3.18,0.25亿,0.27亿,8.75亿,61.35
7,8,002401,中远海科,17.56,1.97,0.34,0.11,7.8,1.31,7.72,4.98亿,3.66亿,64.18亿,30.28
8,9,600626,申达股份,3.92,1.82,0.07,0.26,0.79,2.04,3.12,0.26亿,8.52亿,33.41亿,--
9,10,603189,网达软件,16.91,1.81,0.3,-0.06,2.01,1.52,3.61,0.91亿,2.70亿,45.58亿,72.68
10,11,688019,安集科技,208.1,1.67,3.41,-0.02,0.96,2.03,3.38,1.48亿,0.75亿,155.45亿,56.45
11,12,600097,开创国际,10.63,1.62,0.17,-0.09,0.79,1.85,2.49,0.20亿,2.41亿,25.61亿,43.52
12,13,600650,锦江在线,10.94,1.3,0.14,-0.09,0.43,1.36,1.76,0.18亿,3.91亿,42.73亿,8.74
13,14,601607,上海医药,19.09,1.22,0.23,0.0,0.48,2.41,1.7,1.76亿,19.26亿,367.63亿,11.00
14,15,688521,芯原股份,64.75,1.22,0.78,-0.03,1.56,1.03,5.0,2.11亿,2.09亿,135.13亿,737.54
15,16,600009,上海机场,62.5,1.17,0.72,0.0,0.49,0.89,1.78,3.39亿,10.93亿,683.42亿,--
16,17,688018,乐鑫科技,116.98,0.74,0.86,-0.01,0.69,0.71,3.01,0.65亿,0.80亿,94.15亿,84.22
17,18,600639,浦东金桥,11.76,0.69,0.08,0.17,0.23,1.26,1.03,0.23亿,8.50亿,99.99亿,9.32
18,19,002244,滨江集团,10.22,0.59,0.06,-0.1,0.5,1.13,2.46,1.39亿,26.82亿,274.14亿,11.60
19,20,600663,陆家嘴,10.12,0.5,0.05,0.0,0.08,0.97,0.69,0.23亿,29.33亿,296.87亿,26.23
20,21,600676,交运股份,4.08,0.49,0.02,-0.24,0.13,0.74,0.98,0.06亿,10.28亿,41.96亿,--
21,22,600822,上海物贸,8.39,0.48,0.04,0.0,0.31,1.52,0.84,0.10亿,3.96亿,33.24亿,132.34
22,23,002210,飞马国际,2.4,0.42,0.01,0.0,0.59,1.14,0.84,0.38亿,26.59亿,63.83亿,901.91
23,24,601866,中远海发,2.54,0.4,0.01,-0.39,0.16,0.85,0.79,0.33亿,82.32亿,209.09亿,6.96
24,25,600018,上港集团,5.3,0.38,0.02,-0.19,0.04,0.94,0.76,0.51亿,231.74亿,1228.20亿,7.11
25,26,002183,怡亚通,6.13,0.33,0.02,0.0,0.4,0.64,0.82,0.63亿,25.96亿,159.15亿,55.14
26,27,601200,上海环境,9.47,0.32,0.03,0.0,0.2,0.98,0.85,0.21亿,11.22亿,106.24亿,17.54
27,28,300642,透景生命,23.59,0.26,0.06,0.0,0.46,1.07,1.83,0.15亿,1.39亿,32.74亿,32.94
28,29,600895,张江高科,12.71,0.24,0.03,-0.08,0.24,1.22,1.42,0.46亿,15.49亿,196.84亿,20.03
29,30,603329,上海雅仕,17.0,0.24,0.04,0.06,0.56,0.85,0.53,0.15亿,1.59亿,26.99亿,14.55
30,31,300013,新宁物流,4.73,0.21,0.01,-0.21,1.12,0.83,1.27,0.24亿,4.46亿,21.10亿,--
31,32,603648,畅联股份,9.5,0.21,0.02,0.0,0.38,0.84,0.95,0.13亿,3.62亿,34.43亿,22.30
32,33,603128,华贸物流,10.15,0.2,0.02,-0.1,0.34,0.88,0.79,0.46亿,13.09亿,132.91亿,13.57
33,34,600648,外高桥,12.26,0.16,0.02,0.0,0.16,0.95,0.41,0.19亿,9.35亿,114.61亿,12.89
34,35,600848,上海临港,12.37,0.16,0.02,-0.08,0.09,1.38,0.73,0.25亿,23.94亿,296.13亿,30.18
35,36,600284,浦东建设,7.34,0.0,0.0,0.0,0.25,0.69,0.55,0.18亿,9.70亿,71.22亿,12.54
36,37,600500,中化国际,7.15,-0.14,-0.01,0.14,0.46,1.76,1.12,0.89亿,27.25亿,194.82亿,14.94
37,38,603650,彤程新材,35.63,-0.28,-0.1,-0.14,0.45,0.87,2.24,0.95亿,5.94亿,211.67亿,66.25
38,39,600705,中航产融,4.46,-0.45,-0.02,0.23,1.05,0.85,1.34,4.14亿,88.04亿,392.68亿,15.77
39,40,688099,晶晨股份,84.75,-0.61,-0.52,0.3,0.38,0.76,3.92,1.34亿,4.13亿,350.44亿,38.64
40,41,002044,美年健康,6.68,-0.74,-0.05,0.0,0.54,0.91,1.49,1.40亿,38.71亿,258.60亿,--
41,42,603068,博通集成,34.19,-0.9,-0.31,-0.09,1.89,1.1,2.03,0.97亿,1.50亿,51.43亿,--
42,43,600026,中远海能,15.19,-0.98,-0.15,-0.07,0.46,0.63,2.09,2.02亿,28.73亿,436.42亿,84.94
43,44,601872,招商轮船,7.04,-0.98,-0.07,0.29,0.32,0.76,1.83,1.85亿,81.26亿,572.09亿,11.10
44,45,002451,摩恩电气,6.91,-1.57,-0.11,0.15,1.84,0.97,2.56,0.56亿,4.39亿,30.35亿,213.39
