,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688158,优刻得,19.51,11.8,2.06,-0.05,8.43,4.1,15.82,5.67亿,3.55亿,69.34亿,--
1,2,002970,锐明技术,29.02,10.01,2.64,0.0,5.25,4.57,2.73,1.63亿,1.08亿,31.28亿,--
2,3,001339,智微智能,31.72,9.99,2.88,0.0,18.05,3.18,2.46,3.51亿,0.62亿,19.59亿,58.99
3,4,688236,春立医疗,32.84,6.28,1.94,0.0,2.22,1.98,8.38,0.56亿,0.78亿,25.54亿,45.13
4,5,688131,皓元医药,129.33,5.75,7.03,0.27,1.33,2.94,6.39,1.02亿,0.60亿,78.08亿,65.74
5,6,603966,法兰泰克,15.38,5.63,0.82,-0.32,3.98,3.22,9.07,1.81亿,3.00亿,46.19亿,22.03
6,7,002903,宇环数控,25.52,4.8,1.17,-0.31,8.12,2.96,6.53,1.95亿,0.95亿,24.22亿,55.09
7,8,688283,坤恒顺维,68.54,4.8,3.14,-0.02,0.86,2.5,5.6,0.29亿,0.51亿,34.80亿,117.52
8,9,872808,曙光数创,38.91,4.71,1.75,0.18,1.61,1.96,7.7,0.16亿,0.26亿,10.02亿,50.90
9,10,688400,凌云光,30.53,4.55,1.33,-0.49,6.75,3.15,5.17,1.78亿,0.87亿,26.68亿,67.11
10,11,688600,皖仪科技,30.34,4.37,1.27,-0.82,1.64,2.25,7.33,0.34亿,0.69亿,20.88亿,118.87
11,12,603439,贵州三力,15.87,4.34,0.66,0.44,10.63,5.3,6.84,2.71亿,1.62亿,25.75亿,47.07
12,13,688191,智洋创新,16.82,4.08,0.66,0.36,1.9,2.99,4.83,0.22亿,0.71亿,11.98亿,75.10
13,14,688560,明冠新材,47.37,3.97,1.81,-0.3,4.63,3.21,6.87,1.95亿,0.90亿,42.78亿,53.13
14,15,300753,爱朋医疗,18.74,3.82,0.69,0.05,2.41,3.64,5.37,0.33亿,0.75亿,14.06亿,--
15,16,688010,福光股份,25.0,3.73,0.9,-0.44,1.18,5.95,5.73,0.45亿,1.53亿,38.25亿,147.98
16,17,835305,云创数据,12.33,3.53,0.42,0.49,1.75,2.27,4.11,0.14亿,0.64亿,7.89亿,34.58
17,18,300951,博硕科技,58.8,3.5,1.99,0.39,1.78,3.08,5.51,0.59亿,0.57亿,33.52亿,21.13
18,19,002757,南兴股份,13.99,3.32,0.45,-0.07,6.96,2.13,3.32,2.69亿,2.80亿,39.14亿,15.43
19,20,300101,振芯科技,29.23,3.25,0.92,0.03,0.74,2.04,3.57,1.21亿,5.62亿,164.39亿,58.10
20,21,300811,铂科新材,97.23,3.02,2.85,-0.63,2.52,3.46,4.87,2.11亿,0.86亿,83.85亿,60.95
21,22,001255,博菲电气,50.7,3.01,1.48,0.0,21.0,1.52,7.11,2.12亿,0.20亿,10.14亿,54.41
22,23,300638,广和通,24.0,3.0,0.7,0.04,2.1,2.59,5.62,2.00亿,4.07亿,97.75亿,39.78
23,24,300229,拓尔思,24.32,2.96,0.7,0.45,9.27,1.72,7.11,16.82亿,7.61亿,185.01亿,133.99
24,25,688286,敏芯股份,69.15,2.9,1.95,-0.04,2.58,2.39,6.04,0.62亿,0.35亿,24.21亿,--
