,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002131,利欧股份,2.16,8.54,0.17,0.47,8.82,3.7,10.55,10.91亿,58.35亿,126.03亿,--
1,2,600066,宇通客车,9.2,7.98,0.68,-0.22,3.02,7.46,9.27,6.09亿,22.14亿,203.68亿,116.78
2,3,002229,鸿博股份,14.7,6.83,0.94,-0.41,31.93,2.81,9.96,22.90亿,4.93亿,72.49亿,--
3,4,300229,拓尔思,24.89,5.38,1.27,0.08,12.65,1.47,10.96,23.19亿,7.61亿,189.35亿,137.13
4,5,600941,中国移动,79.53,4.64,3.53,-0.05,2.03,4.43,8.45,12.14亿,7.59亿,603.33亿,12.93
5,6,300043,星辉娱乐,3.33,3.1,0.1,0.0,3.97,2.96,4.64,1.23亿,9.38亿,31.23亿,--
6,7,600600,青岛啤酒,108.3,2.38,2.52,0.28,0.57,1.53,3.6,4.30亿,7.00亿,758.40亿,25.97
7,8,600573,惠泉啤酒,12.27,2.25,0.27,-0.24,1.64,0.87,3.83,0.50亿,2.50亿,30.68亿,46.93
8,9,002587,奥拓电子,6.73,2.12,0.14,0.15,9.61,1.46,5.77,3.33亿,5.09亿,34.25亿,138.25
9,10,000729,燕京啤酒,13.54,1.96,0.26,0.07,0.6,0.89,2.86,2.01亿,25.10亿,339.79亿,42.56
10,11,603189,网达软件,16.91,1.81,0.3,-0.06,2.01,1.52,3.61,0.91亿,2.70亿,45.58亿,72.68
11,12,000917,电广传媒,5.72,1.78,0.1,0.18,0.88,1.84,2.31,0.70亿,14.17亿,81.07亿,72.70
12,13,688039,当虹科技,46.86,1.54,0.71,0.0,3.95,1.87,5.37,1.10亿,0.59亿,27.54亿,--
13,14,600686,金龙汽车,6.61,1.54,0.1,0.15,1.78,2.65,3.84,0.85亿,7.17亿,47.40亿,--
14,15,000558,莱茵体育,2.87,1.41,0.04,0.0,0.77,1.34,1.41,0.28亿,12.89亿,36.98亿,--
15,16,300651,金陵体育,24.35,1.21,0.29,-0.08,1.62,1.78,1.95,0.30亿,0.76亿,18.46亿,103.33
16,17,600132,重庆啤酒,138.09,1.12,1.53,0.42,0.19,0.52,3.29,1.25亿,4.84亿,668.32亿,52.89
17,18,600158,中体产业,9.18,1.1,0.1,-0.11,1.93,1.84,2.31,1.28亿,7.22亿,66.29亿,--
18,19,300860,锋尚文化,57.35,1.06,0.6,-0.26,2.53,1.49,3.4,0.61亿,0.42亿,24.05亿,121.31
19,20,002461,珠江啤酒,9.02,0.78,0.07,0.11,0.28,0.68,1.68,0.56亿,22.13亿,199.64亿,26.25
20,21,300296,利亚德,6.45,0.78,0.05,0.16,0.65,1.06,1.25,0.87亿,20.72亿,133.63亿,28.32
21,22,002083,孚日股份,5.25,0.77,0.04,-0.19,0.95,1.89,1.54,0.41亿,8.12亿,42.62亿,14.12
22,23,601669,中国电建,7.03,0.72,0.05,0.14,0.43,1.38,0.86,3.32亿,109.91亿,772.70亿,10.54
23,24,002701,奥瑞金,5.13,0.59,0.03,0.0,0.23,0.77,1.18,0.30亿,25.71亿,131.89亿,18.22
24,25,002035,华帝股份,6.2,0.32,0.02,0.0,0.8,0.68,1.13,0.37亿,7.55亿,46.80亿,14.05
25,26,000921,海信家电,17.62,0.17,0.03,-0.4,0.4,0.87,2.1,0.63亿,9.03亿,159.08亿,16.83
26,27,300232,洲明科技,6.28,0.16,0.01,0.0,0.42,0.8,1.12,0.23亿,8.76亿,54.98亿,20.3
27,28,600496,精工钢构,4.22,0.0,0.0,0.0,0.48,0.92,0.95,0.41亿,20.13亿,84.94亿,9.74
28,29,002878,元隆雅图,18.24,0.0,0.0,0.11,5.86,2.28,5.21,2.09亿,1.93亿,35.27亿,17.26
29,30,300703,创源股份,11.06,0.0,0.0,0.09,1.63,1.26,1.63,0.30亿,1.67亿,18.50亿,16.94
30,31,300640,德艺文创,6.47,0.0,0.0,0.0,1.19,0.84,1.08,0.17亿,2.21亿,14.28亿,34.98
31,32,300182,捷成股份,5.62,0.0,0.0,0.36,4.76,1.5,3.56,5.86亿,21.99亿,123.61亿,22.61
32,33,002454,松芝股份,8.11,-0.25,-0.02,-0.12,0.89,0.78,1.48,0.45亿,6.26亿,50.79亿,67.98
33,34,300218,安利股份,11.45,-0.26,-0.03,0.0,0.34,0.84,0.87,0.08亿,2.16亿,24.76亿,10.12
34,35,600060,海信视像,15.48,-0.45,-0.07,0.0,0.18,0.6,1.03,0.37亿,12.89亿,199.55亿,13.71
35,36,002639,雪人股份,9.34,-0.74,-0.07,0.0,1.9,0.87,1.17,1.16亿,6.51亿,60.76亿,445.68
36,37,300162,雷曼光电,7.58,-0.92,-0.07,0.0,1.17,0.95,1.57,0.23亿,2.64亿,20.04亿,47.58
37,38,002342,巨力索具,4.93,-1.4,-0.07,0.0,6.14,0.91,3.2,2.69亿,8.80亿,43.37亿,338.92
38,39,600136,ST明诚,2.65,-1.85,-0.05,0.0,2.37,1.07,2.22,0.31亿,4.85亿,12.86亿,--
39,40,000681,视觉中国,17.3,-1.98,-0.35,0.0,8.08,1.01,3.34,8.11亿,5.84亿,101.08亿,113.16
40,41,300389,艾比森,12.72,-2.83,-0.37,0.0,4.11,1.13,3.67,0.90亿,1.71亿,21.74亿,30.22
41,42,002117,东港股份,11.21,-4.51,-0.53,-0.36,15.99,1.56,7.16,9.77亿,5.45亿,61.15亿,38.49
