,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300250,初灵信息,24.36,20.0,4.06,0.0,39.4,1.64,19.11,14.51亿,1.59亿,38.81亿,378.29
1,2,000034,神州数码,27.23,10.02,2.48,0.0,4.05,1.29,6.02,5.96亿,5.49亿,149.36亿,20.05
2,3,000977,浪潮信息,37.31,9.99,3.39,0.0,10.99,1.42,9.4,57.13亿,14.62亿,545.42亿,26.49
3,4,001339,智微智能,28.84,9.99,2.62,0.0,22.58,1.82,11.79,3.89亿,0.62亿,17.81亿,53.64
4,5,002229,鸿博股份,13.76,9.99,1.25,0.0,29.29,2.51,6.79,19.28亿,4.94亿,67.97亿,--
5,6,600410,华胜天成,6.52,9.95,0.59,0.0,4.59,1.98,9.44,3.15亿,10.96亿,71.49亿,--
6,7,603019,中科曙光,31.37,7.84,2.28,0.58,8.22,2.29,9.9,36.23亿,14.51亿,455.09亿,52.70
7,8,300520,科大国创,27.55,6.58,1.7,0.18,22.5,1.59,11.95,13.93亿,2.32亿,63.84亿,92.98
8,9,002261,拓维信息,8.73,6.08,0.5,-0.23,13.36,2.27,9.48,12.84亿,11.16亿,97.42亿,79.95
9,10,002197,证通电子,12.01,5.91,0.67,0.25,19.14,2.52,8.47,12.01亿,5.34亿,64.17亿,516.93
10,11,300166,东方国信,9.8,5.38,0.5,0.41,7.71,2.08,5.7,6.83亿,9.19亿,90.10亿,78.40
11,12,300578,会畅通讯,19.44,5.02,0.93,0.21,5.33,1.92,5.51,1.97亿,1.93亿,37.48亿,55.07
12,13,603496,恒为科技,18.85,4.84,0.87,-0.11,2.18,2.53,8.79,0.92亿,2.28亿,42.94亿,71.59
13,14,872808,曙光数创,37.26,4.81,1.71,-0.11,2.06,1.23,8.35,0.19亿,0.26亿,9.60亿,48.74
14,15,002439,启明星辰,29.89,4.62,1.32,-0.03,1.59,1.59,6.2,3.38亿,7.24亿,216.53亿,--
15,16,600131,国网信通,18.15,4.37,0.76,0.17,1.36,2.07,5.29,2.67亿,10.99亿,199.46亿,27.26
16,17,300807,天迈科技,25.82,4.32,1.07,0.51,4.03,1.59,4.81,0.50亿,0.49亿,12.56亿,--
17,18,000938,紫光股份,25.42,4.14,1.01,-0.63,1.99,1.29,6.68,14.24亿,28.60亿,727.03亿,33.25
18,19,300212,易华录,26.46,4.01,1.02,0.27,4.39,1.46,6.09,7.38亿,6.41亿,169.53亿,--
19,20,300663,科蓝软件,15.97,3.97,0.61,0.38,4.59,1.4,4.62,2.78亿,3.85亿,61.54亿,--
20,21,002230,科大讯飞,49.23,3.9,1.85,0.04,4.03,1.36,6.18,43.06亿,22.00亿,1082.82亿,204.17
21,22,300229,拓尔思,23.38,3.73,0.84,-0.89,15.15,1.37,8.25,26.93亿,7.61亿,177.86亿,128.81
22,23,300603,立昂技术,13.27,3.67,0.47,0.53,14.34,0.96,6.56,4.75亿,2.53亿,33.61亿,76.59
23,24,300730,科创信息,13.78,3.61,0.48,-0.07,8.78,1.38,5.26,2.10亿,1.76亿,24.19亿,--
24,25,688051,佳华科技,40.3,3.55,1.38,0.0,7.07,1.0,5.63,0.67亿,0.24亿,9.60亿,--
25,26,300826,测绘股份,14.02,3.47,0.47,-0.07,4.72,3.29,5.68,0.44亿,0.67亿,9.39亿,51.97
26,27,300588,熙菱信息,11.29,3.29,0.36,-0.18,4.68,1.06,4.76,0.71亿,1.36亿,15.40亿,--
27,28,000066,中国长城,13.73,3.23,0.43,-0.07,3.34,1.58,5.04,14.32亿,31.47亿,432.06亿,--
28,29,300921,南凌科技,21.49,3.22,0.67,0.28,4.72,0.98,4.42,0.62亿,0.62亿,13.23亿,44.53
29,30,002152,广电运通,11.02,2.9,0.31,0.18,1.1,1.56,4.48,2.97亿,24.82亿,273.53亿,30.76
30,31,300344,立方数科,5.73,2.87,0.16,-0.52,6.65,0.82,7.54,2.41亿,6.39亿,36.63亿,--
31,32,300846,首都在线,12.94,2.86,0.36,-0.39,12.16,0.97,5.49,5.00亿,3.21亿,41.53亿,--
32,33,300608,思特奇,10.98,2.81,0.3,-0.09,8.36,0.94,5.15,1.78亿,1.96亿,21.47亿,--
33,34,688256,寒武纪,87.76,2.67,2.28,-0.05,4.94,1.27,9.21,10.36亿,2.42亿,212.54亿,--
34,35,002602,世纪华通,4.78,2.58,0.12,-0.42,1.79,1.04,4.72,5.85亿,68.78亿,328.77亿,38.73
35,36,300895,铜牛信息,44.73,2.57,1.12,-0.29,25.67,1.02,8.44,6.85亿,0.60亿,26.90亿,228.76
36,37,300053,欧比特,8.8,2.56,0.22,-0.34,2.4,0.71,3.61,1.32亿,6.32亿,55.63亿,--
37,38,000070,特发信息,8.49,2.54,0.21,0.24,4.55,0.91,4.35,3.19亿,8.33亿,70.71亿,73.38
38,39,300113,顺网科技,12.19,2.52,0.3,-0.08,3.39,0.98,4.04,1.82亿,4.46亿,54.33亿,96.12
39,40,300188,美亚柏科,16.09,2.48,0.39,-0.12,1.6,1.42,4.39,1.84亿,7.24亿,116.53亿,--
40,41,300442,润泽科技,53.68,2.48,1.3,0.04,3.62,1.01,4.39,1.28亿,0.66亿,35.37亿,40.25
41,42,000063,中兴通讯,28.97,2.44,0.69,-0.1,0.98,1.45,3.5,11.23亿,39.80亿,1152.97亿,15.09
42,43,000889,ST中嘉,2.1,2.44,0.05,0.0,3.0,2.12,4.88,0.55亿,8.70亿,18.27亿,--
43,44,300472,新元科技,13.15,2.41,0.31,-0.08,2.35,0.93,3.5,0.77亿,2.51亿,33.05亿,73.50
44,45,603881,数据港,31.5,2.41,0.74,0.0,3.36,1.06,4.88,3.45亿,3.29亿,103.61亿,104.50
45,46,300494,盛天网络,17.03,2.34,0.39,0.0,2.98,1.08,3.06,1.07亿,2.11亿,35.99亿,18.24
46,47,300052,中青宝,22.7,2.21,0.49,-0.09,11.6,1.53,6.53,6.84亿,2.61亿,59.30亿,632.22
47,48,688158,优刻得,17.43,1.99,0.34,0.0,3.96,0.79,3.69,2.44亿,3.55亿,61.95亿,--
48,49,002757,南兴股份,13.55,1.88,0.25,0.07,5.25,0.59,2.48,1.98亿,2.80亿,37.91亿,14.94
49,50,688262,国芯科技,57.87,1.83,1.04,0.1,3.04,1.43,4.26,3.30亿,1.87亿,108.29亿,107.78
50,51,002642,荣联科技,9.47,1.83,0.17,0.11,10.03,1.08,4.62,5.64亿,6.05亿,57.28亿,347.21
51,52,603636,南威软件,17.02,1.79,0.3,-0.06,2.8,0.8,3.77,2.78亿,5.91亿,100.55亿,--
52,53,300252,金信诺,8.43,1.69,0.14,-0.24,1.45,0.99,2.05,0.53亿,4.42亿,37.29亿,98.09
