,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300847,中船汉光,21.52,2.97,0.62,-0.88,5.25,1.48,8.8,1.68亿,1.51亿,32.50亿,57.30
1,2,600482,中国动力,16.48,0.8,0.13,0.0,0.12,0.92,1.28,0.40亿,20.27亿,334.12亿,91.65
2,3,601989,中国重工,3.66,0.55,0.02,-0.27,0.13,0.75,0.82,1.04亿,220.84亿,808.27亿,--
3,4,600150,中国船舶,23.94,0.34,0.1,0.0,0.55,0.68,1.55,3.18亿,24.43亿,584.93亿,54.89
4,5,600685,中船防务,23.36,0.26,0.06,-0.04,0.38,0.56,1.46,0.73亿,8.21亿,191.89亿,1042.83
5,6,300516,久之洋,28.94,-0.04,-0.01,0.0,0.29,0.82,0.97,0.15亿,1.80亿,52.09亿,73.86
6,7,600072,中船科技,13.16,-0.9,-0.12,0.0,0.78,0.51,1.28,0.76亿,7.36亿,96.89亿,119.37
7,8,600764,中国海防,26.29,-0.94,-0.25,-0.11,0.34,0.57,1.32,0.63亿,7.11亿,186.82亿,60.50
8,9,300527,中船应急,7.85,-1.01,-0.08,-0.38,0.47,0.53,1.01,0.36亿,9.63亿,75.61亿,--
9,10,301311,昆船智能,20.6,-1.34,-0.28,-0.15,6.5,1.21,2.49,0.76亿,0.57亿,11.72亿,64.18
