,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600190,锦州港,3.61,1.98,0.07,0.56,1.06,1.0,2.83,0.67亿,17.79亿,64.24亿,70.0
1,2,603167,渤海轮渡,7.62,1.47,0.11,0.0,0.48,1.22,2.26,0.17亿,4.69亿,35.75亿,24.19
2,3,601880,辽港股份,1.64,1.24,0.02,0.0,0.22,2.33,1.24,0.67亿,188.28亿,308.79亿,26.24
3,4,600017,日照港,2.88,0.7,0.02,0.35,0.32,0.9,1.05,0.28亿,30.76亿,88.58亿,10.24
4,5,002094,青岛金王,4.45,0.68,0.03,0.0,2.09,0.73,2.26,0.64亿,6.90亿,30.73亿,63.39
5,6,601008,连云港,5.1,0.39,0.02,0.39,1.51,1.5,2.56,0.96亿,12.41亿,63.27亿,40.45
6,7,601298,青岛港,5.75,0.35,0.02,0.0,0.08,1.09,0.87,0.26亿,53.92亿,310.04亿,8.11
7,8,603967,中创物流,10.53,-0.1,-0.01,0.1,0.4,0.87,0.95,0.15亿,3.47亿,36.50亿,14.12
8,9,002612,朗姿股份,27.32,-0.44,-0.12,0.15,1.83,0.79,2.08,1.27亿,2.52亿,68.83亿,517.31
9,10,601877,正泰电器,31.19,-1.14,-0.36,0.0,0.39,1.07,1.58,2.61亿,21.50亿,670.58亿,15.64
10,11,000599,青岛双星,4.71,-1.26,-0.06,-0.21,1.51,0.64,2.52,0.58亿,8.17亿,38.47亿,--
