,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002458,益生股份,14.22,2.15,0.3,0.0,2.09,1.31,3.66,2.00亿,6.76亿,96.19亿,--
1,2,600429,三元股份,5.32,1.53,0.08,0.19,0.66,1.3,1.72,0.53亿,14.98亿,79.67亿,56.24
2,3,300997,欢乐家,13.66,1.04,0.14,-0.07,4.81,1.57,2.96,0.58亿,0.90亿,12.29亿,39.19
3,4,002557,洽洽食品,47.72,0.7,0.33,-0.06,0.19,0.58,1.44,0.46亿,5.07亿,241.94亿,28.95
4,5,002732,燕塘乳业,20.67,0.44,0.09,0.05,0.7,0.56,1.17,0.23亿,1.56亿,32.26亿,29.05
5,6,600887,伊利股份,31.31,0.42,0.13,0.03,0.3,1.3,1.35,6.01亿,63.08亿,1975.03亿,18.64
6,7,002183,怡亚通,6.13,0.33,0.02,0.0,0.4,0.64,0.82,0.63亿,25.96亿,159.15亿,55.14
7,8,600300,维维股份,3.47,0.29,0.01,-0.29,0.35,0.53,1.16,0.20亿,16.17亿,56.11亿,42.76
8,9,601515,东风股份,4.71,0.21,0.01,0.21,0.54,0.48,0.85,0.47亿,18.43亿,86.80亿,22.81
9,10,002385,大北农,8.3,0.12,0.01,0.0,1.65,0.77,0.96,4.51亿,32.94亿,273.44亿,--
10,11,600127,金健米业,7.85,0.0,0.0,-0.13,0.54,0.56,0.64,0.27亿,6.42亿,50.38亿,--
11,12,002910,庄园牧场,12.86,-0.08,-0.01,0.08,1.34,0.67,1.17,0.29亿,1.71亿,22.00亿,62.55
12,13,600597,光明乳业,10.99,-0.09,-0.01,0.09,0.28,0.54,0.55,0.40亿,12.99亿,142.73亿,30.75
13,14,300858,科拓生物,37.3,-0.11,-0.04,0.16,1.08,0.49,1.85,0.22亿,0.54亿,20.10亿,56.71
14,15,600359,新农开发,8.82,-0.11,-0.01,-0.11,1.08,0.48,0.68,0.36亿,3.82亿,33.65亿,43.31
15,16,300498,温氏股份,19.63,-0.15,-0.03,0.0,0.28,1.07,1.73,2.97亿,53.48亿,1049.72亿,140.76
16,17,002570,贝因美,5.01,-0.2,-0.01,0.2,1.37,0.96,1.0,0.73亿,10.72亿,53.69亿,91.71
17,18,002329,皇氏集团,8.68,-0.23,-0.02,0.0,9.08,1.95,3.22,4.22亿,5.33亿,46.27亿,94.59
18,19,605388,均瑶健康,15.48,-0.26,-0.04,0.19,0.93,0.78,1.74,0.20亿,1.41亿,21.80亿,63.27
19,20,300106,西部牧业,9.09,-0.33,-0.03,-0.11,0.85,0.65,0.77,0.16亿,2.11亿,19.21亿,98.94
20,21,001318,阳光乳业,16.74,-0.42,-0.07,0.06,2.99,0.67,1.07,0.35亿,0.71亿,11.84亿,38.33
21,22,605179,一鸣食品,12.57,-0.55,-0.07,-0.08,2.29,0.6,1.42,0.18亿,0.61亿,7.67亿,--
22,23,300313,ST天山,6.1,-0.65,-0.04,0.0,0.77,0.93,0.81,0.09亿,1.84亿,11.24亿,--
23,24,002505,鹏都农牧,3.01,-0.66,-0.02,0.0,0.37,0.64,1.32,0.71亿,63.74亿,191.87亿,738.59
24,25,300892,品渥食品,27.66,-0.9,-0.25,0.0,2.66,0.8,1.61,0.23亿,0.31亿,8.47亿,127.56
25,26,605337,李子园,27.55,-0.9,-0.25,0.0,2.47,0.76,3.67,0.81亿,1.19亿,32.71亿,37.59
26,27,300898,熊猫乳品,24.33,-0.98,-0.24,0.04,4.16,0.68,1.71,0.52亿,0.52亿,12.54亿,57.27
27,28,600882,妙可蓝多,36.87,-1.36,-0.51,-0.03,0.95,0.73,2.41,1.81亿,5.12亿,188.79亿,99.26
28,29,600419,天润乳业,17.44,-1.8,-0.32,0.12,0.74,0.5,1.91,0.40亿,3.04亿,53.04亿,27.20
29,30,002719,麦趣尔,11.34,-2.66,-0.31,-0.09,4.78,0.84,2.32,0.88亿,1.62亿,18.36亿,--
30,31,002946,新乳业,15.95,-3.04,-0.5,-0.06,0.99,0.78,3.46,1.35亿,8.45亿,134.75亿,33.42
