,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688158,优刻得,20.94,20.0,3.49,0.0,10.75,4.22,19.71,7.37亿,3.55亿,74.42亿,--
1,2,601728,中国电信,5.8,10.06,0.53,0.0,1.37,3.57,10.82,14.96亿,195.90亿,1136.24亿,16.22
2,3,603927,中科软,35.72,10.01,3.25,0.0,2.35,7.51,11.03,4.84亿,5.94亿,212.03亿,52.15
3,4,001339,智微智能,31.72,9.99,2.88,0.0,18.09,2.57,2.46,3.52亿,0.62亿,19.59亿,58.99
4,5,600536,中国软件,81.97,9.13,6.86,0.48,5.34,3.96,11.88,26.77亿,6.43亿,527.01亿,--
5,6,002229,鸿博股份,14.91,8.36,1.15,-0.47,28.65,3.26,9.16,20.48亿,4.93亿,73.53亿,--
6,7,688316,青云科技,44.7,7.92,3.28,2.08,7.98,2.03,11.54,1.18亿,0.35亿,15.65亿,--
7,8,002368,太极股份,41.5,7.37,2.85,-1.14,3.29,2.46,11.56,7.71亿,5.88亿,243.91亿,156.80
8,9,300271,华宇软件,9.91,6.45,0.6,0.51,5.19,2.48,8.49,3.44亿,6.91亿,68.52亿,--
9,10,300807,天迈科技,27.61,6.07,1.58,-0.68,9.76,6.09,11.56,1.29亿,0.49亿,13.43亿,--
10,11,000977,浪潮信息,39.48,5.82,2.17,0.03,11.09,2.38,5.84,63.00亿,14.62亿,577.14亿,28.03
11,12,300578,会畅通讯,20.85,5.78,1.14,1.66,10.29,5.47,8.07,4.09亿,1.93亿,40.20亿,59.07
12,13,688227,品高股份,26.75,5.27,1.34,0.38,3.2,5.2,5.98,0.52亿,0.62亿,16.59亿,--
13,14,000063,中兴通讯,30.6,5.16,1.5,0.13,1.55,3.44,6.77,18.50亿,39.80亿,1217.84亿,15.94
14,15,002415,海康威视,37.94,4.87,1.76,0.0,0.45,3.28,5.06,15.40亿,91.09亿,3455.87亿,30.14
15,16,300494,盛天网络,17.88,4.44,0.76,-0.17,5.97,3.65,6.72,2.23亿,2.11亿,37.79亿,19.15
16,17,300166,东方国信,10.35,4.23,0.42,0.0,12.11,4.62,6.14,11.52亿,9.19亿,95.16亿,82.80
17,18,002439,启明星辰,30.93,4.18,1.24,-0.16,1.09,1.76,6.57,2.37亿,7.24亿,224.06亿,--
18,19,300212,易华录,27.7,4.02,1.07,0.73,4.14,2.4,7.85,7.07亿,6.41亿,177.48亿,--
19,20,002279,久其软件,9.25,3.93,0.35,0.43,12.49,3.26,7.98,8.83亿,7.88亿,72.90亿,--
20,21,300229,拓尔思,24.54,3.9,0.92,-1.21,11.0,1.65,8.81,20.04亿,7.61亿,186.69亿,135.20
21,22,600845,宝信软件,51.74,3.83,1.91,-0.12,0.37,2.53,4.92,2.69亿,14.37亿,743.74亿,50.14
22,23,301248,杰创智能,37.68,3.83,1.39,0.61,20.31,1.23,5.84,1.81亿,0.24亿,9.04亿,59.66
23,24,300738,奥飞数据,13.89,3.73,0.5,-0.36,7.29,1.91,8.96,6.80亿,6.84亿,95.06亿,64.77
24,25,300078,思创医惠,5.91,3.68,0.21,0.68,8.49,4.64,5.79,3.85亿,7.75亿,45.83亿,817.53
25,26,300379,东方通,25.42,3.54,0.87,-0.43,2.98,2.98,4.85,3.23亿,4.33亿,110.11亿,--
26,27,688118,普元信息,23.17,3.53,0.79,-0.09,1.71,1.72,5.09,0.30亿,0.78亿,18.15亿,--
27,28,600100,同方股份,5.89,3.52,0.2,0.17,2.37,2.22,5.62,4.03亿,29.64亿,174.57亿,--
28,29,000815,美利云,16.12,3.2,0.5,0.06,5.65,1.85,6.72,6.24亿,6.95亿,112.08亿,--
29,30,835305,云创数据,12.28,3.11,0.37,-0.24,1.84,1.93,4.11,0.14亿,0.64亿,7.86亿,34.44
30,31,300454,深信服,148.95,3.08,4.45,-0.36,0.85,2.05,5.27,3.41亿,2.72亿,405.08亿,--
31,32,002757,南兴股份,13.95,3.03,0.41,0.07,7.43,1.84,3.32,2.88亿,2.80亿,39.03亿,15.38
32,33,002238,天威视讯,8.19,3.02,0.24,0.0,3.38,3.96,4.91,2.22亿,8.03亿,65.73亿,59.93
33,34,002544,普天科技,21.59,2.81,0.59,0.56,0.71,2.2,3.76,1.01亿,6.67亿,143.93亿,91.26
34,35,002467,二六三,6.31,2.77,0.17,-0.16,8.86,3.0,5.05,7.49亿,13.58亿,85.72亿,100.91
35,36,002301,齐心集团,7.89,2.73,0.21,0.13,2.06,3.06,7.03,1.17亿,7.18亿,56.65亿,29.90
36,37,002649,博彦科技,15.76,2.67,0.41,-0.51,12.33,1.93,9.77,10.09亿,5.24亿,82.58亿,25.12
37,38,600767,*ST运盛,5.69,2.52,0.14,-0.35,0.51,0.86,5.22,0.10亿,3.41亿,19.40亿,964.49
38,39,300687,赛意信息,34.55,2.52,0.85,-1.23,1.0,0.97,5.7,1.05亿,3.10亿,107.14亿,68.53
39,40,603636,南威软件,17.44,2.47,0.42,0.06,2.31,1.15,4.23,2.35亿,5.91亿,103.03亿,--
40,41,600198,大唐电信,7.23,2.41,0.17,0.7,0.84,1.59,2.69,0.53亿,8.80亿,63.66亿,--
41,42,600126,杭钢股份,4.82,2.34,0.11,0.21,0.39,1.72,2.97,0.63亿,33.77亿,162.78亿,24.60
42,43,600588,用友网络,25.88,2.33,0.59,0.0,0.45,1.28,3.99,3.90亿,34.17亿,884.29亿,--
43,44,300170,汉得信息,11.94,2.31,0.27,-0.08,7.11,3.02,4.2,6.97亿,8.27亿,98.76亿,17.57
44,45,300603,立昂技术,13.45,2.28,0.3,-0.44,12.93,1.38,9.05,4.40亿,2.53亿,34.06亿,77.63
45,46,000948,南天信息,24.87,2.26,0.55,0.08,6.02,2.05,5.1,4.90亿,3.35亿,83.19亿,150.97
46,47,603138,海量数据,26.77,2.25,0.59,0.56,3.03,2.0,6.3,2.19亿,2.80亿,74.91亿,--
47,48,002261,拓维信息,8.73,2.23,0.19,-0.68,8.17,1.91,4.68,7.91亿,11.16亿,97.42亿,79.95
48,49,002777,久远银海,19.56,2.09,0.4,-0.15,2.42,1.97,3.97,1.87亿,3.99亿,78.13亿,47.88
49,50,600633,浙数文化,9.8,2.08,0.2,0.41,2.05,2.0,3.54,2.51亿,12.66亿,124.04亿,25.93
50,51,300468,四方精创,11.88,2.06,0.24,-0.5,3.19,2.03,3.18,1.99亿,5.29亿,62.86亿,84.41
51,52,603660,苏州科达,6.65,1.99,0.13,-0.3,2.52,1.58,4.45,0.82亿,4.94亿,32.86亿,--
52,53,600804,ST鹏博士,3.6,1.98,0.07,0.0,1.62,2.6,3.97,0.80亿,13.93亿,50.13亿,99.08
53,54,688039,当虹科技,47.06,1.97,0.91,-0.06,3.72,2.27,5.37,1.03亿,0.59亿,27.65亿,--
54,55,300052,中青宝,23.12,1.94,0.44,0.0,11.48,2.38,6.3,6.95亿,2.61亿,60.39亿,643.91
55,56,300383,光环新网,10.78,1.89,0.2,0.94,2.08,1.44,3.88,3.92亿,17.81亿,192.01亿,35.19
56,57,600850,电科数字,25.44,1.88,0.47,-0.12,1.05,2.12,3.6,1.46亿,5.55亿,141.17亿,44.91
57,58,002212,天融信,12.12,1.85,0.22,0.17,0.94,1.7,3.61,1.31亿,11.68亿,141.53亿,--
58,59,300036,超图软件,21.12,1.83,0.38,0.38,1.36,1.64,2.65,1.21亿,4.25亿,89.67亿,124.63
59,60,600602,云赛智联,10.34,1.77,0.18,-0.1,3.94,2.62,3.94,4.33亿,10.74亿,111.08亿,69.69
60,61,300678,中科信息,22.07,1.71,0.37,0.23,6.28,1.5,3.69,1.71亿,1.25亿,27.56亿,155.50
61,62,002602,世纪华通,4.88,1.67,0.08,0.21,1.2,1.17,3.12,4.02亿,68.78亿,335.65亿,39.54
62,63,300051,三五互联,13.11,1.47,0.19,0.0,2.28,1.0,3.95,1.08亿,3.66亿,47.94亿,--
63,64,600037,歌华有线,8.79,1.38,0.12,-0.11,0.79,1.83,2.31,0.96亿,13.92亿,122.34亿,27.93
64,65,300925,法本信息,15.45,1.38,0.21,0.26,4.37,2.21,3.41,1.32亿,1.99亿,30.73亿,41.07
65,66,688590,新致软件,12.53,1.38,0.17,-0.16,3.27,1.52,3.4,0.65亿,1.61亿,20.16亿,128.40
66,67,300047,天源迪科,8.26,1.35,0.11,0.0,9.67,1.45,6.87,4.28亿,5.35亿,44.20亿,92.71
67,68,000938,紫光股份,25.76,1.34,0.34,0.0,1.34,1.4,3.93,9.75亿,28.60亿,736.76亿,33.70
68,69,603912,佳力图,13.91,1.31,0.18,0.0,3.08,1.63,2.84,1.28亿,3.04亿,42.28亿,151.52
69,70,300645,正元智慧,29.91,1.25,0.37,-0.23,0.85,2.02,3.28,0.35亿,1.38亿,41.26亿,105.54
70,71,300366,创意信息,12.48,1.22,0.15,0.16,5.05,1.48,4.54,3.05亿,4.96亿,61.86亿,--
71,72,300556,丝路视觉,21.81,1.21,0.26,-0.23,5.57,1.38,3.62,1.15亿,0.95亿,20.75亿,128.65
72,73,603881,数据港,31.86,1.21,0.38,-0.19,1.97,1.08,3.34,2.04亿,3.29亿,104.80亿,105.70
73,74,002065,东华软件,6.81,1.19,0.08,-0.15,0.76,1.37,2.23,1.49亿,29.04亿,197.78亿,33.85
74,75,002315,焦点科技,20.41,1.14,0.23,-0.15,4.03,1.77,3.72,1.57亿,1.91亿,39.04亿,19.74
75,76,002316,*ST亚联,3.57,1.13,0.04,0.0,0.7,0.96,1.7,0.07亿,2.92亿,10.42亿,--
76,77,601360,三六零,11.32,1.07,0.12,0.36,4.23,1.52,5.27,33.45亿,71.45亿,808.86亿,--
77,78,003005,竞业达,44.21,1.0,0.44,0.68,6.13,1.66,3.38,1.36亿,0.51亿,22.57亿,212.53
78,79,300287,飞利信,4.21,0.96,0.04,0.0,2.93,1.42,2.4,1.57亿,12.84亿,54.07亿,--
79,80,300085,银之杰,11.98,0.93,0.11,-0.08,3.51,2.29,5.05,2.20亿,5.27亿,63.15亿,--
80,81,002123,梦网科技,15.93,0.89,0.14,-0.31,11.33,3.7,8.04,12.06亿,6.68亿,106.46亿,511.19
81,82,300846,首都在线,13.11,0.85,0.11,0.23,7.24,1.06,4.08,3.00亿,3.21亿,42.08亿,--
82,83,603003,龙宇燃油,8.9,0.79,0.07,0.0,0.53,0.84,1.59,0.19亿,4.02亿,35.82亿,98.26
83,84,000851,高鸿股份,6.41,0.79,0.05,0.0,4.71,1.08,3.15,3.27亿,10.99亿,70.46亿,26.26
84,85,300290,荣科科技,5.25,0.77,0.04,-0.19,1.02,1.27,2.5,0.33亿,6.24亿,32.74亿,84.79
85,86,300419,浩丰科技,6.7,0.75,0.05,0.0,1.68,1.43,2.26,0.41亿,3.68亿,24.64亿,156.58
86,87,300872,天阳科技,15.0,0.74,0.11,0.13,1.45,1.21,1.54,0.55亿,2.56亿,38.44亿,123.14
87,88,600718,东软集团,11.3,0.71,0.08,0.18,0.94,1.41,2.5,1.26亿,12.04亿,136.02亿,80.56
88,89,300378,鼎捷软件,18.73,0.7,0.13,-0.21,1.04,1.39,2.26,0.51亿,2.66亿,49.91亿,78.73
89,90,300235,方直科技,13.1,0.69,0.09,0.15,4.19,0.79,2.38,0.73亿,1.34亿,17.59亿,59.65
90,91,002232,启明信息,15.17,0.66,0.1,0.53,1.0,0.82,2.06,0.61亿,4.09亿,61.98亿,68.85
91,92,000034,神州数码,27.4,0.62,0.17,0.0,12.73,7.2,10.5,19.29亿,5.49亿,150.29亿,20.18
92,93,601138,工业富联,10.11,0.6,0.06,0.0,0.16,1.84,2.69,3.22亿,197.96亿,2001.32亿,12.77
93,94,601928,凤凰传媒,8.53,0.59,0.05,0.12,0.31,1.33,2.36,0.67亿,25.45亿,217.08亿,9.38
94,95,300113,顺网科技,12.66,0.56,0.07,-0.24,4.8,2.18,3.81,2.70亿,4.46亿,56.43亿,99.82
95,96,002268,电科网安,35.49,0.54,0.19,0.25,1.85,1.89,2.89,5.45亿,8.41亿,298.57亿,454.11
96,97,300730,科创信息,13.91,0.51,0.07,0.36,5.37,1.49,3.69,1.29亿,1.76亿,24.42亿,--
97,98,300168,万达信息,10.25,0.49,0.05,-0.1,0.69,1.2,2.06,0.83亿,11.83亿,121.28亿,--
98,99,600831,广电网络,6.33,0.48,0.03,0.16,1.22,1.27,1.59,0.54亿,7.11亿,44.98亿,78.28
99,100,300369,绿盟科技,12.9,0.47,0.06,0.16,1.86,2.59,3.74,1.75亿,7.35亿,94.76亿,--
100,101,300050,世纪鼎利,4.33,0.46,0.02,0.23,0.7,1.01,1.86,0.15亿,5.09亿,22.06亿,--
101,102,300274,阳光电源,116.93,0.46,0.54,-0.09,0.56,1.02,2.59,7.43亿,11.29亿,1319.96亿,63.21
102,103,000066,中国长城,14.0,0.43,0.06,1.23,3.01,2.26,5.17,12.82亿,31.47亿,440.55亿,--
103,104,600751,海航科技,2.5,0.4,0.01,0.0,0.32,1.21,1.21,0.20亿,25.73亿,64.33亿,28.94
104,105,000008,神州高铁,2.51,0.4,0.01,-0.4,0.41,0.94,1.2,0.27亿,26.30亿,66.01亿,--
105,106,002822,中装建设,5.06,0.4,0.02,0.2,0.77,0.7,1.79,0.25亿,6.51亿,32.93亿,--
106,107,002987,京北方,31.12,0.39,0.12,-0.35,3.24,1.09,2.97,1.31亿,1.30亿,40.55亿,39.02
107,108,002400,省广集团,5.25,0.38,0.02,0.0,2.99,0.95,2.68,2.65亿,16.87亿,88.58亿,63.36
108,109,603887,城地香江,8.12,0.37,0.03,0.12,0.81,0.66,1.36,0.30亿,4.51亿,36.60亿,934.59
109,110,600728,佳都科技,6.51,0.31,0.02,0.0,0.9,0.98,1.7,1.01亿,17.37亿,113.10亿,--
110,111,300249,依米康,10.49,0.29,0.03,-0.47,6.17,1.1,3.15,2.36亿,3.68亿,38.65亿,108.48
111,112,300921,南凌科技,21.72,0.28,0.06,0.28,2.75,0.96,2.82,0.36亿,0.62亿,13.37亿,45.01
112,113,600355,精伦电子,3.92,0.26,0.01,-0.25,2.38,1.2,1.79,0.45亿,4.92亿,19.29亿,--
113,114,300465,高伟达,10.7,0.19,0.02,-0.09,1.16,1.03,2.25,0.55亿,4.47亿,47.80亿,--
114,115,300608,思特奇,11.07,0.18,0.02,0.45,5.07,1.03,3.53,1.09亿,1.96亿,21.65亿,--
115,116,300213,佳讯飞鸿,6.22,0.16,0.01,-0.32,2.42,1.23,2.09,0.83亿,5.51亿,34.25亿,111.12
116,117,000555,神州信息,12.63,0.16,0.02,0.0,0.78,1.58,2.22,0.96亿,9.80亿,123.77亿,77.42
117,118,603528,多伦科技,7.57,0.13,0.01,-0.4,0.41,1.17,1.98,0.19亿,6.24亿,47.25亿,80.72
118,119,300231,银信科技,8.91,0.11,0.01,0.0,1.63,1.29,1.57,0.49亿,3.44亿,30.61亿,19.62
119,120,002153,石基信息,17.61,0.06,0.01,-0.23,0.24,0.86,2.27,0.52亿,12.30亿,216.65亿,2443.29
120,121,002542,中化岩土,3.24,0.0,0.0,-0.31,0.78,0.88,1.24,0.40亿,15.72亿,50.94亿,--
121,122,300020,银江技术,7.76,0.0,0.0,0.13,1.42,1.2,1.42,0.69亿,6.27亿,48.68亿,47.73
122,123,300025,华星创业,6.05,0.0,0.0,0.0,0.93,0.78,1.49,0.24亿,4.29亿,25.93亿,201.44
123,124,300175,朗源股份,4.06,0.0,0.0,-0.25,0.59,0.69,0.98,0.11亿,4.71亿,19.11亿,--
124,125,600589,ST榕泰,2.12,0.0,0.0,0.47,0.6,1.89,2.83,0.09亿,7.04亿,14.93亿,--
125,126,600601,*ST方科,2.49,0.0,0.0,0.0,0.1,0.96,0.8,0.11亿,41.70亿,103.84亿,--
126,127,601789,宁波建工,5.21,0.0,0.0,0.39,2.14,0.78,1.73,1.21亿,10.87亿,56.62亿,18.76
127,128,603322,超讯通信,16.85,0.0,0.0,0.36,0.49,0.83,1.31,0.13亿,1.56亿,26.23亿,24.88
128,129,300768,迪普科技,17.27,-0.06,-0.01,0.29,0.86,1.66,2.55,0.57亿,3.85亿,66.52亿,122.34
129,130,600570,恒生电子,46.28,-0.07,-0.03,0.26,0.5,1.48,2.14,4.36亿,19.00亿,879.32亿,5738.00
130,131,002063,远光软件,8.72,-0.12,-0.01,0.0,0.89,1.54,3.32,1.12亿,14.62亿,127.50亿,70.76
131,132,300017,网宿科技,6.43,-0.15,-0.01,-0.31,1.52,1.11,2.17,2.21亿,22.70亿,145.94亿,67.05
132,133,300302,同有科技,8.67,-0.23,-0.02,0.23,1.4,0.81,1.84,0.44亿,3.61亿,31.33亿,924.25
133,134,002197,证通电子,11.87,-0.25,-0.03,0.42,9.84,1.9,3.7,6.12亿,5.34亿,63.42亿,510.90
134,135,300308,中际旭创,35.68,-0.28,-0.1,0.06,1.56,0.84,3.41,4.19亿,7.48亿,267.01亿,25.14
135,136,600590,泰豪科技,6.7,-0.3,-0.02,0.15,0.46,1.3,1.49,0.26亿,8.44亿,56.52亿,16.45
136,137,600410,华胜天成,6.5,-0.31,-0.02,0.0,8.79,6.05,4.91,6.29亿,10.96亿,71.27亿,--
137,138,688258,卓易信息,49.97,-0.36,-0.18,0.28,1.49,1.52,2.91,0.43亿,0.59亿,29.42亿,103.30
138,139,300248,新开普,10.5,-0.38,-0.04,0.0,1.28,0.66,1.71,0.54亿,4.05亿,42.50亿,--
139,140,300674,宇信科技,18.24,-0.38,-0.07,-0.44,2.68,1.7,5.3,3.41亿,7.03亿,128.27亿,86.43
140,141,002334,英威腾,11.82,-0.51,-0.06,-0.09,3.41,1.34,3.62,2.72亿,6.86亿,81.13亿,42.82
141,142,600869,远东股份,5.61,-0.53,-0.03,0.36,0.37,1.2,1.77,0.46亿,22.19亿,124.51亿,19.10
142,143,688080,映翰通,49.75,-0.56,-0.28,0.44,0.62,0.7,2.7,0.13亿,0.41亿,20.38亿,38.83
143,144,002093,国脉科技,8.5,-0.58,-0.05,0.0,1.89,0.68,1.4,1.60亿,10.04亿,85.32亿,138.85
144,145,002396,星网锐捷,23.54,-0.63,-0.15,-0.09,1.71,1.4,1.98,2.33亿,5.83亿,137.30亿,18.70
145,146,002912,中新赛克,41.4,-0.65,-0.27,-0.22,2.41,3.33,6.17,1.61亿,1.62亿,67.16亿,--
146,147,600770,综艺股份,7.5,-0.66,-0.05,0.27,0.66,1.28,1.99,0.64亿,13.00亿,97.50亿,--
147,148,002929,润建股份,45.97,-0.71,-0.33,0.2,0.34,0.71,1.86,0.25亿,1.60亿,73.76亿,22.01
148,149,600476,湘邮科技,17.76,-0.73,-0.13,0.0,3.58,1.56,3.02,1.01亿,1.61亿,28.62亿,--
