,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002024,ST易购,2.3,5.02,0.11,0.0,0.75,7.42,4.57,1.34亿,78.83亿,181.32亿,--
1,2,600100,同方股份,5.89,3.52,0.2,-0.17,3.0,2.18,6.33,5.15亿,29.64亿,174.57亿,--
2,3,300253,卫宁健康,11.13,2.39,0.26,0.27,1.1,1.77,4.14,2.24亿,18.49亿,205.75亿,128.03
3,4,300059,东方财富,22.17,2.35,0.51,0.05,1.0,1.89,2.45,24.53亿,110.89亿,2458.36亿,33.32
4,5,300085,银之杰,12.14,2.27,0.27,0.33,4.47,2.26,5.98,2.82亿,5.27亿,63.99亿,--
5,6,601318,中国平安,49.96,2.21,1.08,0.18,0.29,1.45,2.02,15.53亿,108.33亿,5412.00亿,8.96
6,7,000627,天茂集团,3.49,2.05,0.07,0.0,0.54,1.17,2.63,0.86亿,45.52亿,158.88亿,54.42
7,8,002315,焦点科技,20.48,1.49,0.3,0.2,4.41,1.5,3.72,1.72亿,1.91亿,39.18亿,19.81
8,9,600446,金证股份,13.78,0.95,0.13,-0.07,1.67,1.34,2.86,2.16亿,9.41亿,129.64亿,70.56
9,10,002029,七匹狼,5.76,0.88,0.05,0.17,0.43,1.37,1.05,0.18亿,7.24亿,41.69亿,33.58
10,11,601336,新华保险,31.08,0.84,0.26,0.06,0.24,1.15,1.66,1.55亿,20.85亿,648.15亿,14.01
11,12,300061,旗天科技,7.69,0.79,0.06,0.13,1.86,1.1,1.83,0.81亿,5.67亿,43.61亿,70.78
12,13,002437,誉衡药业,2.66,0.76,0.02,-0.38,1.22,1.5,2.27,0.71亿,21.91亿,58.28亿,145.67
13,14,000540,中天金融,1.37,0.73,0.01,0.74,0.76,1.51,1.47,0.72亿,69.69亿,95.47亿,--
14,15,000851,高鸿股份,6.4,0.63,0.04,0.16,5.72,1.01,3.15,3.98亿,10.99亿,70.35亿,26.22
15,16,000027,深圳能源,6.27,-0.16,-0.01,0.0,0.11,0.73,0.48,0.33亿,47.57亿,298.29亿,13.69
16,17,300399,天利科技,12.85,-1.46,-0.19,-0.08,1.94,1.15,1.76,0.48亿,1.95亿,25.01亿,544.33
17,18,002403,爱仕达,10.2,-1.83,-0.19,0.1,3.31,1.53,2.41,1.03亿,3.06亿,31.21亿,--
