,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002229,鸿博股份,14.7,6.83,0.94,-0.41,31.93,2.81,9.96,22.90亿,4.93亿,72.49亿,--
1,2,300052,中青宝,23.17,2.16,0.49,-0.22,12.06,1.94,6.3,7.30亿,2.61亿,60.52亿,645.31
2,3,000917,电广传媒,5.72,1.78,0.1,0.18,0.88,1.84,2.31,0.70亿,14.17亿,81.07亿,72.70
3,4,600238,海南椰岛,15.07,1.62,0.24,0.13,6.36,2.0,3.84,4.27亿,4.45亿,67.06亿,--
4,5,002296,辉煌科技,9.11,1.11,0.1,0.11,3.24,1.07,2.89,1.01亿,3.46亿,31.51亿,26.34
5,6,600158,中体产业,9.18,1.1,0.1,-0.11,1.93,1.84,2.31,1.28亿,7.22亿,66.29亿,--
6,7,600358,国旅联合,6.55,1.08,0.07,0.15,1.11,0.95,2.01,0.37亿,5.05亿,33.07亿,564.06
7,8,300579,数字认证,28.5,0.89,0.25,0.0,1.27,1.51,3.08,0.94亿,2.62亿,74.63亿,260.69
8,9,002277,友阿股份,3.86,0.26,0.01,-0.26,0.83,0.94,1.3,0.44亿,13.94亿,53.82亿,29.42
9,10,002235,安妮股份,9.33,-0.11,-0.01,-0.21,12.39,1.1,4.5,6.28亿,5.48亿,51.15亿,--
10,11,300770,新媒股份,42.13,-0.52,-0.22,-0.14,0.68,0.93,2.2,0.66亿,2.31亿,97.34亿,14.24
11,12,000665,湖北广电,6.99,-1.27,-0.09,0.14,3.9,1.43,1.84,3.09亿,11.34亿,79.28亿,--
12,13,002264,新华都,6.13,-2.23,-0.14,-0.16,2.26,2.31,2.07,0.91亿,6.53亿,40.05亿,12.91
13,14,000829,天音控股,12.18,-3.1,-0.39,0.0,5.92,1.5,4.06,7.38亿,10.24亿,124.74亿,76.09
14,15,002117,东港股份,11.21,-4.51,-0.53,-0.36,15.99,1.56,7.16,9.77亿,5.45亿,61.15亿,38.49
