,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002663,普邦股份,2.28,10.14,0.21,0.0,3.05,4.99,11.11,0.84亿,12.48亿,28.45亿,--
1,2,301236,软通动力,43.02,7.6,3.04,-0.53,10.29,4.58,7.78,3.51亿,0.82亿,35.27亿,30.49
2,3,301299,卓创资讯,55.46,6.31,3.29,-0.36,10.47,3.3,9.16,0.85亿,0.15亿,8.32亿,45.13
3,4,600095,湘财股份,9.87,5.45,0.51,-0.1,8.27,4.67,9.19,9.09亿,11.30亿,111.55亿,--
4,5,002024,ST易购,2.3,5.02,0.11,0.0,0.68,8.5,4.57,1.22亿,78.83亿,181.32亿,--
5,6,002354,天娱数科,7.02,4.46,0.3,-0.43,22.21,1.66,12.95,22.82亿,14.69亿,103.10亿,--
6,7,300226,上海钢联,34.77,4.41,1.47,-0.4,2.52,2.25,8.68,2.24亿,2.57亿,89.51亿,50.54
7,8,300033,同花顺,129.18,4.18,5.18,0.77,1.47,2.57,6.47,5.11亿,2.72亿,350.78亿,59.02
8,9,300229,拓尔思,24.56,3.98,0.94,-0.16,11.1,1.63,8.81,20.23亿,7.61亿,186.84亿,135.31
9,10,002279,久其软件,9.23,3.71,0.33,-0.86,12.87,3.29,7.98,9.11亿,7.88亿,72.74亿,--
10,11,002945,华林证券,14.75,2.93,0.42,0.0,0.81,4.3,4.26,3.21亿,27.00亿,398.25亿,68.34
11,12,000728,国元证券,7.14,2.88,0.2,-0.14,1.69,5.83,4.32,5.26亿,43.64亿,311.57亿,18.13
12,13,601519,大智慧,7.29,2.82,0.2,-0.27,1.4,3.46,3.67,2.03亿,20.04亿,146.08亿,--
13,14,002649,博彦科技,15.74,2.54,0.39,-0.25,12.42,1.9,9.77,10.17亿,5.24亿,82.48亿,25.09
14,15,300059,东方财富,22.16,2.31,0.5,0.14,0.92,2.19,2.45,22.49亿,110.89亿,2457.25亿,33.30
15,16,002558,巨人网络,10.86,2.26,0.24,0.19,1.73,2.9,6.87,3.78亿,20.05亿,217.74亿,21.05
16,17,300052,中青宝,23.19,2.25,0.51,0.3,11.5,2.33,6.3,6.96亿,2.61亿,60.58亿,645.86
17,18,603500,祥和实业,15.11,2.23,0.33,0.94,0.55,1.07,3.52,0.20亿,2.43亿,36.67亿,55.38
18,19,688318,财富趋势,133.55,2.14,2.8,-0.26,6.67,2.24,3.94,2.55亿,0.29亿,38.48亿,139.88
19,20,600588,用友网络,25.8,2.02,0.51,-0.35,0.46,1.27,3.99,3.97亿,34.17亿,881.55亿,--
20,21,300377,赢时胜,9.87,1.75,0.17,0.1,1.67,1.65,2.89,1.09亿,6.68亿,65.97亿,898.92
21,22,600729,重庆百货,25.02,1.75,0.43,-0.04,0.48,2.42,3.42,0.49亿,4.02亿,100.53亿,9.08
22,23,000861,海印股份,2.34,1.74,0.04,0.43,1.11,2.97,3.04,0.61亿,23.68亿,55.42亿,53.93
23,24,601456,国联证券,11.7,1.74,0.2,-0.09,2.23,2.1,2.44,2.58亿,9.89亿,115.71亿,38.61
24,25,603383,顶点软件,51.25,1.73,0.87,0.02,1.04,2.07,5.99,0.88亿,1.69亿,86.55亿,89.63
25,26,600599,ST熊猫,13.34,1.6,0.21,0.08,0.62,1.96,2.89,0.14亿,1.66亿,22.14亿,23.30
26,27,600109,国金证券,9.74,1.56,0.16,-0.21,0.63,2.12,2.29,1.97亿,32.11亿,313.11亿,33.11
27,28,002707,众信旅游,9.93,1.53,0.15,0.1,4.15,2.78,3.07,3.32亿,8.01亿,79.54亿,--
28,29,300663,科蓝软件,16.18,1.44,0.23,0.31,3.45,1.68,4.01,2.14亿,3.85亿,62.35亿,--
