,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600536,中国软件,79.99,6.5,4.88,0.23,6.21,3.56,11.88,31.30亿,6.43亿,514.28亿,--
1,2,600135,乐凯胶片,8.45,3.3,0.27,0.12,2.23,4.22,4.77,1.04亿,5.53亿,46.75亿,101.81
2,3,000158,常山北明,6.67,3.25,0.21,1.37,1.71,1.98,4.33,1.76亿,15.81亿,105.47亿,--
3,4,601059,信达证券,19.34,2.87,0.54,0.1,23.57,1.24,5.75,14.71亿,3.24亿,62.72亿,64.99
4,5,600258,首旅酒店,25.79,2.87,0.72,0.27,0.78,0.99,3.95,2.14亿,10.70亿,276.06亿,--
5,6,300071,福石控股,5.57,2.58,0.14,-0.54,11.37,1.65,9.21,5.72亿,8.91亿,49.65亿,114.97
6,7,300212,易华录,27.1,1.76,0.47,-0.07,4.79,2.15,7.85,8.21亿,6.41亿,173.64亿,--
7,8,000151,中成股份,14.41,1.69,0.24,-0.21,5.55,1.42,3.46,2.14亿,2.67亿,38.41亿,--
8,9,600155,华创阳安,7.27,1.4,0.1,0.14,1.18,2.43,1.81,1.49亿,17.40亿,126.47亿,65.30
9,10,600874,创业环保,6.46,1.25,0.08,0.16,0.33,1.71,1.25,0.23亿,10.87亿,70.23亿,12.02
10,11,600082,海泰发展,3.6,1.12,0.04,0.0,0.95,1.57,1.97,0.21亿,6.34亿,22.84亿,--
11,12,000882,华联股份,1.85,1.09,0.02,0.0,1.05,2.61,1.64,0.53亿,27.37亿,50.64亿,--
12,13,002432,九安医疗,51.72,1.0,0.51,0.08,1.17,1.33,1.62,2.89亿,4.81亿,249.01亿,1.16
13,14,601136,首创证券,17.43,0.98,0.17,0.12,8.03,1.09,3.07,3.83亿,2.73亿,47.64亿,79.49
14,15,603000,人民网,19.61,0.98,0.19,-0.41,8.64,2.87,5.66,18.61亿,11.06亿,216.83亿,117.25
15,16,600787,中储股份,5.22,0.97,0.05,0.19,0.4,1.3,1.35,0.46亿,21.70亿,113.28亿,18.52
16,17,002146,荣盛发展,2.14,0.94,0.02,0.47,0.3,0.54,0.94,0.25亿,39.00亿,83.47亿,--
17,18,000958,电投产融,4.56,0.89,0.04,0.44,0.32,1.73,1.55,0.78亿,53.83亿,245.48亿,17.90
18,19,600482,中国动力,16.49,0.86,0.14,0.06,0.12,0.91,1.28,0.40亿,20.27亿,334.32亿,91.71
19,20,000965,天保基建,4.93,0.82,0.04,0.2,0.91,0.79,0.82,0.50亿,11.10亿,54.71亿,66.68
20,21,600791,京能置业,4.96,0.81,0.04,0.2,0.74,1.14,1.83,0.16亿,4.52亿,22.43亿,--
21,22,601992,金隅集团,2.61,0.77,0.02,-0.38,0.18,0.99,1.93,0.39亿,83.34亿,217.52亿,8.97
22,23,000959,首钢股份,3.97,0.76,0.03,0.25,0.09,0.68,1.01,0.21亿,60.13亿,238.73亿,13.08
23,24,600340,华夏幸福,2.7,0.75,0.02,-0.37,0.53,1.18,1.49,0.56亿,38.93亿,105.12亿,--
24,25,600717,天津港,4.22,0.72,0.03,0.0,0.17,0.87,0.95,0.21亿,28.94亿,122.13亿,12.23
25,26,601326,秦港股份,2.87,0.7,0.02,0.0,0.15,1.45,1.4,0.21亿,47.58亿,136.54亿,10.74
26,27,600159,大龙地产,2.97,0.68,0.02,0.34,0.6,1.17,1.02,0.15亿,8.30亿,24.65亿,--
27,28,000401,冀东水泥,9.02,0.67,0.06,0.0,0.39,1.14,1.79,0.55亿,15.47亿,139.57亿,11.00
28,29,600149,廊坊发展,6.6,0.61,0.04,0.0,0.53,0.64,1.07,0.13亿,3.80亿,25.09亿,--
29,30,300407,凯发电气,8.7,0.58,0.05,-0.34,1.63,1.46,2.66,0.30亿,2.13亿,18.53亿,81.85
30,31,600162,香江控股,1.94,0.52,0.01,-0.51,0.25,0.85,1.55,0.16亿,32.68亿,63.41亿,33.92
31,32,003005,竞业达,43.99,0.5,0.22,-0.05,7.16,1.5,3.38,1.59亿,0.51亿,22.45亿,211.47
32,33,601588,北辰实业,2.09,0.48,0.01,0.0,0.3,1.17,1.44,0.17亿,26.60亿,55.59亿,--
33,34,600322,天房发展,2.3,0.44,0.01,-0.43,0.69,0.84,1.31,0.18亿,11.06亿,25.43亿,40.19
34,35,000709,河钢股份,2.45,0.41,0.01,-0.41,0.19,0.65,0.82,0.48亿,103.35亿,253.22亿,16.34
35,36,600480,凌云股份,8.74,0.34,0.03,0.12,0.24,0.87,0.92,0.18亿,8.61亿,75.28亿,27.72
36,37,002573,清新环境,5.95,0.34,0.02,0.0,0.23,0.66,0.84,0.15亿,10.79亿,64.21亿,17.35
