,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688158,优刻得,20.94,20.0,3.49,0.0,11.44,3.57,19.71,7.88亿,3.55亿,74.42亿,--
1,2,300459,汤姆猫,4.47,15.21,0.59,0.45,16.66,4.43,13.4,22.17亿,30.01亿,134.13亿,29.44
2,3,002722,物产金轮,18.66,10.02,1.7,0.0,17.29,2.54,10.61,5.47亿,1.75亿,32.74亿,38.63
3,4,002970,锐明技术,29.02,10.01,2.64,0.0,5.29,2.95,2.73,1.64亿,1.08亿,31.28亿,--
4,5,001339,智微智能,31.72,9.99,2.88,0.0,18.15,2.05,2.46,3.53亿,0.62亿,19.59亿,58.99
5,6,603927,中科软,35.7,9.95,3.23,-0.06,2.8,7.13,11.03,5.81亿,5.94亿,211.91亿,52.12
6,7,300271,华宇软件,10.17,9.35,0.86,-0.97,8.27,3.14,15.9,5.62亿,6.91亿,70.31亿,--
7,8,301236,软通动力,42.83,7.13,2.85,0.02,11.44,4.14,7.78,3.91亿,0.82亿,35.11亿,30.35
8,9,002229,鸿博股份,14.72,6.98,0.96,-0.54,31.75,2.87,9.96,22.77亿,4.93亿,72.59亿,--
9,10,300223,北京君正,85.94,6.52,5.24,0.05,3.22,2.92,7.52,11.11亿,4.10亿,352.50亿,42.42
10,11,301248,杰创智能,38.46,6.01,2.17,-0.03,28.52,1.37,9.15,2.56亿,0.24亿,9.23亿,60.89
11,12,300229,拓尔思,24.99,5.88,1.37,0.36,12.52,1.49,10.96,22.95亿,7.61亿,190.11亿,137.68
12,13,000977,浪潮信息,39.5,5.87,2.19,-0.05,12.12,2.07,7.16,69.00亿,14.62亿,577.43亿,28.05
13,14,688229,博睿数据,49.96,5.51,2.61,0.69,10.86,2.18,13.09,1.13亿,0.21亿,10.52亿,--
14,15,002373,千方科技,12.11,5.48,0.61,0.25,1.84,3.08,7.04,2.99亿,13.74亿,166.33亿,--
15,16,000063,中兴通讯,30.63,5.26,1.53,-0.29,1.86,3.28,7.01,22.29亿,39.80亿,1219.04亿,15.95
16,17,002354,天娱数科,7.06,5.06,0.34,0.14,22.85,1.38,12.95,23.49亿,14.69亿,103.69亿,--
17,18,002024,ST易购,2.3,5.02,0.11,0.0,0.74,7.54,4.57,1.33亿,78.83亿,181.32亿,--
18,19,603869,新智认知,10.5,5.0,0.5,0.1,2.36,2.83,6.8,1.24亿,5.05亿,52.97亿,120.22
19,20,002415,海康威视,37.96,4.92,1.78,-0.24,0.61,3.49,5.5,20.70亿,91.09亿,3457.69亿,30.16
20,21,300078,思创医惠,5.96,4.56,0.26,0.51,9.15,3.98,5.79,4.15亿,7.75亿,46.22亿,824.44
21,22,002405,四维图新,13.61,4.46,0.6,1.64,2.19,1.92,5.3,6.66亿,22.98亿,312.75亿,--
22,23,300033,同花顺,129.34,4.31,5.34,0.01,1.6,2.28,6.47,5.58亿,2.72亿,351.22亿,59.10
23,24,000560,我爱我家,3.28,4.13,0.13,0.0,3.81,1.98,6.67,2.79亿,22.50亿,73.79亿,--
24,25,300418,昆仑万维,26.2,4.01,1.0,0.0,9.54,1.39,8.81,26.18亿,10.74亿,281.29亿,29.53
25,26,300379,东方通,25.5,3.95,0.95,0.24,3.42,2.73,4.85,3.72亿,4.33亿,110.45亿,--
26,27,002261,拓维信息,8.86,3.75,0.32,-0.45,9.54,1.78,5.74,9.26亿,11.16亿,98.87亿,81.14
27,28,688246,嘉和美康,39.39,3.69,1.4,0.0,2.72,2.07,5.37,1.05亿,1.00亿,39.34亿,2759.85
28,29,600282,南钢股份,3.95,3.67,0.14,0.25,1.43,0.91,4.99,2.50亿,44.67亿,176.44亿,8.79
29,30,688619,罗普特,16.38,3.67,0.58,-0.06,11.6,2.07,8.1,1.69亿,0.87亿,14.32亿,--
30,31,688400,凌云光,30.27,3.66,1.07,-0.3,7.41,2.21,5.17,1.95亿,0.87亿,26.46亿,66.54
31,32,002955,鸿合科技,28.3,3.59,0.98,0.21,3.73,3.51,5.34,1.94亿,1.86亿,52.57亿,12.94
32,33,002649,博彦科技,15.9,3.52,0.55,-0.19,13.91,1.73,9.77,11.42亿,5.24亿,83.32亿,25.34
33,34,300753,爱朋医疗,18.68,3.49,0.63,0.0,2.77,2.69,5.37,0.39亿,0.75亿,14.01亿,--
34,35,300166,东方国信,10.27,3.42,0.34,0.0,12.56,3.81,6.14,11.95亿,9.19亿,94.42亿,82.16
35,36,300075,数字政通,21.57,3.36,0.71,0.79,5.56,1.55,4.6,4.86亿,4.15亿,89.55亿,46.15
36,37,688191,智洋创新,16.67,3.16,0.51,0.12,2.39,2.42,5.14,0.28亿,0.71亿,11.88亿,74.43
37,38,002236,大华股份,13.94,3.11,0.42,-0.5,2.11,2.51,5.25,5.68亿,19.59亿,273.12亿,18.73
38,39,002757,南兴股份,13.95,3.03,0.41,0.0,7.83,1.54,3.32,3.03亿,2.80亿,39.03亿,15.38
39,40,300352,北信源,5.48,3.0,0.15,0.18,5.34,1.43,6.57,3.50亿,12.03亿,65.93亿,979.83
40,41,835305,云创数据,12.25,2.85,0.34,0.25,2.05,1.7,4.11,0.16亿,0.64亿,7.84亿,34.36
41,42,002279,久其软件,9.15,2.81,0.25,-0.22,14.07,2.92,7.98,9.98亿,7.88亿,72.11亿,--
42,43,300603,立昂技术,13.51,2.74,0.36,-0.07,13.7,1.16,9.05,4.66亿,2.53亿,34.21亿,77.98
43,44,301066,万事利,13.54,2.66,0.36,1.12,3.06,1.11,3.41,0.29亿,0.72亿,9.76亿,127.21
