,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002567,唐人神,7.95,2.85,0.22,0.0,1.96,1.94,3.62,1.83亿,11.88亿,94.44亿,240.60
1,2,003030,祖名股份,27.19,1.76,0.47,0.0,1.61,2.11,2.13,0.22亿,0.50亿,13.69亿,68.30
2,3,600811,东方集团,2.53,0.8,0.02,0.4,0.51,1.38,1.59,0.47亿,36.59亿,92.21亿,--
3,4,600186,莲花健康,2.71,0.74,0.02,0.37,0.26,0.63,1.11,0.13亿,17.94亿,48.61亿,74.70
4,5,002515,金字火腿,4.49,0.45,0.02,0.0,0.6,0.95,0.9,0.24亿,8.93亿,40.11亿,62.60
5,6,603182,嘉华股份,18.76,0.38,0.07,0.05,2.52,0.66,1.07,0.19亿,0.41亿,7.72亿,24.98
6,7,600298,安琪酵母,42.08,0.33,0.14,-0.12,0.46,0.78,1.53,1.67亿,8.61亿,362.11亿,30.56
7,8,000895,双汇发展,26.23,0.23,0.06,-0.04,0.18,1.03,1.07,1.61亿,34.64亿,908.64亿,16.76
8,9,002481,双塔食品,6.37,0.16,0.01,0.0,0.41,0.73,1.1,0.29亿,11.00亿,70.04亿,--
9,10,300239,东宝生物,7.51,0.13,0.01,0.0,0.95,1.26,1.47,0.37亿,5.14亿,38.61亿,38.09
10,11,603020,爱普股份,10.56,0.1,0.01,0.1,0.34,0.94,1.14,0.14亿,3.79亿,40.07亿,26.67
11,12,000990,诚志股份,9.64,0.0,0.0,0.1,0.73,0.74,1.25,0.86亿,12.15亿,117.15亿,279.36
12,13,002582,好想你,7.89,-0.13,-0.01,0.0,1.59,0.88,1.27,0.43亿,3.40亿,26.82亿,--
13,14,300741,华宝股份,25.48,-0.23,-0.06,-0.2,0.11,0.55,0.9,0.18亿,6.16亿,156.93亿,22.02
14,15,002810,山东赫达,27.37,-0.4,-0.11,-0.15,0.9,0.46,1.78,0.78亿,3.16亿,86.60亿,22.98
15,16,002303,美盈森,3.97,-0.75,-0.03,0.0,0.56,0.62,1.25,0.21亿,9.52亿,37.80亿,41.32
16,17,300511,雪榕生物,7.12,-1.11,-0.08,0.0,2.04,1.12,2.08,0.59亿,4.04亿,28.80亿,431.08
