,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,603998,方盛制药,11.0,8.27,0.84,0.27,7.85,3.19,10.63,3.56亿,4.29亿,47.24亿,13.97
1,2,300086,康芝药业,7.16,5.92,0.4,0.56,10.29,6.75,9.17,3.18亿,4.36亿,31.19亿,--
2,3,300158,振东制药,7.61,4.82,0.35,-0.52,7.97,4.34,8.13,6.13亿,10.24亿,77.93亿,237.00
3,4,002728,特一药业,22.17,4.58,0.97,-0.23,13.42,4.93,7.31,4.71亿,1.60亿,35.43亿,38.98
4,5,600056,中国医药,15.56,2.84,0.43,-0.06,4.11,5.72,3.83,9.56亿,14.95亿,232.68亿,22.77
5,6,600993,马应龙,25.44,2.71,0.67,-0.24,1.05,2.21,3.15,1.14亿,4.30亿,109.47亿,19.77
6,7,600572,康恩贝,4.99,2.67,0.13,-0.2,1.33,3.69,2.88,1.70亿,25.63亿,127.91亿,41.94
7,8,600535,天士力,12.62,2.6,0.32,0.32,0.65,2.8,2.93,1.22亿,15.00亿,189.26亿,--
8,9,688658,悦康药业,20.6,2.44,0.49,0.0,1.31,2.49,3.23,0.55亿,2.05亿,42.15亿,20.72
9,10,603567,珍宝岛,13.62,2.41,0.32,0.15,0.5,1.89,2.78,0.63亿,9.42亿,128.29亿,62.69
10,11,002435,长江健康,5.63,2.36,0.13,-0.18,1.85,3.46,4.73,1.26亿,12.03亿,67.70亿,48.63
11,12,002826,易明医药,11.92,2.23,0.26,0.17,2.43,3.72,4.2,0.51亿,1.76亿,21.00亿,80.24
12,13,600200,江苏吴中,9.26,1.98,0.18,0.87,3.85,2.17,4.41,2.51亿,7.08亿,65.59亿,--
13,14,605199,葫芦娃,17.39,1.93,0.33,-0.29,4.96,2.56,2.99,0.81亿,0.93亿,16.23亿,72.59
14,15,000756,新华制药,26.96,1.89,0.5,0.04,4.9,4.0,3.55,5.82亿,4.41亿,118.78亿,46.44
15,16,600664,哈药股份,3.24,1.89,0.06,-0.31,1.36,4.97,3.15,1.11亿,25.17亿,81.54亿,19.00
16,17,600332,白云山,30.77,1.85,0.56,-0.1,0.51,3.26,2.38,2.18亿,14.06亿,432.59亿,10.80
17,18,300199,翰宇药业,13.2,1.85,0.24,0.15,5.83,3.13,3.55,5.12亿,6.66亿,87.92亿,--
18,19,301211,亨迪药业,29.06,1.79,0.51,0.07,10.86,4.35,3.61,1.83亿,0.58亿,16.76亿,66.59
19,20,002424,贵州百灵,8.5,1.68,0.14,-0.12,3.87,3.16,2.99,3.95亿,12.01亿,102.06亿,89.79
20,21,300026,红日药业,6.7,1.67,0.11,0.15,1.67,2.88,3.04,3.04亿,26.99亿,180.82亿,32.09
21,22,600479,千金药业,10.45,1.65,0.17,0.1,0.97,2.63,2.14,0.42亿,4.19亿,43.73亿,18.00
22,23,000597,东北制药,6.17,1.65,0.1,0.0,1.53,3.47,2.31,1.26亿,13.37亿,82.47亿,51.80
23,24,300434,金石亚药,12.78,1.59,0.2,-0.31,3.71,3.7,3.5,1.58亿,3.32亿,42.43亿,35.98
24,25,600062,华润双鹤,18.44,1.54,0.28,-0.05,1.44,3.16,2.37,2.71亿,10.24亿,188.91亿,14.74
25,26,688189,南新制药,15.86,1.54,0.24,0.19,1.81,2.15,2.62,0.40亿,1.40亿,22.20亿,160.63
26,27,000908,景峰医药,3.34,1.52,0.05,0.0,1.0,2.08,1.52,0.26亿,7.82亿,26.12亿,--
27,28,300584,海辰药业,28.53,1.46,0.41,-0.07,3.51,2.6,2.38,0.64亿,0.64亿,18.27亿,127.86
