,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300057,万顺新材,9.89,1.54,0.15,0.1,2.37,1.21,2.36,1.29亿,5.53亿,54.66亿,41.41
1,2,600293,三峡新材,2.97,-0.34,-0.01,0.0,1.1,1.2,1.34,0.38亿,11.60亿,34.46亿,--
2,3,600540,新赛股份,4.72,-0.63,-0.03,0.0,0.62,0.85,1.68,0.17亿,5.81亿,27.44亿,--
3,4,000012,南玻A,7.09,-0.84,-0.06,-0.14,0.79,0.79,0.98,1.10亿,19.57亿,138.74亿,9.89
4,5,002163,海南发展,11.97,-1.16,-0.14,0.0,0.56,0.73,1.65,0.54亿,8.04亿,96.18亿,--
5,6,600819,耀皮玻璃,7.48,-1.19,-0.09,0.27,4.82,0.83,4.89,2.72亿,7.47亿,55.91亿,180.74
6,7,603077,和邦生物,3.26,-1.21,-0.04,0.0,0.95,1.16,1.82,2.74亿,88.31亿,287.90亿,6.30
7,8,601636,旗滨集团,11.41,-1.72,-0.2,0.09,0.92,1.12,4.38,2.83亿,26.84亿,306.72亿,18.42
8,9,002613,北玻股份,5.53,-1.78,-0.1,0.18,4.59,0.55,1.78,1.47亿,5.78亿,31.99亿,134.71
9,10,600586,金晶科技,11.39,-1.98,-0.23,-0.18,1.85,0.94,2.93,3.03亿,14.29亿,162.74亿,29.40
10,11,600207,安彩高科,6.88,-1.99,-0.14,-0.15,1.18,0.93,1.99,0.71亿,8.63亿,59.37亿,54.39
