,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002024,ST易购,2.3,5.02,0.11,0.0,0.67,9.04,4.57,1.21亿,78.83亿,181.32亿,--
1,2,300226,上海钢联,34.95,4.96,1.65,0.2,2.38,2.27,8.68,2.12亿,2.57亿,89.97亿,50.80
2,3,002279,久其软件,9.26,4.04,0.36,1.54,11.12,3.03,7.42,7.83亿,7.88亿,72.97亿,--
3,4,300170,汉得信息,11.95,2.4,0.28,0.08,6.96,3.09,4.2,6.83亿,8.27亿,98.84亿,17.59
4,5,002558,巨人网络,10.83,1.98,0.21,-0.55,1.67,2.99,6.87,3.66亿,20.05亿,217.13亿,21.00
5,6,002589,瑞康医药,4.27,1.91,0.08,0.0,3.37,4.27,2.62,1.67亿,11.58亿,49.45亿,78.89
6,7,002889,东方嘉盛,25.08,1.87,0.46,-0.08,1.06,1.85,3.17,0.24亿,0.90亿,22.53亿,17.04
7,8,002769,普路通,9.68,1.15,0.11,-0.1,1.26,1.1,2.09,0.40亿,3.32亿,32.18亿,611.94
8,9,600239,ST云城,1.92,1.05,0.02,0.0,0.09,0.82,1.05,0.03亿,16.06亿,30.83亿,--
9,10,600704,物产中大,4.84,1.04,0.05,-0.21,0.31,1.6,1.46,0.76亿,50.62亿,245.01亿,5.87
10,11,601801,皖新传媒,5.71,0.71,0.04,0.0,0.32,1.2,2.65,0.36亿,19.89亿,113.58亿,10.25
11,12,601963,重庆银行,7.2,0.7,0.05,0.0,0.44,1.41,1.12,0.22亿,6.91亿,49.78亿,4.42
12,13,300240,飞力达,7.71,0.65,0.05,0.0,0.53,1.22,1.04,0.15亿,3.62亿,27.92亿,21.43
13,14,002280,联络互动,3.2,0.63,0.02,0.0,1.09,1.85,2.2,0.66亿,18.89亿,60.44亿,--
14,15,300872,天阳科技,14.97,0.54,0.08,0.13,1.32,1.16,1.48,0.51亿,2.56亿,38.36亿,122.89
15,16,000676,智度股份,6.56,0.46,0.03,0.0,5.47,2.37,5.51,4.59亿,12.62亿,82.79亿,52.83
16,17,300176,派生科技,6.9,0.44,0.03,0.15,0.48,0.62,1.31,0.13亿,3.86亿,26.66亿,446.59
17,18,600811,东方集团,2.52,0.4,0.01,0.0,0.5,1.55,1.59,0.46亿,36.59亿,92.21亿,--
18,19,603799,华友钴业,62.29,0.31,0.19,0.08,0.35,1.11,1.8,3.46亿,15.80亿,984.17亿,24.85
19,20,300465,高伟达,10.71,0.28,0.03,0.38,1.09,1.01,2.25,0.52亿,4.47亿,47.85亿,--
20,21,600120,浙江东方,3.83,0.26,0.02,0.0,0.54,2.58,2.09,0.60亿,28.96亿,110.93亿,31.81
21,22,603713,密尔克卫,129.92,0.22,0.28,0.12,0.15,0.51,1.32,0.31亿,1.64亿,212.48亿,33.62
22,23,300350,华鹏飞,5.39,0.19,0.01,-0.19,1.98,3.62,2.97,0.50亿,4.67亿,25.19亿,--
23,24,000720,新能泰山,5.51,0.18,0.01,-0.18,0.18,0.82,0.73,0.13亿,12.90亿,71.06亿,--
24,25,600057,厦门象屿,11.29,0.18,0.02,0.09,0.14,0.93,1.69,0.34亿,21.42亿,241.79亿,8.78
25,26,002183,怡亚通,6.12,0.16,0.01,-0.16,0.32,0.69,0.82,0.50亿,25.96亿,158.89亿,55.05
26,27,600180,瑞茂通,6.18,0.16,0.01,0.0,0.16,1.09,0.65,0.11亿,10.52亿,65.01亿,12.80
27,28,002569,ST步森,6.61,0.15,0.01,0.0,0.23,1.24,0.91,0.02亿,1.40亿,9.23亿,--
28,29,002404,嘉欣丝绸,7.23,0.14,0.01,0.14,0.81,0.5,1.52,0.27亿,4.64亿,33.53亿,15.75
29,30,300277,海联讯,8.09,0.12,0.01,0.12,0.46,0.82,1.86,0.12亿,3.34亿,27.06亿,339.96
30,31,002419,天虹股份,6.34,0.0,0.0,0.0,0.38,0.84,0.79,0.28亿,11.69亿,74.08亿,48.49
31,32,000767,晋控电力,3.4,0.0,0.0,0.3,0.18,0.66,0.88,0.18亿,29.12亿,99.02亿,164.26
32,33,002535,ST林重,2.93,-0.34,-0.01,0.0,1.08,0.93,1.7,0.18亿,5.71亿,16.73亿,187.89
33,34,002574,明牌珠宝,7.7,-0.52,-0.04,-0.13,2.5,0.66,2.58,1.02亿,5.28亿,40.66亿,48.08
34,35,002095,生意宝,22.05,-0.54,-0.12,0.09,3.39,1.93,2.03,1.87亿,2.52亿,55.50亿,242.66
35,36,001896,豫能控股,5.18,-0.58,-0.03,-0.19,0.39,0.75,1.15,0.27亿,13.21亿,68.42亿,--
36,37,300243,瑞丰高材,8.97,-0.67,-0.06,0.11,0.41,1.31,1.0,0.07亿,1.89亿,16.94亿,26.50
37,38,300403,汉宇集团,7.94,-0.75,-0.06,-0.13,2.34,0.73,1.38,0.73亿,3.92亿,31.14亿,21.84
38,39,000523,广州浪奇,3.76,-0.79,-0.03,0.0,0.62,0.73,2.9,0.32亿,13.77亿,51.77亿,--
39,40,600219,南山铝业,3.6,-0.83,-0.02,-0.28,0.3,1.59,1.1,1.26亿,117.09亿,421.51亿,11.10
