,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600378,昊华科技,54.6,9.99,4.96,0.0,0.12,2.64,0.0,0.60亿,9.04亿,493.56亿,49.37
1,2,300084,海默科技,6.44,2.22,0.14,0.0,3.2,2.09,3.97,0.68亿,3.30亿,21.24亿,--
2,3,600803,新奥股份,18.75,1.85,0.34,0.05,0.13,1.18,2.17,0.34亿,14.61亿,273.99亿,13.79
3,4,600871,石化油服,2.14,1.42,0.03,0.47,0.1,1.54,1.42,0.30亿,135.69亿,290.38亿,110.25
4,5,601919,中远海控,10.81,1.03,0.11,0.09,0.19,1.78,1.12,2.59亿,127.40亿,1377.23亿,1.34
5,6,600256,广汇能源,9.88,1.02,0.1,0.2,0.24,0.95,1.23,1.57亿,65.66亿,648.70亿,5.79
6,7,688106,金宏气体,21.8,0.83,0.18,0.18,0.47,1.47,1.9,0.27亿,2.64亿,57.58亿,47.01
7,8,600811,东方集团,2.53,0.8,0.02,0.4,0.46,2.16,1.59,0.42亿,36.59亿,92.58亿,--
8,9,601857,中国石油,5.19,0.78,0.04,0.0,0.03,2.94,1.17,2.39亿,1619.22亿,8403.76亿,5.92
9,10,000998,隆平高科,17.41,0.75,0.13,0.23,0.6,1.01,1.85,1.34亿,12.96亿,225.63亿,--
10,11,002206,海利得,6.77,0.74,0.05,0.15,0.39,1.35,1.64,0.24亿,9.10亿,61.60亿,21.11
11,12,002532,天山铝业,8.33,0.6,0.05,0.0,0.44,0.83,1.57,0.84亿,23.10亿,192.46亿,12.09
12,13,300189,神农科技,4.21,0.48,0.02,0.0,0.84,0.82,0.95,0.34亿,9.63亿,40.54亿,--
13,14,603799,华友钴业,62.39,0.47,0.29,0.02,0.29,1.4,1.8,2.88亿,15.80亿,985.75亿,24.89
14,15,600759,ST洲际,2.31,0.43,0.01,-0.43,0.17,1.25,1.3,0.09亿,22.58亿,52.16亿,61.24
15,16,603619,中曼石油,18.98,0.42,0.08,0.0,0.28,0.94,1.11,0.21亿,4.00亿,75.92亿,15.32
16,17,002278,神开股份,5.81,0.34,0.02,0.17,0.46,1.1,1.55,0.09亿,3.41亿,19.80亿,379.04
17,18,603353,和顺石油,19.32,0.31,0.06,0.05,0.84,1.19,1.04,0.10亿,0.62亿,11.94亿,27.81
18,19,601808,中海油服,16.17,0.31,0.05,0.12,0.04,0.65,0.93,0.19亿,29.60亿,478.71亿,28.05
19,20,002041,登海种业,20.09,0.3,0.06,0.05,0.2,0.71,0.6,0.35亿,8.80亿,176.79亿,118.05
20,21,000625,长安汽车,13.69,0.29,0.04,0.0,0.48,1.35,1.03,5.04亿,76.04亿,1041.05亿,14.76
21,22,000968,蓝焰控股,9.01,0.22,0.02,0.0,0.15,0.84,0.89,0.13亿,9.68亿,87.17亿,14.23
22,23,000713,丰乐种业,9.08,0.22,0.02,0.11,1.02,0.92,0.88,0.57亿,6.14亿,55.75亿,898.25
23,24,002221,东华能源,9.22,0.22,0.02,0.0,0.14,0.84,0.87,0.19亿,14.58亿,134.47亿,68.75
24,25,600598,北大荒,14.2,0.14,0.02,0.0,0.26,0.97,0.49,0.64亿,17.78亿,252.43亿,14.70
25,26,600127,金健米业,7.86,0.13,0.01,0.0,0.3,0.64,0.64,0.15亿,6.42亿,50.44亿,--
