,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,688158,优刻得,19.5,11.75,2.05,-0.51,7.61,5.44,15.82,5.10亿,3.55亿,69.30亿,--
1,2,001339,智微智能,31.72,9.99,2.88,0.0,17.94,4.65,2.46,3.49亿,0.62亿,19.59亿,58.99
2,3,603918,金桥信息,10.25,9.98,0.93,0.0,11.35,8.32,8.91,4.18亿,3.66亿,37.47亿,424.17
3,4,300624,万兴科技,52.81,7.34,3.61,0.78,15.14,5.05,12.2,8.72亿,1.13亿,59.44亿,211.05
4,5,688262,国芯科技,62.38,7.33,4.26,0.76,3.2,4.34,11.68,3.65亿,1.87亿,116.73亿,116.18
5,6,002354,天娱数科,7.02,4.46,0.3,-0.14,20.24,2.81,12.95,20.78亿,14.69亿,103.10亿,--
6,7,000977,浪潮信息,38.84,4.1,1.53,0.62,9.65,3.78,5.84,54.83亿,14.62亿,567.78亿,27.58
7,8,300271,华宇软件,9.65,3.65,0.34,-0.41,3.2,2.79,6.55,2.10亿,6.91亿,66.72亿,--
8,9,300578,会畅通讯,20.29,2.94,0.58,-0.39,9.15,8.87,8.07,3.65亿,1.93亿,39.12亿,57.48
9,10,300353,东土科技,12.19,2.78,0.33,-0.08,2.86,3.07,6.16,1.52亿,4.39亿,53.51亿,--
10,11,688316,青云科技,42.59,2.77,1.15,0.81,4.63,2.15,7.17,0.67亿,0.35亿,14.91亿,--
11,12,301248,杰创智能,37.28,2.73,0.99,-0.59,16.59,1.83,5.84,1.47亿,0.24亿,8.95亿,59.03
12,13,002308,威创股份,5.83,2.46,0.14,0.0,8.79,5.86,6.15,4.68亿,8.97亿,52.27亿,51.90
13,14,688225,亚信安全,21.28,2.46,0.51,1.33,0.69,2.91,3.13,0.16亿,1.09亿,23.23亿,--
14,15,002017,东信和平,15.69,2.42,0.37,-0.13,1.43,3.38,3.98,0.99亿,4.45亿,69.83亿,86.65
15,16,002301,齐心集团,7.83,1.95,0.15,0.0,1.71,4.64,7.03,0.97亿,7.18亿,56.22亿,29.67
16,17,002401,中远海科,17.52,1.8,0.31,-0.57,5.84,2.31,7.72,3.72亿,3.66亿,64.07亿,30.23
17,18,688227,品高股份,25.85,1.73,0.44,0.23,1.24,3.66,2.72,0.20亿,0.62亿,16.04亿,--
18,19,300352,北信源,5.42,1.69,0.09,-0.18,4.32,2.66,6.57,2.83亿,12.03亿,65.21亿,969.10
19,20,002261,拓维信息,8.68,1.64,0.14,-0.23,7.03,3.0,4.68,6.80亿,11.16亿,96.86亿,79.49
20,21,301236,软通动力,40.62,1.6,0.64,-0.37,6.26,5.2,4.1,2.12亿,0.82亿,33.30亿,28.79
21,22,300010,豆神教育,3.63,1.4,0.05,-0.28,3.96,3.14,3.36,1.18亿,8.15亿,29.52亿,--
22,23,300166,东方国信,10.06,1.31,0.13,-0.1,10.56,7.34,6.04,10.07亿,9.19亿,92.49亿,80.48
23,24,002649,博彦科技,15.56,1.3,0.2,-0.26,9.64,2.75,9.77,7.88亿,5.24亿,81.48亿,24.79
24,25,603189,网达软件,16.81,1.2,0.2,0.36,1.32,2.34,3.31,0.60亿,2.70亿,45.31亿,72.25
25,26,002315,焦点科技,20.43,1.19,0.24,0.2,3.17,2.54,3.72,1.24亿,1.91亿,39.06亿,19.75
26,27,300170,汉得信息,11.8,1.11,0.13,0.26,5.8,4.5,4.2,5.69亿,8.27亿,97.60亿,17.37
27,28,002803,吉宏股份,17.55,1.04,0.18,-0.17,2.59,1.87,2.59,1.29亿,2.84亿,49.81亿,25.07
28,29,300379,东方通,24.8,1.02,0.25,-0.04,1.68,3.07,3.18,1.81亿,4.33亿,107.42亿,--
29,30,002771,真视通,13.67,0.96,0.13,0.22,4.01,1.23,2.58,0.93亿,1.69亿,23.17亿,--
