,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000563,陕国投A,3.38,2.42,0.08,0.0,0.55,2.15,2.73,0.73亿,39.64亿,133.98亿,18.99
1,2,000948,南天信息,24.7,1.56,0.38,0.16,6.74,1.78,5.1,5.50亿,3.35亿,82.62亿,149.94
2,3,600061,国投资本,6.95,1.46,0.1,0.0,0.25,1.76,2.04,1.11亿,64.25亿,446.56亿,15.64
3,4,600643,爱建集团,5.82,1.39,0.08,0.0,0.26,1.96,1.74,0.25亿,16.19亿,94.23亿,10.63
4,5,600327,大东方,4.75,1.06,0.05,0.0,0.82,1.88,1.06,0.35亿,8.85亿,42.03亿,18.32
5,6,600020,中原高速,3.08,0.98,0.03,0.0,0.13,1.13,0.66,0.09亿,22.47亿,69.22亿,12.85
6,7,002608,江苏国信,6.35,0.95,0.06,0.16,0.06,1.07,0.95,0.13亿,37.78亿,239.91亿,29.5
7,8,600390,五矿资本,5.34,0.94,0.05,0.0,0.31,1.18,1.32,0.75亿,44.98亿,240.20亿,9.02
8,9,002423,中粮资本,7.54,0.94,0.07,-0.13,0.4,1.26,2.01,0.70亿,23.04亿,173.73亿,40.72
9,10,600000,浦发银行,7.26,0.83,0.06,0.14,0.03,1.32,0.83,0.67亿,293.52亿,2130.97亿,3.95
10,11,600120,浙江东方,3.85,0.79,0.03,-0.26,0.62,2.21,2.09,0.69亿,28.96亿,111.51亿,31.98
11,12,600517,国网英大,5.31,0.57,0.03,-0.19,0.71,1.87,2.65,0.72亿,19.00亿,100.87亿,27.67
12,13,600828,茂业商业,3.63,0.55,0.02,0.0,0.17,1.28,1.94,0.11亿,17.31亿,62.85亿,60.09
13,14,600865,百大集团,9.72,0.52,0.05,0.0,0.13,0.87,0.72,0.05亿,3.76亿,36.57亿,21.57
14,15,000617,中油资本,6.07,0.5,0.03,0.0,0.23,0.89,1.49,1.79亿,126.42亿,767.37亿,11.58
15,16,000593,德龙汇能,8.07,0.12,0.01,0.0,0.81,0.76,0.87,0.24亿,3.58亿,28.93亿,64.18
16,17,000828,东莞控股,10.18,0.0,0.0,0.0,0.34,0.56,1.47,0.36亿,10.40亿,105.82亿,11.10
17,18,600331,宏达股份,3.06,0.0,0.0,0.33,0.38,0.96,0.65,0.24亿,20.32亿,62.18亿,48.70
18,19,000652,泰达股份,4.27,0.0,0.0,-0.23,0.34,0.83,0.7,0.21亿,14.74亿,62.96亿,34.86
19,20,000046,泛海控股,1.23,0.0,0.0,0.0,0.28,0.64,0.81,0.18亿,51.94亿,63.88亿,--
20,21,000812,陕西金叶,6.7,-0.15,-0.01,0.0,2.33,0.68,1.34,1.19亿,7.68亿,51.47亿,69.98
21,22,600705,中航产融,4.46,-0.45,-0.02,0.23,1.05,0.85,1.34,4.14亿,88.04亿,392.68亿,15.77
22,23,000666,经纬纺机,10.7,-0.47,-0.05,0.09,1.6,0.88,1.58,0.50亿,2.93亿,31.40亿,14.12
23,24,600475,华光环能,10.66,-0.84,-0.09,-0.28,1.48,1.31,4.28,1.46亿,9.27亿,98.82亿,15.16
24,25,600816,ST安信,4.12,-2.83,-0.12,-0.24,0.53,3.28,4.25,1.15亿,52.64亿,216.89亿,--
