,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300404,博济医药,11.02,10.42,1.04,0.36,11.95,4.18,11.32,3.41亿,2.69亿,29.69亿,142.34
1,2,002727,一心堂,33.39,6.41,2.01,-0.68,6.44,14.07,4.4,8.76亿,3.98亿,133.00亿,22.04
2,3,002858,力盛体育,14.8,5.94,0.83,-0.47,6.17,4.12,6.51,1.29亿,1.45亿,21.41亿,--
3,4,000999,华润三九,52.68,5.76,2.87,0.08,0.95,3.81,6.49,4.83亿,9.78亿,515.42亿,20.00
4,5,002162,悦心健康,5.52,5.14,0.27,-0.54,9.22,7.88,10.29,4.78亿,9.26亿,51.13亿,--
5,6,300181,佐力药业,12.48,4.87,0.58,0.08,2.69,3.23,6.22,2.03亿,6.09亿,75.96亿,32.19
6,7,300078,思创医惠,5.91,3.68,0.21,0.68,8.49,4.64,5.79,3.85亿,7.75亿,45.83亿,817.53
7,8,600272,开开实业,10.27,3.01,0.3,-0.19,4.73,5.74,8.83,0.78亿,1.60亿,16.43亿,56.12
8,9,600129,太极集团,35.48,2.99,1.03,-0.53,0.75,2.08,3.51,1.47亿,5.57亿,197.59亿,59.54
9,10,300253,卫宁健康,11.18,2.85,0.31,0.36,0.95,1.97,4.14,1.93亿,18.49亿,206.67亿,128.60
10,11,000150,*ST宜康,1.15,2.68,0.03,0.0,2.08,1.1,4.46,0.19亿,8.06亿,9.27亿,--
11,12,300562,乐心医疗,10.68,2.59,0.27,0.0,4.9,3.25,3.36,0.75亿,1.44亿,15.37亿,192.63
12,13,600998,九州通,14.15,2.17,0.3,0.14,0.86,5.35,4.04,2.30亿,18.74亿,265.15亿,11.44
13,14,002777,久远银海,19.56,2.09,0.4,-0.15,2.42,1.97,3.97,1.87亿,3.99亿,78.13亿,47.88
14,15,600829,人民同泰,6.92,2.06,0.14,0.15,0.97,3.61,2.21,0.39亿,5.80亿,40.13亿,15.59
15,16,603000,人民网,19.82,2.06,0.4,-0.25,7.69,3.3,5.0,16.52亿,11.06亿,219.15亿,118.51
16,17,000705,浙江震元,8.67,2.0,0.17,0.0,4.36,4.43,2.59,1.07亿,2.82亿,24.44亿,42.09
17,18,002223,鱼跃医疗,30.38,1.88,0.56,-0.07,1.1,2.15,2.31,3.11亿,9.38亿,284.91亿,20.12
18,19,600332,白云山,30.77,1.85,0.56,0.1,0.52,3.07,2.38,2.25亿,14.06亿,432.59亿,10.80
19,20,002424,贵州百灵,8.51,1.79,0.15,0.0,3.98,2.97,2.99,4.06亿,12.01亿,102.18亿,89.90
20,21,000650,仁和药业,6.51,1.72,0.11,0.0,2.68,3.06,2.5,2.33亿,13.42亿,87.39亿,14.97
21,22,605299,舒华体育,11.28,1.71,0.19,-0.18,2.73,1.54,2.62,0.35亿,1.14亿,12.81亿,54.84
22,23,300206,理邦仪器,13.16,1.7,0.22,-0.15,1.34,1.63,3.25,0.60亿,3.40亿,44.80亿,30.26
23,24,301126,达嘉维康,17.49,1.69,0.29,-0.06,6.69,4.55,3.37,1.28亿,1.08亿,18.95亿,51.23
24,25,000732,ST泰禾,1.23,1.65,0.02,0.82,0.65,1.01,2.48,0.20亿,24.86亿,30.57亿,--
25,26,002172,澳洋健康,4.38,1.62,0.07,-0.23,3.87,4.75,4.64,1.30亿,7.65亿,33.52亿,101.27
26,27,600436,片仔癀,316.49,1.62,5.04,0.19,0.18,1.82,2.05,3.46亿,6.03亿,1909.44亿,77.33
27,28,600479,千金药业,10.44,1.56,0.16,-0.1,1.02,2.54,2.14,0.44亿,4.19亿,43.69亿,17.98
28,29,002644,佛慈制药,9.96,1.53,0.15,0.0,0.63,2.35,1.73,0.32亿,5.11亿,50.86亿,72.14
29,30,600365,ST通葡,4.16,1.46,0.06,-0.24,1.06,3.18,2.19,0.18亿,4.00亿,16.64亿,--
30,31,300015,爱尔眼科,33.05,1.44,0.47,0.12,0.18,1.08,2.46,3.39亿,58.03亿,1917.90亿,75.47
31,32,002275,桂林三金,14.44,1.41,0.2,0.07,0.42,2.44,1.9,0.33亿,5.54亿,79.95亿,19.62
32,33,000538,云南白药,57.33,1.38,0.78,0.02,0.28,2.54,1.86,2.67亿,16.85亿,965.78亿,33.52
33,34,601607,上海医药,19.12,1.38,0.26,-0.1,0.44,2.84,1.7,1.61亿,19.26亿,368.21亿,11.02
34,35,300298,三诺生物,37.56,1.32,0.49,-0.13,0.31,1.3,2.27,0.53亿,4.55亿,171.01亿,43.74
35,36,002344,海宁皮城,4.61,1.32,0.06,0.22,0.3,1.08,1.1,0.18亿,12.81亿,59.08亿,20.46
36,37,002551,尚荣医疗,4.85,1.25,0.06,0.0,2.03,2.67,2.09,0.60亿,6.10亿,29.60亿,--
37,38,600704,物产中大,4.85,1.25,0.06,0.0,0.32,1.59,1.46,0.79亿,50.62亿,245.52亿,5.88
38,39,000908,景峰医药,3.33,1.22,0.04,-0.3,1.12,2.13,1.52,0.29亿,7.82亿,26.04亿,--
39,40,300074,华平股份,4.36,1.16,0.05,0.23,1.42,1.71,2.55,0.33亿,5.31亿,23.13亿,--
40,41,600628,新世界,7.2,1.12,0.08,0.0,0.35,3.15,1.97,0.17亿,6.47亿,46.58亿,--
41,42,002286,保龄宝,9.31,1.09,0.1,-0.11,0.81,2.11,2.17,0.28亿,3.70亿,34.43亿,23.48
42,43,600750,江中药业,15.87,1.02,0.16,-0.06,0.82,1.95,2.42,0.82亿,6.24亿,98.98亿,14.84
43,44,600415,小商品城,5.05,1.0,0.05,-0.2,0.41,1.72,1.8,1.12亿,54.56亿,275.55亿,12.83
44,45,600606,绿地控股,3.18,0.95,0.03,-0.31,0.28,1.22,2.22,1.26亿,140.54亿,446.92亿,4.83
45,46,600055,万东医疗,23.44,0.95,0.22,0.26,0.47,0.86,1.9,0.60亿,5.41亿,126.77亿,119.85
46,47,301015,百洋医药,28.19,0.93,0.26,-0.18,2.86,2.5,6.19,0.97亿,1.18亿,33.37亿,32.30
47,48,002566,益盛药业,8.68,0.93,0.08,0.0,1.1,1.38,1.51,0.22亿,2.31亿,20.08亿,35.71
48,49,000503,国新健康,11.01,0.92,0.1,-0.18,0.79,1.87,2.11,0.78亿,8.99亿,98.96亿,--
49,50,000615,奥园美谷,7.77,0.91,0.07,-0.13,1.52,1.11,2.08,0.90亿,7.62亿,59.17亿,--
50,51,600420,国药现代,10.26,0.89,0.09,0.0,0.55,1.76,2.46,0.58亿,10.27亿,105.37亿,19.19
51,52,000790,华神科技,4.96,0.81,0.04,-0.2,1.41,2.06,1.83,0.43亿,6.19亿,30.71亿,90.16
52,53,002432,九安医疗,51.61,0.78,0.4,-0.02,1.05,1.55,1.62,2.62亿,4.81亿,248.48亿,1.16
53,54,601886,江河集团,7.95,0.76,0.06,0.13,0.15,0.86,1.52,0.13亿,11.33亿,90.07亿,15.07
54,55,600252,中恒集团,2.75,0.73,0.02,0.0,0.49,2.4,1.83,0.46亿,34.32亿,94.37亿,49.16
55,56,300430,诚益通,15.26,0.73,0.11,-0.26,0.46,1.21,2.64,0.18亿,2.56亿,39.13亿,41.55
56,57,600718,东软集团,11.3,0.71,0.08,0.18,0.94,1.41,2.5,1.26亿,12.04亿,136.02亿,80.56
57,58,300122,智飞生物,92.58,0.69,0.63,-0.25,0.31,0.91,1.43,2.68亿,9.25亿,856.76亿,19.81
58,59,603059,倍加洁,24.15,0.62,0.15,-0.04,0.62,0.4,2.46,0.15亿,1.00亿,24.15亿,42.04
59,60,000590,启迪药业,9.47,0.53,0.05,-0.11,0.92,1.56,1.7,0.21亿,2.39亿,22.67亿,108.34
60,61,300247,融捷健康,4.05,0.5,0.02,0.0,1.48,1.83,2.48,0.48亿,8.03亿,32.53亿,17.68
