,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002168,惠程科技,5.15,10.04,0.47,0.0,19.18,7.57,9.83,7.58亿,7.94亿,40.90亿,--
1,2,300807,天迈科技,27.5,5.65,1.47,0.0,10.22,4.94,11.56,1.35亿,0.49亿,13.38亿,--
2,3,002236,大华股份,13.99,3.48,0.47,0.29,2.16,2.51,5.25,5.83亿,19.59亿,274.10亿,18.80
3,4,002010,传化智联,6.21,3.16,0.19,0.16,2.21,5.08,5.98,3.72亿,27.00亿,167.64亿,21.56
4,5,688100,威胜信息,27.86,2.58,0.7,0.0,0.28,1.31,3.61,0.38亿,4.90亿,136.48亿,36.75
5,6,300286,安科瑞,45.92,1.82,0.82,-0.17,0.77,1.21,5.88,0.60亿,1.75亿,80.19亿,53.38
6,7,300433,蓝思科技,13.93,1.75,0.24,0.14,0.6,1.0,3.0,4.11亿,49.61亿,691.01亿,68.43
7,8,000861,海印股份,2.34,1.74,0.04,0.43,1.16,2.45,3.04,0.64亿,23.68亿,55.42亿,53.93
8,9,601107,四川成渝,3.93,1.55,0.06,0.0,0.18,2.16,1.81,0.16亿,21.63亿,85.00亿,14.03
9,10,002609,捷顺科技,9.91,1.54,0.15,0.1,1.93,1.67,3.28,0.86亿,4.56亿,45.20亿,388.23
10,11,300222,科大智能,8.02,1.52,0.12,0.0,3.28,2.1,3.17,1.65亿,6.26亿,50.23亿,--
11,12,000900,现代投资,4.36,1.4,0.06,-0.23,0.37,1.51,1.86,0.24亿,15.18亿,66.17亿,11.01
12,13,600297,广汇汽车,2.26,1.34,0.03,0.0,0.34,0.96,1.34,0.63亿,81.11亿,183.31亿,17.74
13,14,000572,海马汽车,5.56,1.27,0.07,0.0,3.95,4.95,4.37,3.64亿,16.42亿,91.30亿,--
14,15,301330,熵基科技,41.73,1.11,0.46,-0.07,6.36,0.85,3.51,0.88亿,0.33亿,13.88亿,34.63
