,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600183,生益科技,18.41,1.71,0.31,0.33,0.45,1.91,2.71,1.90亿,23.27亿,428.48亿,26.86
1,2,688521,芯原股份,64.55,0.91,0.58,-0.28,1.17,1.82,5.0,1.58亿,2.09亿,134.72亿,735.26
2,3,301338,凯格精机,58.91,0.44,0.26,0.19,3.86,2.38,2.49,0.40亿,0.18亿,10.36亿,33.96
3,4,002579,中京电子,12.9,0.08,0.01,0.08,2.51,1.17,2.32,1.88亿,5.82亿,75.20亿,--
4,5,603726,朗迪集团,13.5,0.0,0.0,-0.15,0.21,1.42,0.96,0.05亿,1.86亿,25.06亿,21.75
5,6,002156,通富微电,22.73,-0.04,-0.01,-0.39,2.9,1.55,3.08,8.80亿,13.29亿,302.05亿,54.11
6,7,688630,芯碁微装,92.43,-0.2,-0.19,-0.05,0.59,1.06,2.17,0.37亿,0.67亿,61.96亿,95.39
7,8,300671,富满微,48.34,-0.29,-0.14,-0.02,1.11,1.39,3.09,1.17亿,2.17亿,104.91亿,106.69
8,9,300032,金龙机电,5.69,-0.35,-0.02,0.0,0.2,0.95,1.4,0.09亿,8.03亿,45.70亿,135.37
9,10,300903,科翔股份,13.87,-0.36,-0.05,0.0,0.74,1.07,1.15,0.27亿,2.60亿,36.02亿,66.08
10,11,688362,甬矽电子,27.4,-0.4,-0.11,-0.69,9.61,2.9,4.4,1.21亿,0.46亿,12.49亿,40.67
11,12,300400,劲拓股份,18.37,-0.54,-0.1,-0.05,0.61,0.76,1.35,0.20亿,1.82亿,33.42亿,47.06
12,13,688396,华润微,57.15,-0.56,-0.32,0.04,0.35,1.79,1.79,0.88亿,4.41亿,252.09亿,27.51
13,14,600520,文一科技,16.93,-0.65,-0.11,0.12,3.65,1.7,2.99,0.97亿,1.58亿,26.82亿,65.01
14,15,603005,晶方科技,21.9,-0.72,-0.16,-0.05,0.97,1.33,1.95,1.39亿,6.52亿,142.83亿,48.59
15,16,688082,盛美上海,89.85,-0.81,-0.73,0.49,1.54,2.32,2.63,1.03亿,0.75亿,67.11亿,66.27
16,17,300480,光力科技,19.1,-0.93,-0.18,0.26,0.93,1.43,1.92,0.40亿,2.26亿,43.21亿,78.48
17,18,603186,华正新材,31.2,-0.95,-0.3,0.0,2.38,1.24,3.75,1.06亿,1.42亿,44.27亿,54.87
18,19,300120,经纬辉开,6.9,-1.0,-0.07,0.0,0.49,1.57,1.58,0.14亿,4.11亿,28.38亿,32.21
19,20,002185,华天科技,9.8,-1.01,-0.1,-0.2,0.55,1.35,1.51,1.73亿,32.04亿,313.96亿,33.44
20,21,688439,振华风光,112.32,-1.04,-1.18,-0.32,0.36,1.08,1.62,0.17亿,0.43亿,48.05亿,74.3
21,22,002449,国星光电,9.36,-1.06,-0.1,0.0,0.64,1.32,1.59,0.37亿,6.12亿,57.32亿,39.44
22,23,300456,赛微电子,16.68,-1.13,-0.19,-0.18,0.9,1.16,1.96,0.88亿,5.82亿,97.06亿,5708.99
23,24,000021,深科技,12.74,-1.16,-0.15,0.08,0.45,1.18,1.47,0.89亿,15.60亿,198.74亿,25.92
24,25,300162,雷曼光电,7.56,-1.18,-0.09,-0.13,0.8,1.52,1.57,0.16亿,2.64亿,19.98亿,47.45
25,26,688419,耐科装备,37.5,-1.39,-0.53,-0.29,2.79,1.54,2.63,0.19亿,0.19亿,6.99亿,52.74
26,27,002079,苏州固锝,15.79,-1.44,-0.23,0.0,2.47,1.46,2.12,3.11亿,7.98亿,126.05亿,48.36
27,28,600584,长电科技,28.83,-1.57,-0.46,-0.1,0.75,1.3,1.54,3.87亿,17.80亿,513.04亿,15.69
28,29,002845,同兴达,17.86,-1.6,-0.29,-0.28,2.41,1.11,2.26,0.97亿,2.24亿,39.92亿,89.99
29,30,688061,灿瑞科技,93.67,-1.61,-1.53,-0.11,3.12,2.16,2.42,0.51亿,0.17亿,16.37亿,36.98
30,31,300814,中富电路,21.54,-1.73,-0.38,-0.09,2.9,1.45,3.15,0.32亿,0.51亿,10.94亿,41.74
31,32,688328,深科达,24.32,-1.74,-0.43,-0.21,0.76,1.14,1.78,0.08亿,0.44亿,10.78亿,179.76
32,33,688216,气派科技,30.85,-1.78,-0.56,-0.36,1.71,1.53,2.8,0.22亿,0.42亿,13.10亿,--
33,34,300545,联得装备,20.58,-2.0,-0.42,-0.19,1.53,1.55,3.43,0.35亿,1.12亿,23.03亿,56.63
34,35,300812,易天股份,21.89,-2.28,-0.51,-0.14,3.06,1.18,2.14,0.53亿,0.79亿,17.22亿,56.78
35,36,603773,沃格光电,23.96,-2.44,-0.6,-0.5,1.39,1.22,2.85,0.52亿,1.56亿,37.47亿,--
36,37,300410,正业科技,10.9,-3.28,-0.37,-0.09,2.99,2.42,4.97,1.21亿,3.67亿,40.05亿,53.03
37,38,688525,佰维存储,23.76,-3.88,-0.96,-0.42,10.66,1.87,4.0,0.89亿,0.35亿,8.27亿,100.84
38,39,688256,寒武纪,85.55,-3.98,-3.55,-0.12,1.89,1.51,3.13,3.95亿,2.42亿,207.19亿,--
