,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688521,芯原股份,64.5,4.02,2.49,0.0,2.27,1.2,6.51,3.01亿,2.09亿,134.61亿,734.69
1,2,688256,寒武纪,88.0,2.95,2.52,-0.55,4.86,1.28,9.21,10.20亿,2.42亿,213.12亿,--
2,3,300545,联得装备,20.83,2.41,0.49,-0.19,4.07,1.49,5.26,0.93亿,1.12亿,23.31亿,57.31
3,4,688525,佰维存储,24.69,1.94,0.47,-0.4,19.6,1.16,6.4,1.67亿,0.35亿,8.59亿,104.79
4,5,002156,通富微电,22.47,1.63,0.36,-0.09,6.81,1.4,4.39,20.09亿,13.29亿,298.60亿,53.49
5,6,600183,生益科技,17.95,1.53,0.27,-0.28,0.61,0.96,3.17,2.53亿,23.27亿,417.77亿,26.18
6,7,300120,经纬辉开,6.97,1.46,0.1,0.14,1.44,1.57,2.18,0.41亿,4.11亿,28.67亿,32.54
7,8,002185,华天科技,9.86,1.44,0.14,0.0,1.45,1.3,2.98,4.56亿,32.04亿,315.88亿,33.64
8,9,002449,国星光电,9.41,1.4,0.13,-0.11,1.91,1.31,2.48,1.10亿,6.12亿,57.63亿,39.65
9,10,300162,雷曼光电,7.61,1.33,0.1,-0.13,1.99,1.45,2.66,0.40亿,2.64亿,20.11亿,47.77
10,11,300480,光力科技,19.24,1.1,0.21,-0.16,2.29,1.08,3.26,0.99亿,2.26亿,43.53亿,79.06
11,12,603005,晶方科技,21.91,0.83,0.18,-0.14,2.15,0.99,2.99,3.05亿,6.52亿,142.89亿,48.61
12,13,000021,深科技,12.83,0.79,0.1,0.0,0.93,0.83,2.51,1.84亿,15.60亿,200.15亿,26.1
13,14,688328,深科达,24.56,0.78,0.19,-0.08,2.01,0.9,1.89,0.22亿,0.44亿,10.89亿,181.53
14,15,600584,长电科技,29.04,0.62,0.18,-0.1,1.79,1.07,2.74,9.21亿,17.80亿,516.78亿,15.8
15,16,300400,劲拓股份,18.5,0.54,0.1,-0.27,1.81,0.72,2.77,0.61亿,1.82亿,33.66亿,47.4
16,17,603726,朗迪集团,13.47,0.52,0.07,-0.07,0.52,1.16,1.27,0.13亿,1.86亿,25.01亿,21.7
17,18,002079,苏州固锝,15.87,0.38,0.06,-0.19,4.16,0.82,2.21,5.27亿,7.98亿,126.69亿,48.61
18,19,300032,金龙机电,5.68,0.35,0.02,0.0,0.75,1.28,2.47,0.34亿,8.03亿,45.62亿,135.13
19,20,603186,华正新材,30.92,0.19,0.06,0.39,3.28,0.53,4.8,1.42亿,1.42亿,43.87亿,54.37
20,21,688082,盛美上海,88.96,0.11,0.1,-0.06,2.44,1.45,2.26,1.62亿,0.75亿,66.44亿,65.62
21,22,688216,气派科技,31.16,0.06,0.02,-0.03,2.54,0.74,3.28,0.33亿,0.42亿,13.23亿,--
22,23,300671,富满微,48.35,0.04,0.02,-0.02,1.67,0.67,2.44,1.74亿,2.17亿,104.93亿,106.71
23,24,300814,中富电路,21.67,-0.28,-0.06,0.05,4.91,0.77,2.76,0.54亿,0.51亿,11.01亿,41.99
24,25,688419,耐科装备,37.5,-0.29,-0.11,0.03,4.45,0.87,2.07,0.31亿,0.19亿,6.99亿,52.74
25,26,300456,赛微电子,16.81,-0.41,-0.07,-0.12,1.82,0.73,1.54,1.77亿,5.82亿,97.82亿,5753.48
26,27,688396,华润微,57.4,-0.48,-0.28,-0.09,0.44,0.74,1.89,1.11亿,4.41亿,253.20亿,27.63
27,28,300903,科翔股份,13.86,-0.5,-0.07,-0.14,1.79,0.84,1.58,0.65亿,2.60亿,35.99亿,66.03
28,29,688061,灿瑞科技,93.84,-0.55,-0.52,0.04,4.09,0.99,2.07,0.67亿,0.17亿,16.40亿,37.05
29,30,002845,同兴达,17.97,-0.66,-0.12,-0.17,6.11,0.78,3.04,2.45亿,2.24亿,40.19亿,90.59
30,31,301338,凯格精机,58.62,-0.95,-0.56,-0.14,3.9,0.74,1.23,0.38亿,0.17亿,9.83亿,33.79
31,32,688439,振华风光,112.89,-1.13,-1.29,0.13,1.62,1.68,3.29,0.78亿,0.43亿,48.30亿,74.67
32,33,603773,沃格光电,24.02,-1.35,-0.33,-0.13,5.62,1.52,6.74,2.09亿,1.56亿,37.56亿,--
33,34,688362,甬矽电子,27.23,-1.55,-0.43,-0.18,15.31,1.81,3.62,1.90亿,0.46亿,12.41亿,40.42
34,35,002579,中京电子,12.84,-1.61,-0.21,-0.23,5.76,0.78,2.68,4.30亿,5.82亿,74.74亿,--
35,36,300812,易天股份,22.0,-1.92,-0.43,0.14,10.15,1.24,3.03,1.75亿,0.79亿,17.31亿,57.07
36,37,688630,芯碁微装,92.41,-2.4,-2.27,-0.41,1.66,1.0,4.06,1.04亿,0.67亿,61.94亿,95.38
37,38,600520,文一科技,17.0,-3.02,-0.53,-0.06,8.93,1.37,3.42,2.43亿,1.58亿,26.93亿,65.28
38,39,300410,正业科技,11.46,-4.74,-0.57,0.0,6.5,1.58,4.74,2.73亿,3.67亿,42.11亿,55.76
