,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002116,中国海诚,12.47,2.46,0.3,0.16,5.11,4.19,7.81,2.68亿,4.16亿,51.93亿,22.94
1,2,688408,中信博,108.26,1.74,1.85,0.07,1.95,1.61,6.13,1.52亿,0.73亿,79.08亿,--
2,3,002506,协鑫集成,3.29,0.92,0.03,0.0,1.19,3.43,3.07,2.32亿,58.49亿,192.45亿,--
3,4,300715,凯伦股份,14.94,0.81,0.12,-0.07,0.17,0.64,1.49,0.07亿,2.79亿,41.67亿,192.67
4,5,603098,森特股份,28.82,0.8,0.23,-0.35,0.13,1.66,1.12,0.21亿,5.39亿,155.28亿,116.28
5,6,600710,苏美达,6.36,0.79,0.05,0.0,0.34,1.57,1.11,0.28亿,13.07亿,83.11亿,9.22
6,7,600502,安徽建工,5.33,0.76,0.04,0.0,0.57,0.87,1.51,0.52亿,17.17亿,91.49亿,7.38
7,8,300324,旋极信息,3.23,0.62,0.02,0.0,1.16,0.88,2.18,0.63亿,16.96亿,54.78亿,--
8,9,688599,天合光能,64.56,0.58,0.37,-0.23,0.41,0.99,3.07,3.51亿,13.29亿,857.98亿,43.80
9,10,600491,龙元建设,5.68,0.53,0.04,-0.35,0.33,0.86,1.06,0.28亿,15.30亿,86.89亿,6.73
10,11,601886,江河集团,7.93,0.51,0.04,0.0,0.14,0.9,1.52,0.12亿,11.33亿,89.85亿,15.04
11,12,002620,瑞和股份,6.18,0.49,0.03,0.33,0.77,1.46,1.79,0.15亿,3.15亿,19.45亿,--
12,13,600834,申通地铁,8.53,0.47,0.04,0.0,0.17,0.97,0.59,0.07亿,4.77亿,40.72亿,53.83
13,14,300412,迦南科技,6.43,0.47,0.03,0.0,1.42,1.64,1.56,0.43亿,4.72亿,30.38亿,63.25
14,15,002822,中装建设,5.06,0.4,0.02,0.2,0.76,0.78,1.79,0.25亿,6.51亿,32.93亿,--
15,16,600170,上海建工,2.7,0.37,0.01,-0.37,0.13,0.83,1.11,0.30亿,89.04亿,240.42亿,103.50
16,17,002081,金螳螂,5.51,0.36,0.02,0.0,0.16,0.59,0.91,0.24亿,26.36亿,145.24亿,9.13
17,18,002056,横店东磁,22.15,0.36,0.08,-0.18,0.4,0.95,1.45,1.40亿,15.97亿,353.75亿,22.37
18,19,000058,深赛格,7.09,0.28,0.02,-0.14,0.46,0.92,1.41,0.32亿,9.85亿,69.81亿,340.59
19,20,605287,德才股份,24.75,0.24,0.06,0.16,0.46,1.39,0.97,0.07亿,0.63亿,15.55亿,13.42
20,21,600496,精工钢构,4.23,0.24,0.01,0.24,0.38,1.04,0.95,0.32亿,20.13亿,85.14亿,9.76
21,22,600982,宁波能源,4.52,0.22,0.01,0.0,0.29,1.32,0.67,0.14亿,10.97亿,49.58亿,20.12
22,23,002375,亚厦股份,4.88,0.2,0.01,-0.2,0.35,1.09,1.23,0.23亿,13.31亿,64.95亿,21.25
23,24,000055,方大集团,5.15,0.2,0.01,-0.19,0.55,1.16,0.97,0.19亿,6.76亿,34.81亿,19.37
24,25,002309,ST中利,5.27,0.19,0.01,0.19,1.15,1.02,2.66,0.45亿,7.46亿,39.34亿,--
25,26,000027,深圳能源,6.29,0.16,0.01,0.0,0.08,0.76,0.48,0.24亿,47.57亿,299.24亿,13.74
26,27,603060,国检集团,13.29,0.15,0.02,0.23,0.11,1.12,0.83,0.11亿,7.29亿,96.91亿,38.33
27,28,600810,神马股份,8.31,0.12,0.01,0.36,0.41,1.12,0.96,0.24亿,7.14亿,59.34亿,12.65
28,29,300187,永清环保,6.29,0.0,0.0,0.0,0.18,0.56,1.11,0.07亿,6.45亿,40.56亿,55.98
29,30,300564,筑博设计,13.23,0.0,0.0,-0.08,0.26,0.74,0.83,0.04亿,1.09亿,14.40亿,18.95
