,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000886,海南高速,5.78,4.14,0.23,0.17,2.45,3.05,5.59,1.37亿,9.76亿,56.38亿,33.17
1,2,601888,中国中免,206.78,3.13,6.28,0.11,0.48,1.84,3.17,19.34亿,19.52亿,4037.33亿,85.14
2,3,600859,王府井,28.32,2.72,0.75,0.0,0.85,1.53,4.46,2.63亿,10.93亿,309.67亿,58.10
3,4,601118,海南橡胶,4.73,2.6,0.12,0.21,0.56,3.21,2.82,1.13亿,42.79亿,202.42亿,--
4,5,603069,海汽集团,29.55,1.9,0.55,0.0,1.97,1.3,2.52,1.85亿,3.16亿,93.38亿,--
5,6,000861,海印股份,2.34,1.74,0.04,0.0,1.11,2.91,3.04,0.61亿,23.68亿,55.42亿,53.93
6,7,600185,格力地产,10.34,1.67,0.17,0.29,1.52,1.08,2.06,2.94亿,18.85亿,194.91亿,--
7,8,601021,春秋航空,65.77,1.65,1.07,-0.2,0.15,0.7,2.84,0.93亿,9.16亿,602.76亿,--
8,9,000501,武商集团,11.13,1.64,0.18,0.0,0.63,2.0,2.01,0.54亿,7.68亿,85.49亿,19.35
9,10,600694,大商股份,17.97,1.58,0.28,0.22,0.6,2.75,1.47,0.31亿,2.94亿,52.78亿,7.82
10,11,002707,众信旅游,9.93,1.53,0.15,0.0,4.2,2.75,3.07,3.36亿,8.01亿,79.54亿,--
11,12,600238,海南椰岛,15.04,1.42,0.21,0.07,5.81,2.27,3.84,3.91亿,4.45亿,66.93亿,--
12,13,600515,海南机场,4.51,1.35,0.06,0.0,0.26,1.01,1.57,1.05亿,91.76亿,413.84亿,22.68
13,14,002163,海南发展,12.12,1.34,0.16,-0.08,0.78,1.63,3.01,0.76亿,8.04亿,97.39亿,--
14,15,600606,绿地控股,3.19,1.27,0.04,0.31,0.28,1.18,2.22,1.26亿,140.54亿,448.33亿,4.84
15,16,001979,招商蛇口,14.78,1.23,0.18,0.41,0.15,0.68,3.15,1.75亿,77.38亿,1143.68亿,29.01
16,17,000796,ST凯撒,5.32,1.14,0.06,0.19,0.71,0.96,2.09,0.31亿,8.03亿,42.69亿,--
17,18,600712,南宁百货,4.14,0.98,0.04,0.24,0.74,1.26,1.22,0.17亿,5.39亿,22.30亿,--
18,19,000785,居然之家,4.36,0.93,0.04,0.0,0.2,1.2,2.08,0.24亿,27.51亿,119.94亿,13.91
19,20,600693,东百集团,4.36,0.93,0.04,-0.23,0.73,1.24,1.16,0.28亿,8.69亿,37.88亿,27.74
20,21,000759,中百集团,5.31,0.76,0.04,0.19,0.79,0.82,1.33,0.27亿,6.56亿,34.82亿,--
21,22,002697,红旗连锁,5.7,0.71,0.04,0.0,0.62,1.34,1.94,0.38亿,10.78亿,61.43亿,16.28
22,23,600697,欧亚集团,13.97,0.65,0.09,0.0,1.07,1.12,1.08,0.23亿,1.55亿,21.68亿,--
23,24,002277,友阿股份,3.87,0.52,0.02,0.26,0.68,0.95,1.3,0.36亿,13.94亿,53.95亿,29.50
24,25,603825,华扬联众,15.81,0.45,0.07,0.0,2.68,1.41,2.1,1.08亿,2.53亿,40.05亿,47.50
25,26,600017,日照港,2.87,0.35,0.01,0.0,0.28,0.97,1.05,0.24亿,30.76亿,88.27亿,10.20
26,27,600018,上港集团,5.29,0.19,0.01,0.0,0.04,1.06,0.76,0.46亿,231.74亿,1225.89亿,7.09
27,28,000524,岭南控股,11.81,0.09,0.01,-0.25,0.74,0.95,1.7,0.59亿,6.70亿,79.14亿,--
28,29,600827,百联股份,11.86,0.08,0.01,-0.08,0.26,0.96,1.27,0.50亿,16.04亿,190.29亿,--
29,30,600338,西藏珠峰,24.97,0.08,0.02,0.04,0.69,0.6,1.88,1.56亿,9.14亿,228.28亿,31.19
30,31,000592,平潭发展,2.74,0.0,0.0,0.0,0.59,0.72,0.73,0.31亿,19.14亿,52.44亿,357.01
31,32,600738,丽尚国潮,7.0,-0.28,-0.02,0.0,0.33,0.81,1.14,0.18亿,7.61亿,53.25亿,32.69
32,33,002251,步步高,6.63,-0.45,-0.03,0.0,2.39,0.84,1.95,1.38亿,8.64亿,57.28亿,239.59
33,34,600778,友好集团,6.5,-0.92,-0.06,0.15,0.78,1.87,2.44,0.16亿,3.11亿,20.23亿,--
