,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000938,紫光股份,25.46,0.16,0.04,-0.39,0.79,1.96,3.82,5.72亿,28.60亿,728.18亿,33.31
1,2,300308,中际旭创,35.79,0.03,0.01,0.08,0.98,1.25,3.19,2.63亿,7.48亿,267.83亿,25.22
2,3,688205,德科立,56.13,-1.66,-0.95,-0.02,3.16,1.22,2.29,0.41亿,0.23亿,13.10亿,49.82
3,4,600487,亨通光电,14.76,-1.8,-0.27,0.07,1.0,2.49,2.33,3.66亿,24.67亿,364.09亿,19.24
4,5,002396,星网锐捷,23.18,-2.15,-0.51,-0.43,1.18,2.29,1.98,1.61亿,5.83亿,135.20亿,18.42
5,6,300394,天孚通信,39.88,-2.45,-1.0,0.0,2.22,1.44,4.13,3.18亿,3.56亿,142.15亿,39.27
6,7,603083,剑桥科技,15.84,-2.52,-0.41,0.13,4.75,1.76,3.63,1.92亿,2.54亿,40.21亿,42.07
7,8,688313,仕佳光子,12.03,-2.59,-0.32,-0.33,1.85,1.26,2.35,0.73亿,3.25亿,39.07亿,61.49
8,9,300548,博创科技,21.58,-2.92,-0.65,-0.28,2.16,1.39,1.93,1.01亿,2.15亿,46.48亿,34.19
9,10,300447,全信股份,17.92,-2.92,-0.54,-0.17,2.6,2.61,2.98,0.93亿,2.00亿,35.80亿,25.04
10,11,300502,新易盛,32.05,-3.03,-1.0,-0.62,2.42,1.35,3.12,3.42亿,4.39亿,140.60亿,15.99
11,12,301205,联特科技,68.5,-3.36,-2.38,-0.6,14.68,1.85,3.74,1.82亿,0.18亿,12.34亿,41.67
12,13,301165,锐捷网络,41.67,-3.99,-1.73,0.24,5.88,2.17,3.48,1.43亿,0.58亿,24.04亿,34.55
13,14,002281,光迅科技,22.8,-4.24,-1.01,-0.39,3.08,2.15,3.7,4.82亿,6.74亿,153.70亿,24.26
14,15,002792,通宇通讯,16.38,-8.54,-1.53,0.25,17.45,6.03,6.92,7.06亿,2.42亿,39.58亿,72.51
