,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002792,通宇通讯,17.91,10.01,1.63,0.0,12.73,1.02,2.83,5.50亿,2.42亿,43.27亿,79.28
1,2,000938,紫光股份,25.53,4.59,1.12,-0.27,1.86,1.33,6.68,13.34亿,28.60亿,730.18亿,33.4
2,3,300394,天孚通信,41.4,4.55,1.8,-0.65,7.32,1.33,8.99,10.68亿,3.56亿,147.56亿,40.77
3,4,002396,星网锐捷,23.67,3.82,0.87,-0.04,3.08,1.71,5.26,4.19亿,5.83亿,138.06亿,18.81
4,5,300447,全信股份,18.5,3.76,0.67,-0.05,7.07,2.43,6.39,2.62亿,2.00亿,36.96亿,25.85
5,6,300308,中际旭创,36.43,3.64,1.28,0.58,2.95,1.07,5.83,7.88亿,7.48亿,272.62亿,25.67
6,7,002281,光迅科技,23.89,3.02,0.7,0.04,6.67,1.36,6.38,10.50亿,6.74亿,161.05亿,25.42
7,8,300502,新易盛,33.31,2.94,0.95,-0.63,6.45,0.95,4.57,9.29亿,4.39亿,146.13亿,16.62
8,9,688313,仕佳光子,12.38,2.48,0.3,0.0,5.64,1.01,6.29,2.23亿,3.25亿,40.20亿,63.28
9,10,301205,联特科技,72.78,2.25,1.6,-0.18,27.91,0.85,6.55,3.63亿,0.18亿,13.12亿,44.28
10,11,301165,锐捷网络,43.62,2.15,0.92,-0.43,9.38,0.82,3.16,2.35亿,0.58亿,25.16亿,36.16
11,12,300548,博创科技,22.37,1.91,0.42,-0.27,5.55,0.96,4.01,2.67亿,2.15亿,48.18亿,35.44
12,13,603083,剑桥科技,16.32,1.75,0.29,0.0,10.65,1.17,3.43,4.40亿,2.54亿,41.43亿,43.34
13,14,600487,亨通光电,14.95,1.29,0.17,-0.13,2.05,1.48,2.57,7.54亿,24.67亿,368.78亿,19.48
14,15,688205,德科立,57.47,1.09,0.62,0.28,8.22,0.89,3.46,1.10亿,0.23亿,13.42亿,51.01
