,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300288,朗玛信息,14.36,19.17,2.31,-0.69,22.78,10.59,14.69,7.87亿,2.52亿,36.12亿,60.12
1,2,603998,方盛制药,11.1,9.25,0.94,0.0,9.25,2.66,11.32,4.23亿,4.29亿,47.67亿,14.10
2,3,301017,漱玉平民,21.99,7.95,1.62,-0.05,6.23,4.56,5.89,1.48亿,1.09亿,24.04亿,51.42
3,4,002162,悦心健康,5.57,6.09,0.32,0.0,9.61,6.36,10.29,4.98亿,9.26亿,51.59亿,--
4,5,002603,以岭药业,31.0,5.62,1.65,0.07,7.77,5.01,7.43,32.53亿,13.76亿,426.56亿,27.46
5,6,300078,思创医惠,5.96,4.56,0.26,0.34,9.29,3.94,5.79,4.22亿,7.75亿,46.22亿,824.44
6,7,600572,康恩贝,5.07,4.32,0.21,0.0,1.99,3.89,4.53,2.54亿,25.63亿,129.96亿,42.61
7,8,688626,翔宇医疗,40.82,3.79,1.49,0.44,2.64,2.09,4.47,0.54亿,0.51亿,20.78亿,53.89
8,9,300166,东方国信,10.28,3.52,0.35,0.0,12.6,3.72,6.14,11.99亿,9.19亿,94.52亿,82.24
9,10,600100,同方股份,5.89,3.52,0.2,-0.51,3.0,2.18,6.33,5.15亿,29.64亿,174.57亿,--
10,11,000950,重药控股,5.52,3.37,0.18,0.0,1.29,3.74,3.18,1.22亿,17.28亿,95.40亿,9.26
11,12,300430,诚益通,15.63,3.17,0.48,0.26,0.63,1.29,4.09,0.25亿,2.56亿,40.07亿,42.56
12,13,002381,双箭股份,7.1,2.6,0.18,-0.14,1.26,2.02,3.76,0.29亿,3.22亿,22.86亿,25.82
13,14,301009,可靠股份,13.81,2.6,0.35,0.22,4.38,2.27,2.9,0.58亿,0.97亿,13.42亿,190.63
14,15,600735,新华锦,7.29,2.53,0.18,0.41,3.0,3.15,3.38,0.92亿,4.21亿,30.69亿,46.71
15,16,600129,太极集团,35.23,2.26,0.78,0.09,0.8,1.71,3.51,1.56亿,5.57亿,196.19亿,59.12
16,17,600664,哈药股份,3.25,2.2,0.07,0.31,1.45,3.76,3.15,1.18亿,25.17亿,81.80亿,19.06
17,18,002589,瑞康医药,4.28,2.15,0.09,0.23,3.6,3.39,2.62,1.78亿,11.58亿,49.57亿,79.07
18,19,002172,澳洋健康,4.4,2.09,0.09,0.23,4.02,3.83,4.64,1.36亿,7.65亿,33.67亿,101.73
19,20,000919,金陵药业,8.45,2.05,0.17,0.0,1.6,2.54,2.42,0.68亿,5.04亿,42.55亿,34.85
20,21,002223,鱼跃医疗,30.43,2.05,0.61,0.07,1.2,1.82,2.31,3.40亿,9.38亿,285.38亿,20.15
21,22,300562,乐心医疗,10.62,2.02,0.21,0.19,5.4,2.77,3.36,0.82亿,1.44亿,15.28亿,191.55
22,23,002349,精华制药,12.45,1.97,0.24,0.24,3.13,2.62,3.11,3.15亿,8.11亿,101.00亿,45.02
23,24,002285,世联行,3.3,1.85,0.06,-0.3,1.1,1.19,3.7,0.72亿,20.15亿,66.49亿,--
24,25,300096,易联众,7.36,1.8,0.13,0.14,5.96,1.98,3.73,1.65亿,3.77亿,27.71亿,--
25,26,000150,*ST宜康,1.14,1.79,0.02,-0.87,2.28,0.93,4.46,0.21亿,8.06亿,9.19亿,--
26,27,300212,易华录,27.1,1.76,0.47,-0.07,4.79,2.15,7.85,8.21亿,6.41亿,173.64亿,--
27,28,600748,上实发展,3.69,1.65,0.06,0.0,0.22,0.68,2.2,0.15亿,18.45亿,68.06亿,--
28,29,600238,海南椰岛,15.07,1.62,0.24,0.13,6.36,2.0,3.84,4.27亿,4.45亿,67.06亿,--
29,30,300869,康泰医学,26.39,1.58,0.41,0.08,2.27,1.63,1.81,0.95亿,1.60亿,42.24亿,45.65
30,31,002008,大族激光,30.89,1.51,0.46,0.03,1.99,1.36,2.76,6.00亿,9.79亿,302.48亿,24.05
31,32,002551,尚荣医疗,4.86,1.46,0.07,0.0,2.13,2.17,2.09,0.63亿,6.10亿,29.66亿,--
32,33,600704,物产中大,4.86,1.46,0.07,0.21,0.37,1.4,1.46,0.90亿,50.62亿,246.02亿,5.89
33,34,600250,南纺股份,6.03,1.34,0.08,0.17,0.76,1.08,1.34,0.13亿,2.84亿,17.13亿,--
34,35,600530,交大昂立,3.86,1.31,0.05,0.26,0.54,1.34,1.57,0.16亿,7.75亿,29.91亿,60.70
35,36,000790,华神科技,4.98,1.22,0.06,0.0,1.51,1.72,1.83,0.47亿,6.19亿,30.83亿,90.52
36,37,002777,久远银海,19.39,1.2,0.23,-0.1,2.93,1.85,3.97,2.27亿,3.99亿,77.45亿,47.46
37,38,000590,启迪药业,9.53,1.17,0.11,0.0,1.04,1.38,1.7,0.24亿,2.39亿,22.81亿,109.03
38,39,001979,招商蛇口,14.77,1.16,0.17,0.07,0.17,0.59,3.15,1.88亿,77.38亿,1142.91亿,28.99
39,40,600671,ST目药,9.02,1.12,0.1,0.0,0.24,0.73,1.34,0.03亿,1.22亿,10.98亿,--
40,41,002344,海宁皮城,4.6,1.1,0.05,0.0,0.33,0.92,1.1,0.19亿,12.81亿,58.95亿,20.42
41,42,002675,东诚药业,18.5,1.09,0.2,0.16,0.46,0.76,2.46,0.62亿,7.38亿,136.48亿,34.64
42,43,600527,江南高纤,2.18,0.93,0.02,0.46,0.43,1.43,0.93,0.16亿,17.32亿,37.75亿,47.98
43,44,605009,豪悦护理,49.69,0.87,0.43,0.02,0.87,0.77,1.52,0.22亿,0.52亿,25.67亿,22.05
44,45,000961,中南建设,2.32,0.87,0.02,0.0,0.59,1.1,1.3,0.52亿,38.11亿,88.42亿,--
45,46,002133,广宇集团,3.63,0.83,0.03,0.28,0.72,0.99,0.83,0.20亿,7.70亿,27.95亿,15.38
46,47,000503,国新健康,11.0,0.82,0.09,0.0,0.85,1.56,2.11,0.84亿,8.99亿,98.87亿,--
47,48,300451,创业慧康,8.92,0.79,0.07,-0.89,0.95,1.12,2.94,1.14亿,13.57亿,121.08亿,60.64
48,49,300247,融捷健康,4.06,0.74,0.03,0.25,1.64,1.58,2.48,0.53亿,8.03亿,32.61亿,17.72
49,50,600716,凤凰股份,4.21,0.72,0.03,0.0,2.26,3.48,5.02,0.90亿,9.36亿,39.41亿,78.32
50,51,603709,中源家居,18.48,0.65,0.12,0.33,1.72,2.6,5.28,0.25亿,0.80亿,14.78亿,--
51,52,600682,南京新百,9.38,0.64,0.06,0.11,0.36,1.11,1.29,0.39亿,11.65亿,109.28亿,15.42
52,53,600606,绿地控股,3.17,0.64,0.02,0.0,0.31,1.04,2.22,1.38亿,140.54亿,445.52亿,4.81
