,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000735,罗牛山,8.13,10.01,0.74,0.0,4.9,6.34,9.61,4.45亿,11.51亿,93.57亿,1180.63
1,2,002100,天康生物,9.13,4.58,0.4,0.11,2.78,3.15,5.84,3.39亿,13.54亿,123.65亿,35.95
2,3,000529,广弘控股,8.72,4.56,0.38,0.12,6.0,5.74,7.91,2.96亿,5.70亿,49.69亿,5.18
3,4,000048,京基智农,20.97,4.02,0.81,-0.14,0.64,3.48,5.51,0.69亿,5.23亿,109.72亿,--
4,5,301116,益客食品,16.69,3.22,0.52,0.0,6.04,1.93,4.14,1.16亿,1.17亿,19.44亿,--
5,6,002567,唐人神,7.95,2.85,0.22,0.0,1.96,1.94,3.62,1.83亿,11.88亿,94.44亿,240.60
6,7,002458,益生股份,14.26,2.44,0.34,0.0,2.03,1.49,3.66,1.94亿,6.76亿,96.46亿,--
7,8,002321,ST华英,2.54,2.01,0.05,0.0,0.33,2.24,2.01,0.18亿,21.29亿,54.07亿,--
8,9,002746,仙坛股份,9.33,1.97,0.18,-0.11,1.32,2.02,2.51,0.87亿,7.10亿,66.21亿,58.83
9,10,002234,民和股份,21.19,1.63,0.34,0.05,2.86,1.62,4.51,1.56亿,2.56亿,54.30亿,--
10,11,300967,晓鸣股份,17.48,1.57,0.27,0.0,4.34,2.63,1.57,0.79亿,1.05亿,18.27亿,139.47
11,12,002299,圣农发展,23.98,1.44,0.34,-0.04,0.28,0.98,1.86,0.81亿,12.30亿,294.92亿,116.36
12,13,002982,湘佳股份,46.28,1.38,0.63,-0.15,3.16,1.68,2.89,0.68亿,0.46亿,21.45亿,36.37
13,14,603477,巨星农牧,25.36,0.83,0.21,-0.16,1.29,1.26,2.31,1.57亿,4.82亿,122.17亿,--
14,15,603609,禾丰股份,12.31,0.74,0.09,0.0,0.29,1.01,1.55,0.33亿,9.19亿,113.37亿,24.31
15,16,300761,立华股份,37.5,0.62,0.23,-0.08,0.24,0.92,1.74,0.29亿,3.22亿,120.60亿,19.90
16,17,000876,新希望,13.26,0.61,0.08,0.08,0.19,0.97,0.99,1.11亿,45.02亿,596.99亿,--
17,18,605567,春雪食品,15.13,0.6,0.09,0.0,1.48,1.56,1.2,0.28亿,1.24亿,18.70亿,29.17
18,19,002840,华统股份,18.28,0.38,0.07,-0.16,0.67,0.78,1.7,0.57亿,4.63亿,84.58亿,183.24
19,20,300498,温氏股份,19.73,0.36,0.07,0.1,0.24,1.06,1.73,2.52亿,53.48亿,1055.07亿,141.47
20,21,603668,天马科技,18.17,0.33,0.06,0.06,1.91,0.85,1.32,1.51亿,4.36亿,79.29亿,24.67
