,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002439,启明星辰,31.0,4.41,1.31,0.65,1.04,1.73,6.4,2.27亿,7.24亿,224.57亿,--
1,2,300229,拓尔思,24.6,4.15,0.98,-0.24,10.89,1.67,8.81,19.84亿,7.61亿,187.15亿,135.53
2,3,688010,福光股份,24.93,3.44,0.83,0.12,1.21,5.03,5.73,0.46亿,1.53亿,38.14亿,147.56
3,4,832662,方盛股份,8.35,3.21,0.26,-0.12,6.35,5.41,3.09,0.11亿,0.20亿,1.67亿,14.75
4,5,002406,远东传动,5.74,2.87,0.16,0.0,6.21,2.44,8.06,1.76亿,4.96亿,28.48亿,52.25
5,6,600151,航天机电,9.94,2.69,0.26,0.0,0.96,4.24,4.75,1.37亿,14.34亿,142.56亿,--
6,7,002777,久远银海,19.67,2.66,0.51,0.41,2.32,1.92,3.91,1.79亿,3.99亿,78.57亿,48.15
7,8,300101,振芯科技,29.04,2.58,0.73,-0.21,0.86,1.96,3.74,1.40亿,5.62亿,163.32亿,57.72
8,9,002544,普天科技,21.5,2.38,0.5,-0.05,0.65,2.05,3.24,0.92亿,6.67亿,143.33亿,90.88
9,10,688270,臻镭科技,110.37,2.2,2.38,-0.36,0.75,1.08,4.39,0.51亿,0.62亿,68.30亿,126.58
10,11,300352,北信源,5.44,2.06,0.11,0.0,4.96,1.71,6.57,3.25亿,12.03亿,65.45亿,972.67
11,12,002089,*ST新海,1.07,1.91,0.02,0.0,18.04,8.91,8.57,2.31亿,12.47亿,13.34亿,111.76
12,13,300353,东土科技,12.08,1.85,0.22,-0.33,3.62,2.17,6.16,1.92亿,4.39亿,53.02亿,--
13,14,002771,真视通,13.77,1.7,0.23,-0.07,5.33,0.91,2.95,1.23亿,1.69亿,23.34亿,--
14,15,002065,东华软件,6.83,1.49,0.1,0.44,0.74,1.36,2.23,1.45亿,29.04亿,198.36亿,33.95
15,16,300900,广联航空,33.72,1.26,0.42,0.06,1.85,1.33,2.46,0.76亿,1.22亿,41.23亿,70.67
16,17,603338,浙江鼎力,60.84,1.23,0.74,0.18,0.22,0.79,2.1,0.66亿,5.06亿,308.06亿,26.36
17,18,002465,海格通信,9.41,1.18,0.11,0.75,0.4,1.13,1.72,0.84亿,22.65亿,213.14亿,41.13
18,19,002933,新兴装备,29.31,1.17,0.34,0.17,4.99,2.5,5.0,0.99亿,0.67亿,19.70亿,--
19,20,300542,新晨科技,13.71,1.11,0.15,0.22,2.23,1.76,2.43,0.74亿,2.42亿,33.19亿,320.26
20,21,601106,中国一重,3.14,0.96,0.03,0.32,0.09,0.75,0.96,0.19亿,68.58亿,215.33亿,231.47
21,22,603859,能科科技,38.0,0.93,0.35,0.4,0.85,0.65,1.54,0.54亿,1.67亿,63.30亿,43.48
22,23,000732,ST泰禾,1.22,0.83,0.01,-0.81,0.65,1.03,2.48,0.20亿,24.86亿,30.33亿,--
23,24,601989,中国重工,3.67,0.82,0.03,0.0,0.12,0.89,0.82,0.94亿,220.84亿,810.48亿,--
24,25,600482,中国动力,16.48,0.8,0.13,0.06,0.1,0.97,1.28,0.32亿,20.27亿,334.12亿,91.65
25,26,002528,英飞拓,10.81,0.75,0.08,0.47,4.51,1.39,4.38,5.00亿,10.46亿,113.12亿,--
26,27,300114,中航电测,54.53,0.65,0.35,0.55,6.54,1.59,7.84,21.08亿,5.91亿,322.14亿,124.11
27,28,601718,际华集团,3.14,0.64,0.02,0.32,0.4,1.39,1.28,0.55亿,43.92亿,137.90亿,59.19
28,29,000547,航天发展,11.29,0.62,0.07,0.53,1.16,1.31,2.14,2.06亿,15.86亿,179.01亿,74.08
29,30,002413,雷科防务,5.02,0.6,0.03,-0.2,0.8,1.24,0.8,0.49亿,12.33亿,61.90亿,--
30,31,600783,鲁信创投,13.76,0.58,0.08,-0.15,0.41,1.94,1.24,0.42亿,7.44亿,102.42亿,183.28
31,32,002023,海特高新,9.3,0.54,0.05,0.0,0.48,1.24,0.97,0.30亿,6.84亿,63.58亿,365.52
32,33,688011,新光光电,26.94,0.52,0.14,0.15,0.79,0.85,1.6,0.11亿,0.51亿,13.76亿,451.86
33,34,600565,迪马股份,2.13,0.47,0.01,-0.47,0.95,3.08,1.42,0.50亿,24.92亿,53.07亿,20.14
34,35,300395,菲利华,48.74,0.45,0.22,-0.02,0.34,0.96,2.1,0.79亿,4.77亿,232.73亿,49.87
35,36,300699,光威复材,67.37,0.45,0.3,-0.05,0.22,0.57,1.12,0.74亿,5.10亿,343.40亿,37.47
36,37,002446,盛路通信,10.24,0.39,0.04,0.39,1.27,1.12,2.35,1.08亿,8.43亿,86.37亿,36.49
37,38,600736,苏州高新,5.25,0.38,0.02,0.0,0.61,0.91,0.77,0.37亿,11.51亿,60.44亿,23.16
38,39,600592,龙溪股份,8.11,0.37,0.03,0.0,0.18,0.64,0.87,0.06亿,4.00亿,32.40亿,--
39,40,601678,滨化股份,5.65,0.35,0.02,0.0,0.34,1.0,1.24,0.40亿,20.58亿,116.28亿,8.60
40,41,600839,四川长虹,3.02,0.33,0.01,0.33,0.35,0.81,1.0,0.49亿,46.15亿,139.37亿,46.23
41,42,300201,*ST海伦,3.05,0.33,0.01,0.0,0.22,0.66,0.66,0.07亿,10.38亿,31.65亿,36.97
42,43,300213,佳讯飞鸿,6.23,0.32,0.02,0.0,2.41,1.25,2.09,0.82亿,5.51亿,34.31亿,111.30
43,44,600150,中国船舶,23.91,0.29,0.07,0.0,0.47,0.77,1.55,2.74亿,24.43亿,584.20亿,54.82
44,45,002497,雅化集团,24.94,0.28,0.07,0.04,0.71,1.38,1.53,1.82亿,10.34亿,257.92亿,6.08
45,46,002783,凯龙股份,9.97,0.2,0.02,0.0,0.91,1.2,1.31,0.30亿,3.33亿,33.19亿,18.43
46,47,002564,天沃科技,5.35,0.19,0.01,0.19,0.65,0.75,1.12,0.30亿,8.58亿,45.90亿,--
47,48,300123,亚光科技,7.07,0.14,0.01,-0.14,0.88,0.82,2.27,0.61亿,9.88亿,69.83亿,--
48,49,002231,奥维通信,8.8,0.11,0.01,0.57,2.6,1.08,1.93,0.67亿,2.95亿,25.94亿,--
49,50,002625,光启技术,18.19,0.11,0.02,-0.06,0.29,0.85,1.16,0.93亿,17.77亿,323.28亿,98.76
50,51,002046,国机精工,12.98,0.08,0.01,-0.08,1.40,2.38,2.00,0.96亿,5.24亿,68.06亿,26.00
51,52,600765,中航重机,29.06,0.07,0.02,-0.03,0.41,0.66,0.90,1.73亿,14.67亿,426.18亿,35.04
52,53,002179,中航光电,57.12,0.02,0.01,-0.05,0.16,0.72,0.73,1.44亿,15.67亿,895.35亿,34.20
53,54,000806,*ST银河,1.71,0.00,0.00,0.00,0.65,1.64,4.09,0.08亿,6.99亿,11.96亿,--
54,55,001696,宗申动力,7.17,0.00,0.00,0.14,0.37,0.79,1.25,0.23亿,8.79亿,63.04亿,15.58
55,56,002063,远光软件,8.73,0.00,0.00,0.35,0.88,1.56,3.32,1.10亿,14.62亿,127.65亿,70.84
56,57,300008,天海防务,4.93,0.00,0.00,0.00,1.16,0.63,1.22,0.82亿,14.31亿,70.56亿,78.41
57,58,300420,五洋停车,3.18,0.00,0.00,0.00,0.75,1.00,1.26,0.25亿,10.65亿,33.86亿,62.27
58,59,300918,南山智尚,11.00,0.00,0.00,0.00,0.96,0.72,1.27,0.11亿,1.08亿,11.93亿,27.99
59,60,600260,*ST凯乐,--,--,--,--,--,--,--,--,9.95亿,4.68亿,--
60,61,600372,中航电子,--,--,--,--,--,--,--,--,19.18亿,346.74亿,37.42
61,62,600118,中国卫星,24.22,-0.04,-0.01,0.12,0.35,0.97,1.11,1.00亿,11.82亿,286.40亿,75.78
62,63,300427,红相股份,19.66,-0.05,-0.01,-0.15,0.30,0.81,1.88,0.19亿,3.23亿,63.55亿,69.69
63,64,002151,北斗星通,31.58,-0.06,-0.02,0.00,0.89,1.33,1.71,1.09亿,3.90亿,123.19亿,104.26
64,65,603056,德邦股份,19.93,-0.10,-0.02,0.00,0.20,0.68,1.45,0.37亿,9.60亿,191.33亿,47.05
65,66,300593,新雷能,36.26,-0.11,-0.04,0.11,0.57,0.95,2.67,0.63亿,3.04亿,110.41亿,39.42
66,67,300516,久之洋,28.91,-0.14,-0.04,0.07,0.24,0.90,0.97,0.13亿,1.80亿,52.04亿,73.78
67,68,300099,精准信息,6.94,-0.14,-0.01,0.00,0.69,1.24,1.01,0.24亿,5.09亿,35.31亿,39.49
68,69,300103,达刚控股,6.88,-0.14,-0.01,0.00,0.48,0.99,2.47,0.08亿,2.45亿,16.89亿,--
69,70,603261,立航科技,40.40,-0.20,-0.08,-0.17,3.74,1.39,1.71,0.29亿,0.19亿,7.78亿,189.79
70,71,300762,上海瀚讯,13.85,-0.22,-0.03,0.07,0.26,0.57,1.23,0.22亿,6.27亿,86.88亿,73.00
71,72,300722,新余国科,31.63,-0.22,-0.07,0.54,1.44,1.04,1.74,0.87亿,1.92亿,60.79亿,84.08
