,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300158,振东制药,7.68,5.79,0.42,0.66,7.67,4.61,8.13,5.90亿,10.24亿,78.65亿,239.18
1,2,601118,海南橡胶,4.73,2.6,0.12,0.21,0.5,3.56,2.82,0.99亿,42.79亿,202.42亿,--
2,3,300495,*ST美尚,2.94,1.73,0.05,0.0,4.51,1.65,4.84,0.70亿,5.21亿,15.30亿,4.15
3,4,002566,益盛药业,8.69,1.05,0.09,0.0,1.03,1.56,1.51,0.21亿,2.31亿,20.11亿,35.75
4,5,603336,宏辉果蔬,7.08,1.0,0.07,0.0,0.61,0.85,1.43,0.19亿,4.39亿,31.06亿,45.55
5,6,002042,华孚时尚,3.22,0.94,0.03,0.63,0.67,2.26,1.25,0.37亿,17.01亿,54.76亿,13.66
6,7,002133,广宇集团,3.63,0.83,0.03,0.0,0.61,1.32,0.83,0.17亿,7.70亿,27.95亿,15.38
7,8,300908,仲景食品,42.32,0.79,0.33,-0.42,3.3,1.86,5.83,0.55亿,0.39亿,16.37亿,31.02
8,9,600084,中葡股份,7.57,0.67,0.05,-0.26,0.21,1.14,1.46,0.18亿,11.24亿,85.07亿,--
9,10,600540,新赛股份,4.74,0.64,0.03,0.0,0.36,1.06,0.85,0.10亿,5.81亿,27.56亿,--
10,11,600108,亚盛集团,3.24,0.62,0.02,0.0,0.37,0.87,0.93,0.24亿,19.47亿,63.08亿,108.17
11,12,000759,中百集团,5.3,0.57,0.03,0.0,0.72,0.94,1.33,0.25亿,6.56亿,34.75亿,--
12,13,831087,秋乐种业,7.29,0.55,0.04,0.14,1.12,0.58,3.17,0.05亿,0.65亿,4.71亿,128.87
13,14,000998,隆平高科,17.35,0.41,0.07,-0.17,0.7,0.91,1.85,1.59亿,12.96亿,224.85亿,--
14,15,600811,东方集团,2.52,0.4,0.01,0.0,0.48,1.72,1.59,0.44亿,36.59亿,92.21亿,--
15,16,600506,香梨股份,11.83,0.34,0.04,0.17,0.59,0.97,1.02,0.10亿,1.48亿,17.47亿,--
16,17,600543,莫高股份,6.04,0.33,0.02,-0.17,0.86,0.97,1.16,0.17亿,3.21亿,19.40亿,--
17,18,002041,登海种业,20.09,0.3,0.06,-0.05,0.23,0.62,0.6,0.40亿,8.80亿,176.79亿,118.05
18,19,600737,中粮糖业,7.35,0.27,0.02,0.0,0.21,1.0,0.82,0.33亿,21.39亿,157.21亿,15.56
19,20,300189,神农科技,4.2,0.24,0.01,0.0,1.03,0.77,0.95,0.42亿,9.63亿,40.45亿,--
20,21,000713,丰乐种业,9.08,0.22,0.02,-0.11,1.34,0.92,1.32,0.75亿,6.14亿,55.75亿,898.25
21,22,600596,新安股份,16.26,0.18,0.03,-0.06,0.41,0.86,0.62,0.68亿,10.29亿,167.36亿,4.87
22,23,600057,厦门象屿,11.29,0.18,0.02,0.0,0.12,0.94,1.6,0.30亿,21.42亿,241.79亿,8.78
23,24,002539,云图控股,12.05,0.17,0.02,0.0,0.36,0.73,0.75,0.30亿,6.88亿,82.86亿,8.38
24,25,601952,苏垦农发,12.46,0.16,0.02,-0.08,0.22,0.78,0.56,0.38亿,13.78亿,171.70亿,20.58
25,26,600598,北大荒,14.2,0.14,0.02,0.0,0.3,0.87,0.56,0.75亿,17.78亿,252.43亿,14.70
26,27,600359,新农开发,8.84,0.11,0.01,-0.11,0.81,0.57,0.68,0.27亿,3.82亿,33.73亿,43.40
27,28,002999,天禾股份,9.68,0.1,0.01,-0.1,1.94,0.73,0.93,0.41亿,2.18亿,21.08亿,28.16
28,29,600313,农发种业,10.86,0.09,0.01,0.0,1.67,0.85,1.48,1.92亿,10.67亿,115.88亿,122.55
29,30,002385,大北农,8.29,0.0,0.0,-0.12,1.27,0.93,0.96,3.47亿,32.94亿,273.11亿,--
30,31,002582,好想你,7.9,0.0,0.0,-0.13,1.35,1.0,1.27,0.36亿,3.40亿,26.86亿,--
31,32,300237,美晨生态,2.37,0.0,0.0,0.0,0.76,1.74,1.69,0.26亿,14.38亿,34.09亿,--
32,33,002419,天虹股份,6.34,0.0,0.0,0.0,0.34,0.88,0.79,0.25亿,11.69亿,74.08亿,48.49
33,34,002758,浙农股份,15.31,0.0,0.0,0.07,1.94,1.04,1.18,0.57亿,1.92亿,29.42亿,14.07
34,35,300829,金丹科技,24.27,-0.12,-0.03,-0.08,0.69,1.15,1.19,0.17亿,1.03亿,25.00亿,30.46
35,36,002215,诺普信,6.72,-0.15,-0.01,0.0,1.91,0.62,2.97,1.02亿,7.91亿,53.14亿,16.63
36,37,600371,万向德农,13.64,-0.22,-0.03,0.0,0.89,0.63,0.73,0.35亿,2.93亿,39.91亿,54.20
37,38,300138,晨光生物,18.12,-0.22,-0.04,-0.11,0.12,0.53,0.55,0.10亿,4.27亿,77.39亿,21.50
38,39,300087,荃银高科,16.67,-0.24,-0.04,-0.06,0.98,0.93,1.62,1.05亿,6.39亿,106.55亿,223.66
39,40,000626,远大控股,10.16,-0.39,-0.04,0.1,0.23,1.02,1.08,0.12亿,5.00亿,50.82亿,32.03
40,41,002772,众兴菌业,9.23,-0.43,-0.04,-0.11,0.81,0.6,0.65,0.30亿,4.03亿,37.19亿,23.83
41,42,300970,华绿生物,19.98,-0.5,-0.1,-0.05,1.52,0.89,2.09,0.21亿,0.68亿,13.65亿,26.13
42,43,000833,粤桂股份,7.55,-0.53,-0.04,-0.13,1.19,1.03,1.45,0.34亿,3.78亿,28.55亿,11.52
43,44,300511,雪榕生物,7.14,-0.83,-0.06,0.0,1.57,1.15,1.81,0.46亿,4.04亿,28.88亿,432.29
