,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000903,云内动力,2.78,1.09,0.03,0.0,0.28,2.01,1.46,0.15亿,19.20亿,53.38亿,--
1,2,002747,埃斯顿,26.07,0.77,0.2,-0.12,0.83,1.6,1.85,1.69亿,7.84亿,204.45亿,141.31
2,3,300022,吉峰科技,5.3,0.57,0.03,0.0,2.74,1.51,2.66,0.51亿,3.48亿,18.45亿,480.21
3,4,003033,征和工业,47.71,0.48,0.23,-0.38,0.88,2.08,2.36,0.10亿,0.24亿,11.49亿,23.83
4,5,600805,悦达投资,4.73,0.21,0.01,0.0,0.19,0.68,1.06,0.08亿,8.50亿,40.22亿,14.73
5,6,002448,中原内配,5.96,0.17,0.01,0.0,0.52,0.94,0.67,0.15亿,4.72亿,28.16亿,18.46
6,7,000528,柳工,6.6,0.15,0.01,0.0,0.58,0.79,1.21,0.37亿,9.59亿,63.29亿,16.51
7,8,603789,星光农机,9.39,0.11,0.01,0.0,0.54,0.78,1.17,0.13亿,2.60亿,24.41亿,--
8,9,600099,林海股份,9.64,0.1,0.01,0.1,0.39,0.71,1.04,0.08亿,2.19亿,21.12亿,192.07
9,10,000816,智慧农业,4.05,0.0,0.0,-0.25,1.44,0.58,0.74,0.79亿,13.51亿,54.72亿,158.22
10,11,603090,宏盛股份,34.99,-0.03,-0.01,0.03,0.19,0.6,1.34,0.07亿,1.00亿,34.99亿,66.88
11,12,603029,天鹅股份,26.09,-0.04,-0.01,0.15,2.51,0.9,2.6,0.79亿,1.21亿,31.66亿,187.99
12,13,001696,宗申动力,7.16,-0.14,-0.01,0.14,0.36,0.83,1.25,0.23亿,8.79亿,62.95亿,15.56
13,14,002921,联诚精密,15.51,-0.19,-0.03,0.07,0.76,0.8,1.03,0.13亿,1.08亿,16.71亿,54.55
14,15,603767,中马传动,8.1,-0.25,-0.02,0.12,0.36,1.07,1.11,0.09亿,3.07亿,24.90亿,40.23
15,16,601038,一拖股份,12.37,-0.32,-0.04,0.16,0.51,0.72,1.69,0.37亿,5.94亿,73.47亿,11.49
16,17,603766,隆鑫通用,5.45,-0.37,-0.02,-0.18,0.25,0.93,1.28,0.28亿,20.54亿,111.92亿,10.57
17,18,301125,腾亚精工,26.25,-0.46,-0.12,-0.15,2.31,0.94,0.87,0.11亿,0.18亿,4.75亿,36.73
18,19,002420,毅昌科技,7.64,-0.52,-0.04,-0.13,1.39,0.58,1.04,0.41亿,3.90亿,29.78亿,54.32
19,20,000338,潍柴动力,12.37,-0.56,-0.07,0.16,0.24,0.5,1.12,1.48亿,50.49亿,624.53亿,24.45
20,21,301032,新柴股份,8.71,-0.68,-0.06,0.0,0.59,0.79,1.82,0.05亿,0.92亿,8.04亿,204.69
21,22,300045,华力创通,8.07,-0.86,-0.07,0.12,1.76,0.77,1.6,0.70亿,4.93亿,39.77亿,--
22,23,000570,苏常柴A,5.59,-0.89,-0.05,-0.18,0.77,0.9,1.42,0.22亿,4.99亿,27.89亿,21.79
23,24,600218,全柴动力,9.51,-1.04,-0.1,-0.42,0.67,1.04,1.87,0.26亿,4.13亿,39.24亿,39.30
24,25,603949,雪龙集团,18.87,-1.1,-0.21,-0.11,3.27,0.94,1.78,0.33亿,0.52亿,9.90亿,82.23
25,26,300879,大叶股份,18.66,-1.17,-0.22,0.0,1.61,1.37,1.96,0.17亿,0.55亿,10.26亿,34.05
26,27,300159,ST新研,3.13,-1.26,-0.04,-0.32,0.86,0.67,2.21,0.38亿,14.20亿,44.46亿,210.20
27,28,603701,德宏股份,19.49,-1.32,-0.26,-0.1,0.81,0.56,1.72,0.41亿,2.61亿,50.94亿,313.43
28,29,000157,中联重科,6.42,-1.38,-0.09,-0.16,0.37,0.68,1.84,1.66亿,70.69亿,453.81亿,19.27
29,30,002890,弘宇股份,19.64,-1.46,-0.29,0.15,0.53,0.97,2.21,0.08亿,0.72亿,14.15亿,86.98
30,31,603109,神驰机电,16.69,-1.53,-0.26,0.18,0.79,1.59,2.42,0.27亿,2.07亿,34.55亿,19.38
31,32,301107,瑜欣电子,31.45,-2.33,-0.75,0.0,4.6,1.02,3.17,0.27亿,0.18亿,5.78亿,30.91
32,33,002383,合众思壮,8.11,-2.76,-0.23,0.0,4.31,2.5,2.76,2.00亿,5.71亿,46.30亿,264.1
33,34,002150,通润装备,27.99,-5.6,-1.66,0.0,7.1,2.7,10.35,7.24亿,3.55亿,99.41亿,60.3
