,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300133,华策影视,5.78,5.86,0.32,-0.35,2.89,3.37,7.14,2.66亿,16.18亿,93.55亿,27.38
1,2,600158,中体产业,9.21,1.43,0.13,0.22,1.81,1.97,2.31,1.19亿,7.22亿,66.50亿,--
2,3,000002,万科A,17.55,1.21,0.21,0.06,0.43,1.64,2.08,7.33亿,97.17亿,1705.40亿,8.98
3,4,600655,豫园股份,7.85,0.64,0.05,-0.13,0.05,0.63,0.77,0.15亿,38.88亿,305.95亿,25.48
4,5,000069,华侨城A,5.48,0.55,0.03,0.0,0.19,0.57,1.65,0.73亿,70.56亿,386.69亿,267.46
5,6,300005,探路者,7.82,0.51,0.04,0.0,0.21,0.85,1.03,0.14亿,8.84亿,69.11亿,457.02
6,7,002701,奥瑞金,5.12,0.39,0.02,0.0,0.17,0.63,0.78,0.22亿,25.71亿,131.63亿,18.18
7,8,002899,英派斯,14.4,0.28,0.04,-0.07,0.51,0.68,0.97,0.09亿,1.20亿,17.28亿,43.80
8,9,000530,冰山冷热,4.9,0.2,0.01,0.2,0.78,1.17,1.02,0.23亿,5.98亿,29.31亿,385.99
9,10,000811,冰轮环境,13.09,0.15,0.02,0.23,0.57,1.03,2.14,0.55亿,7.46亿,97.63亿,22.23
10,11,603555,贵人鸟,3.55,0.0,0.0,0.0,0.27,0.98,0.84,0.15亿,15.72亿,55.79亿,--
11,12,301058,中粮科工,15.47,0.0,0.0,-0.26,0.78,0.59,1.03,0.25亿,2.03亿,31.47亿,61.99
12,13,002780,三夫户外,12.68,-0.08,-0.01,-0.08,0.93,0.98,0.79,0.15亿,1.31亿,16.57亿,--
13,14,002659,凯文教育,5.11,-0.39,-0.02,-0.39,3.85,0.78,1.95,1.15亿,5.88亿,30.06亿,--
14,15,002639,雪人股份,9.35,-0.64,-0.06,0.11,1.79,0.94,1.17,1.09亿,6.51亿,60.83亿,446.16
15,16,002523,天桥起重,3.32,-0.9,-0.03,-0.6,0.79,1.25,1.79,0.37亿,13.98亿,46.42亿,100.34
16,17,300472,新元科技,13.04,-1.06,-0.14,-0.08,1.75,1.03,1.9,0.58亿,2.51亿,32.78亿,72.88
