,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,600690,海尔智家,26.69,1.64,0.43,0.08,0.16,1.2,2.06,2.74亿,63.09亿,1683.75亿,16.21
1,2,300070,碧水源,5.08,0.79,0.04,0.0,0.42,1.14,1.19,0.59亿,27.27亿,138.52亿,634.82
2,3,002035,华帝股份,6.2,0.32,0.02,0.0,0.8,0.68,1.13,0.37亿,7.55亿,46.80亿,14.05
3,4,600336,澳柯玛,6.31,0.32,0.02,0.0,0.41,0.83,0.8,0.21亿,7.98亿,50.35亿,24.85
4,5,300262,巴安水务,2.88,0.0,0.0,-0.35,0.39,0.95,1.04,0.06亿,5.25亿,15.13亿,--
5,6,300334,津膜科技,6.91,0.0,0.0,-0.15,0.38,1.01,1.74,0.08亿,3.02亿,20.87亿,--
6,7,600539,狮头股份,7.07,-0.14,-0.01,-0.14,0.4,0.7,0.85,0.07亿,2.30亿,16.26亿,521.40
7,8,300272,开能健康,5.97,-0.17,-0.01,-0.17,0.74,1.0,1.17,0.18亿,4.11亿,24.54亿,28.84
8,9,603408,建霖家居,11.92,-0.17,-0.02,0.0,0.63,1.01,1.09,0.09亿,1.16亿,13.83亿,11.24
9,10,300335,迪森股份,5.17,-0.39,-0.02,0.0,1.29,0.78,0.77,0.26亿,3.96亿,20.48亿,184.20
10,11,300899,上海凯鑫,22.84,-0.61,-0.14,-0.09,0.98,0.91,0.96,0.07亿,0.32亿,7.27亿,78.81
11,12,688101,三达膜,14.68,-0.68,-0.1,-0.07,0.28,1.24,1.49,0.14亿,3.34亿,49.01亿,19.13
12,13,002543,万和电气,9.52,-0.73,-0.07,-0.11,0.68,0.93,1.25,0.41亿,6.31亿,60.06亿,9.75
13,14,000920,沃顿科技,10.0,-0.79,-0.08,0.1,0.93,1.09,1.19,0.39亿,4.22亿,42.20亿,33.17
14,15,002242,九阳股份,19.51,-0.96,-0.19,0.0,0.18,0.4,1.32,0.27亿,7.66亿,149.38亿,22.24
15,16,301092,争光股份,31.32,-1.29,-0.41,0.22,2.51,0.76,2.02,0.28亿,0.35亿,11.12亿,20.56
