,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300086,康芝药业,7.16,5.92,0.4,0.14,10.55,5.82,9.17,3.26亿,4.36亿,31.19亿,--
1,2,300518,盛讯达,46.69,2.89,1.31,-0.02,0.89,1.52,4.21,0.56亿,1.37亿,63.74亿,--
2,3,300374,中铁装配,14.39,2.42,0.34,-0.07,4.38,1.9,2.92,1.19亿,1.89亿,27.22亿,--
3,4,300442,润泽科技,55.6,2.41,1.31,0.18,5.97,2.98,5.62,2.21亿,0.66亿,36.63亿,48.47
4,5,300562,乐心医疗,10.67,2.4,0.26,-0.09,5.08,3.1,3.36,0.78亿,1.44亿,15.35亿,192.45
5,6,300030,阳普医疗,7.28,2.39,0.17,0.0,1.89,3.91,2.95,0.37亿,2.68亿,19.54亿,--
6,7,300356,*ST光一,4.86,2.32,0.11,0.21,0.65,1.05,3.79,0.12亿,3.92亿,19.05亿,--
7,8,300547,川环科技,18.86,2.17,0.4,-0.11,1.42,1.92,4.5,0.47亿,1.77亿,33.34亿,36.21
8,9,300049,福瑞股份,28.66,2.07,0.58,0.74,1.44,1.35,3.7,0.94亿,2.31亿,66.11亿,93.06
9,10,300479,神思电子,25.64,1.99,0.5,-0.58,13.59,1.91,8.43,6.97亿,1.97亿,50.52亿,--
10,11,300329,海伦钢琴,7.81,1.96,0.15,0.64,1.65,1.87,2.74,0.32亿,2.52亿,19.69亿,183.34
11,12,300286,安科瑞,45.95,1.89,0.85,0.48,0.68,1.27,5.88,0.53亿,1.75亿,80.25亿,53.42
12,13,300084,海默科技,6.41,1.75,0.11,0.0,3.61,1.38,3.97,0.77亿,3.30亿,21.14亿,--
13,14,300063,天龙集团,4.35,1.64,0.07,0.23,5.39,1.92,3.74,1.46亿,6.20亿,26.96亿,28.31
14,15,300051,三五互联,13.13,1.62,0.21,0.15,2.33,0.94,3.95,1.11亿,3.66亿,48.01亿,--
15,16,300556,丝路视觉,21.89,1.58,0.34,0.41,5.73,1.31,3.62,1.19亿,0.95亿,20.83亿,129.12
16,17,300167,迪威迅,5.82,1.57,0.09,0.0,2.56,0.96,3.32,0.46亿,3.11亿,18.09亿,--
17,18,300242,佳云科技,3.89,1.57,0.06,0.0,1.72,1.25,3.39,0.42亿,6.27亿,24.40亿,57.16
18,19,300484,蓝海华腾,16.5,1.41,0.23,0.37,7.92,1.38,5.35,2.09亿,1.60亿,26.43亿,41.23
19,20,300631,久吾高科,34.47,1.38,0.47,0.15,1.3,1.24,2.15,0.54亿,1.21亿,41.60亿,167.66
20,21,300700,岱勒新材,37.74,1.29,0.48,0.16,1.52,1.33,3.44,0.52亿,0.92亿,34.77亿,47.56
21,22,300295,三六五网,10.83,1.22,0.13,0.0,2.8,0.96,2.71,0.50亿,1.66亿,17.97亿,104.90
22,23,300606,金太阳,15.3,1.19,0.18,0.0,7.8,3.12,5.82,1.40亿,1.16亿,17.78亿,74.16
23,24,300645,正元智慧,29.89,1.19,0.35,0.0,0.89,1.94,3.28,0.36亿,1.38亿,41.23亿,105.47
24,25,300528,幸福蓝海,7.73,1.18,0.09,-0.13,0.74,1.34,2.75,0.21亿,3.73亿,28.80亿,--
25,26,300391,康跃科技,10.44,1.06,0.11,0.0,1.07,2.27,2.23,0.39亿,3.50亿,36.58亿,100.02
26,27,300591,万里马,5.32,0.95,0.05,-0.38,1.17,1.38,2.09,0.19亿,3.08亿,16.39亿,--
27,28,300074,华平股份,4.35,0.93,0.04,-0.23,1.48,1.64,2.55,0.34亿,5.31亿,23.08亿,--
28,29,300163,先锋新材,3.51,0.86,0.03,0.0,1.43,1.69,3.16,0.24亿,4.74亿,16.62亿,210.87
29,30,300254,仟源医药,7.28,0.83,0.06,-0.27,3.58,2.27,2.77,0.59亿,2.24亿,16.31亿,--
30,31,300426,唐德影视,7.61,0.8,0.06,0.13,0.37,1.1,1.59,0.11亿,3.97亿,30.21亿,--
31,32,300161,华中数控,28.32,0.78,0.22,0.21,1.69,1.12,3.95,0.80亿,1.69亿,47.75亿,--
32,33,300246,宝莱特,15.7,0.77,0.12,0.0,1.1,1.61,1.28,0.24亿,1.39亿,21.76亿,202.74
33,34,300235,方直科技,13.11,0.77,0.1,0.0,4.33,0.75,2.38,0.76亿,1.34亿,17.60亿,59.70
34,35,300126,锐奇股份,6.57,0.77,0.05,0.15,0.65,1.3,1.84,0.09亿,2.11亿,13.84亿,111.32
35,36,300022,吉峰科技,5.31,0.76,0.04,0.0,2.8,1.3,2.66,0.52亿,3.48亿,18.48亿,481.12
36,37,300200,高盟新材,8.14,0.74,0.06,0.0,0.3,1.28,1.24,0.10亿,4.16亿,33.90亿,23.98
37,38,300519,新光药业,17.29,0.58,0.1,0.17,1.31,1.7,1.45,0.26亿,1.14亿,19.73亿,23.21
38,39,300240,飞力达,7.7,0.52,0.04,-0.13,0.56,1.13,1.04,0.15亿,3.62亿,27.89亿,21.41
39,40,300688,创业黑马,19.56,0.51,0.1,-0.1,2.3,1.01,1.03,0.61亿,1.36亿,26.52亿,--
40,41,300150,世纪瑞尔,4.11,0.49,0.02,-0.24,0.56,1.18,1.71,0.12亿,5.12亿,21.03亿,--
41,42,300517,海波重科,14.77,0.48,0.07,0.0,0.6,0.97,1.36,0.11亿,1.24亿,18.31亿,51.47
42,43,300412,迦南科技,6.43,0.47,0.03,0.16,1.54,1.47,1.56,0.47亿,4.72亿,30.38亿,63.25
43,44,300419,浩丰科技,6.68,0.45,0.03,0.0,1.73,1.36,2.26,0.42亿,3.68亿,24.57亿,156.11
44,45,300730,科创信息,13.9,0.43,0.06,0.07,5.8,1.49,3.69,1.39亿,1.76亿,24.40亿,--
45,46,300557,理工光科,35.35,0.43,0.15,0.14,0.54,1.11,1.71,0.12亿,0.65亿,23.06亿,121.99
46,47,300644,南京聚隆,17.0,0.41,0.07,0.06,0.81,1.13,1.24,0.12亿,0.85亿,14.45亿,47.83
