,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002425,凯撒文化,5.89,10.09,0.54,0.0,3.32,1.81,10.09,1.83亿,9.56亿,56.31亿,--
1,2,002722,物产金轮,18.66,10.02,1.7,0.0,17.31,2.48,10.61,5.47亿,1.75亿,32.74亿,38.63
2,3,002131,利欧股份,2.16,8.54,0.17,0.47,8.82,3.7,10.55,10.91亿,58.35亿,126.03亿,--
3,4,002555,三七互娱,24.06,7.84,1.75,-0.17,3.08,3.94,7.71,11.85亿,16.36亿,393.51亿,17.73
4,5,600095,湘财股份,9.87,5.45,0.51,0.0,8.62,3.85,9.19,9.48亿,11.30亿,111.55亿,--
5,6,300494,盛天网络,17.96,4.91,0.84,0.06,6.92,3.28,6.72,2.59亿,2.11亿,37.96亿,19.24
6,7,002955,鸿合科技,28.6,4.68,1.28,0.63,3.89,3.56,5.34,2.03亿,1.86亿,53.12亿,13.07
7,8,300199,翰宇药业,13.54,4.47,0.58,0.37,7.49,2.85,5.48,6.60亿,6.66亿,90.18亿,--
8,9,600282,南钢股份,3.97,4.2,0.16,0.25,1.48,0.92,4.99,2.59亿,44.67亿,177.34亿,8.84
9,10,603566,普莱柯,32.3,4.19,1.3,0.0,0.88,1.37,5.64,0.91亿,3.21亿,103.84亿,64.35
10,11,002148,北纬科技,6.77,4.15,0.27,0.0,10.5,1.83,8.62,3.18亿,4.52亿,30.58亿,166.69
11,12,300148,天舟文化,3.8,3.83,0.14,0.0,9.34,4.33,6.28,2.75亿,7.75亿,29.47亿,228.76
12,13,002649,博彦科技,15.93,3.78,0.58,0.13,14.01,1.7,9.77,11.50亿,5.24亿,83.48亿,25.39
13,14,600100,同方股份,5.89,3.52,0.2,-0.51,3.0,2.18,6.33,5.15亿,29.64亿,174.57亿,--
14,15,301066,万事利,13.64,3.49,0.46,-0.07,3.92,1.39,4.1,0.38亿,0.72亿,9.83亿,128.15
15,16,000753,漳州发展,4.6,3.37,0.15,0.0,1.89,3.19,4.49,0.86亿,9.91亿,45.61亿,43.35
16,17,300485,赛升药业,13.15,3.3,0.42,0.31,4.07,2.83,3.3,1.43亿,2.70亿,35.54亿,18.80
17,18,300418,昆仑万维,26.03,3.29,0.83,0.15,9.68,1.38,8.81,26.57亿,10.74亿,279.46亿,29.34
18,19,600825,新华传媒,5.04,3.28,0.16,0.2,12.74,9.99,10.86,6.85亿,10.45亿,52.66亿,--
19,20,002558,巨人网络,10.96,3.2,0.34,0.27,1.84,2.45,6.87,4.03亿,20.05亿,219.74亿,21.25
20,21,002945,华林证券,14.76,3.0,0.43,0.0,0.85,3.59,4.26,3.39亿,27.00亿,398.52亿,68.39
21,22,603596,伯特利,76.72,2.99,2.23,-0.36,1.43,1.97,5.32,4.47亿,4.10亿,314.58亿,49.56
22,23,300356,*ST光一,4.89,2.95,0.14,0.0,0.72,0.99,3.79,0.14亿,3.92亿,19.17亿,--
23,24,002605,姚记科技,17.07,2.89,0.48,-0.06,1.97,1.93,4.34,1.10亿,3.28亿,55.96亿,17.98
24,25,600790,轻纺城,4.63,2.89,0.13,0.0,0.78,2.79,2.89,0.52亿,14.66亿,67.87亿,7.45
25,26,605136,丽人丽妆,13.6,2.64,0.35,0.15,3.62,2.53,3.47,0.96亿,1.96亿,26.67亿,--
26,27,300467,迅游科技,14.95,2.4,0.35,-0.2,3.56,1.96,4.59,0.86亿,1.63亿,24.31亿,1006.47
27,28,600892,大晟文化,5.64,2.36,0.13,0.36,2.0,2.17,4.36,0.63亿,5.59亿,31.55亿,115.00
28,29,002699,ST美盛,3.59,2.28,0.08,-0.28,4.49,1.98,3.13,1.46亿,9.09亿,32.65亿,15.89
29,30,002906,华阳集团,36.51,2.21,0.79,0.03,0.94,1.46,3.02,1.62亿,4.75亿,173.41亿,48.82
30,31,000919,金陵药业,8.45,2.05,0.17,0.0,1.6,2.54,2.42,0.68亿,5.04亿,42.55亿,34.85
31,32,600198,大唐电信,7.2,1.98,0.14,0.0,1.05,1.54,3.12,0.66亿,8.80亿,63.39亿,--
32,33,000793,华闻集团,2.7,1.89,0.05,0.37,3.2,1.59,4.15,1.68亿,19.61亿,52.95亿,--
33,34,000987,越秀资本,6.67,1.83,0.12,0.15,0.24,1.75,2.14,0.79亿,50.17亿,334.61亿,13.34
34,35,002152,广电运通,11.24,1.81,0.2,0.54,1.19,2.08,3.08,3.26亿,24.82亿,278.99亿,31.37
35,36,600981,汇鸿集团,2.85,1.79,0.05,0.0,0.49,2.31,2.86,0.31亿,22.42亿,63.91亿,--
36,37,000917,电广传媒,5.72,1.78,0.1,0.18,0.88,1.84,2.31,0.70亿,14.17亿,81.07亿,72.70
37,38,002194,武汉凡谷,11.04,1.75,0.19,0.09,5.25,2.6,6.45,2.91亿,5.06亿,55.83亿,22.58
38,39,002867,周大生,15.96,1.72,0.27,0.19,0.38,1.04,3.06,0.65亿,10.84亿,172.94亿,14.10
39,40,600730,中国高科,6.87,1.63,0.11,-0.15,1.54,1.62,2.37,0.62亿,5.87亿,40.30亿,353.66
40,41,300074,华平股份,4.38,1.62,0.07,0.46,1.71,1.6,2.55,0.39亿,5.31亿,23.24亿,--
41,42,000948,南天信息,24.7,1.56,0.38,0.16,6.74,1.78,5.1,5.50亿,3.35亿,82.62亿,149.94
42,43,601107,四川成渝,3.93,1.55,0.06,0.0,0.18,2.16,1.81,0.16亿,21.63亿,85.00亿,14.03
43,44,002407,多氟多,38.18,1.54,0.58,0.08,2.26,1.44,2.42,5.90亿,6.84亿,261.17亿,12.68
44,45,002154,报喜鸟,4.67,1.52,0.07,-0.21,0.55,0.69,2.61,0.28亿,11.14亿,52.03亿,13.29
45,46,002315,焦点科技,20.48,1.49,0.3,0.15,4.41,1.5,3.72,1.72亿,1.91亿,39.18亿,19.81
46,47,000558,莱茵体育,2.87,1.41,0.04,0.0,0.77,1.34,1.41,0.28亿,12.89亿,36.98亿,--
47,48,600864,哈投股份,5.09,1.39,0.07,0.0,0.49,1.68,2.39,0.52亿,20.81亿,105.90亿,--
48,49,300015,爱尔眼科,33.03,1.38,0.45,0.12,0.2,0.93,2.46,3.76亿,58.03亿,1916.74亿,75.42
49,50,600250,南纺股份,6.03,1.34,0.08,0.17,0.76,1.08,1.34,0.13亿,2.84亿,17.13亿,--
50,51,000607,华媒控股,6.05,1.34,0.08,0.17,7.32,2.1,4.69,3.93亿,8.85亿,53.54亿,83.39
51,52,300238,冠昊生物,11.62,1.31,0.15,0.09,1.43,1.63,2.18,0.44亿,2.65亿,30.81亿,--
52,53,300031,宝通科技,16.37,1.3,0.21,-0.24,6.13,2.68,4.33,3.50亿,3.45亿,56.51亿,50.19
53,54,001236,弘业期货,17.08,1.25,0.21,0.06,11.71,1.27,2.49,2.01亿,1.01亿,17.21亿,447.68
54,55,601801,皖新传媒,5.74,1.24,0.07,0.0,0.4,1.12,2.65,0.45亿,19.89亿,114.18亿,10.30
55,56,600410,华胜天成,6.6,1.23,0.08,1.85,9.37,5.0,4.91,6.70亿,10.96亿,72.37亿,--
56,57,600053,九鼎投资,16.17,1.19,0.19,0.0,0.39,1.11,1.44,0.27亿,4.34亿,70.10亿,46.99
57,58,000806,*ST银河,1.73,1.17,0.02,0.0,0.67,1.28,4.09,0.08亿,6.99亿,12.10亿,--
58,59,600621,华鑫股份,12.37,1.15,0.14,0.0,1.21,1.01,1.72,1.58亿,10.61亿,131.23亿,40.29
59,60,603590,康辰药业,28.35,1.14,0.32,0.07,0.35,1.62,1.71,0.16亿,1.60亿,45.36亿,32.82
60,61,600082,海泰发展,3.6,1.12,0.04,0.0,0.95,1.57,1.97,0.21亿,6.34亿,22.84亿,--
61,62,002076,*ST雪莱,2.79,1.09,0.03,0.0,1.18,0.93,2.17,0.36亿,10.97亿,30.60亿,--
62,63,002187,广百股份,7.52,1.07,0.08,-0.13,0.73,1.12,1.75,0.28亿,5.17亿,38.89亿,--
63,64,300997,欢乐家,13.66,1.04,0.14,-0.07,4.81,1.57,2.96,0.58亿,0.90亿,12.29亿,39.19
64,65,600641,万业企业,19.58,1.03,0.2,-0.1,1.55,1.88,3.1,2.83亿,9.31亿,182.22亿,260.02
65,66,300295,三六五网,10.81,1.03,0.11,-0.09,3.0,0.86,2.71,0.53亿,1.66亿,17.93亿,104.70
66,67,002038,双鹭药业,9.04,1.01,0.09,0.0,0.55,1.18,1.79,0.43亿,8.51亿,76.97亿,29.27
67,68,002432,九安医疗,51.72,1.0,0.51,0.08,1.17,1.33,1.62,2.89亿,4.81亿,249.01亿,1.16
