,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300404,博济医药,10.99,10.12,1.01,0.18,9.01,5.75,10.22,2.55亿,2.69亿,29.61亿,141.95
1,2,000999,华润三九,52.58,5.56,2.77,-0.42,0.73,5.35,6.4,3.71亿,9.78亿,514.44亿,19.96
2,3,002603,以岭药业,30.87,5.21,1.53,-0.96,6.34,9.62,7.43,26.48亿,13.76亿,424.91亿,27.36
3,4,002435,长江健康,5.74,4.55,0.25,0.18,1.48,4.6,4.73,1.00亿,12.03亿,69.15亿,49.66
4,5,603998,方盛制药,10.62,4.53,0.46,-1.12,5.73,3.88,7.68,2.57亿,4.29亿,45.61亿,13.49
5,6,688131,皓元医药,127.52,4.27,5.22,-0.36,1.19,3.87,6.39,0.91亿,0.60亿,76.99亿,64.82
6,7,002873,新天药业,16.37,4.14,0.65,-0.79,4.05,5.39,6.81,1.47亿,2.22亿,36.37亿,27.14
7,8,300158,振东制药,7.51,3.44,0.25,-0.66,5.12,4.64,4.82,3.89亿,10.24亿,76.91亿,233.88
8,9,300683,海特生物,40.82,3.21,1.27,-0.2,0.71,3.84,4.12,0.32亿,1.13亿,45.95亿,212.91
9,10,600572,康恩贝,4.99,2.67,0.13,-0.2,1.12,5.17,2.88,1.43亿,25.63亿,127.91亿,41.94
10,11,688566,吉贝尔,24.01,2.56,0.6,-1.28,1.4,4.78,7.05,0.28亿,0.81亿,19.38亿,42.47
11,12,300147,香雪制药,6.07,2.53,0.15,-0.33,3.62,7.89,3.38,1.44亿,6.56亿,39.83亿,--
12,13,000739,普洛药业,23.66,2.34,0.54,-0.34,0.16,1.22,2.85,0.44亿,11.78亿,278.74亿,31.82
13,14,600535,天士力,12.55,2.03,0.25,0.24,0.44,3.14,2.68,0.82亿,15.00亿,188.21亿,--
14,15,688658,悦康药业,20.5,1.94,0.39,0.0,0.86,2.73,1.74,0.36亿,2.05亿,41.94亿,20.62
15,16,002424,贵州百灵,8.51,1.91,0.16,-0.23,3.14,4.27,2.99,3.20亿,12.01亿,102.30亿,90.00
16,17,002773,康弘药业,17.86,1.82,0.32,-0.56,0.58,4.26,2.45,0.71亿,6.91亿,123.35亿,16.32
17,18,603127,昭衍新药,58.68,1.79,1.03,-0.26,0.88,3.13,2.83,2.31亿,4.50亿,264.16亿,37.30
18,19,300199,翰宇药业,13.18,1.7,0.22,-0.53,4.94,4.42,3.55,4.34亿,6.66亿,87.78亿,--
19,20,002750,龙津药业,12.0,1.7,0.2,-0.74,2.15,3.63,3.81,1.02亿,3.98亿,47.78亿,--
20,21,300584,海辰药业,28.59,1.67,0.47,-0.24,2.88,3.54,2.38,0.52亿,0.64亿,18.31亿,128.13
21,22,300363,博腾股份,47.12,1.64,0.76,-0.09,1.06,2.49,1.77,2.49亿,5.00亿,235.48亿,12.23
22,23,600332,白云山,30.69,1.59,0.48,0.13,0.32,3.44,1.75,1.37亿,14.06亿,431.47亿,10.77
23,24,600351,亚宝药业,6.47,1.57,0.1,-0.15,0.79,2.45,1.57,0.39亿,7.70亿,49.82亿,34.97
24,25,688189,南新制药,15.86,1.54,0.24,-0.19,1.61,3.19,2.62,0.36亿,1.40亿,22.20亿,160.63
25,26,300254,仟源医药,7.33,1.52,0.11,-0.14,2.72,3.41,2.77,0.44亿,2.24亿,16.42亿,--
26,27,300026,红日药业,6.69,1.52,0.1,-0.74,1.46,4.19,3.04,2.65亿,26.99亿,180.55亿,32.04
27,28,603567,珍宝岛,13.5,1.5,0.2,-0.15,0.25,1.6,1.65,0.32亿,9.42亿,127.17亿,62.13
28,29,002675,东诚药业,18.57,1.48,0.27,-0.27,0.38,1.49,2.46,0.52亿,7.38亿,137.00亿,34.77
29,30,002332,仙琚制药,12.8,1.43,0.18,-0.47,0.38,1.4,3.41,0.47亿,9.78亿,125.20亿,17.94
30,31,300238,冠昊生物,11.63,1.4,0.16,-0.43,1.17,3.14,2.18,0.36亿,2.65亿,30.84亿,--
31,32,300436,广生堂,38.63,1.39,0.53,-0.31,1.16,2.51,1.89,0.60亿,1.33亿,51.48亿,--
32,33,300255,常山药业,5.89,1.38,0.08,-0.51,0.29,2.56,1.89,0.16亿,9.32亿,54.88亿,61.38
33,34,002317,众生药业,23.15,1.36,0.31,-0.34,2.84,3.08,3.28,4.63亿,7.07亿,163.72亿,56.85
34,35,688202,美迪西,196.91,1.34,2.6,0.2,0.71,1.94,2.11,0.83亿,0.59亿,117.03亿,46.21
35,36,688336,三生国健,15.2,1.33,0.2,-0.13,0.45,2.37,1.87,0.06亿,0.93亿,14.10亿,5973.80
36,37,600080,金花股份,8.38,1.33,0.11,-0.12,1.21,3.56,2.06,0.38亿,3.73亿,31.28亿,73.71
37,38,300204,舒泰神,12.52,1.29,0.16,-0.16,1.05,2.73,1.78,0.62亿,4.69亿,58.77亿,--
38,39,000766,通化金马,5.57,1.27,0.07,0.0,0.4,1.95,1.46,0.19亿,8.49亿,47.27亿,323.91
39,40,000908,景峰医药,3.33,1.22,0.04,-0.3,0.82,2.86,1.52,0.21亿,7.82亿,26.04亿,--
40,41,300759,康龙化成,66.66,1.18,0.78,-0.08,0.44,1.43,3.61,2.76亿,9.46亿,630.40亿,61.97
41,42,300149,睿智医药,11.19,1.18,0.13,0.09,0.49,1.6,1.18,0.27亿,4.99亿,55.83亿,4.10
42,43,300233,金城医药,25.03,1.17,0.29,-0.28,1.47,3.08,2.51,1.33亿,3.61亿,90.43亿,28.15
43,44,000806,*ST银河,1.73,1.17,0.02,-1.14,0.52,2.34,4.09,0.06亿,6.99亿,12.10亿,--
