,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300068,南都电源,27.88,4.46,1.19,-0.36,4.24,2.0,6.22,9.68亿,8.34亿,232.57亿,29.74
1,2,002310,东方园林,2.2,2.33,0.05,0.0,1.34,3.23,2.33,0.76亿,26.05亿,57.32亿,--
2,3,000861,海印股份,2.33,1.3,0.03,-0.43,1.12,2.72,3.04,0.62亿,23.68亿,55.18亿,53.70
3,4,600104,上汽集团,15.08,0.87,0.13,0.0,0.1,1.95,1.07,1.73亿,116.83亿,1761.87亿,10.45
4,5,002145,中核钛白,7.68,0.52,0.04,0.0,0.93,0.76,1.83,1.65亿,23.07亿,177.20亿,27.81
5,6,300422,博世科,6.24,0.48,0.03,-0.16,0.32,0.83,1.29,0.08亿,3.84亿,23.96亿,--
6,7,002709,天赐材料,45.98,0.46,0.21,-0.04,0.55,0.92,1.2,3.51亿,13.81亿,635.17亿,15.24
7,8,603686,福龙马,11.63,0.43,0.05,0.0,2.42,0.63,3.54,1.18亿,4.16亿,48.34亿,17.44
8,9,000573,粤宏远A,4.18,0.24,0.01,-0.24,1.8,0.83,1.2,0.48亿,6.33亿,26.46亿,43.01
9,10,002034,旺能环境,19.13,0.21,0.04,0.11,0.19,0.89,0.63,0.15亿,4.27亿,81.62亿,11.41
10,11,002460,赣锋锂业,76.79,0.14,0.11,0.01,0.94,1.04,2.36,8.66亿,12.08亿,927.40亿,7.85
11,12,603569,长久物流,9.85,0.1,0.01,0.0,0.22,0.69,1.52,0.12亿,5.60亿,55.19亿,1367.32
12,13,603799,华友钴业,62.16,0.1,0.06,0.06,0.39,1.03,1.8,3.78亿,15.80亿,982.11亿,24.8
13,14,002340,格林美,7.95,0.0,0.0,0.0,0.38,0.99,0.5,1.53亿,50.75亿,403.45亿,30.44
14,15,300750,宁德时代,448.4,-0.04,-0.2,-0.03,0.21,1.02,2.02,20.20亿,20.92亿,9382.62亿,46.69
15,16,002741,光华科技,22.29,-0.04,-0.01,0.32,1.24,2.49,4.48,0.96亿,3.42亿,76.34亿,62.18
16,17,300618,寒锐钴业,43.75,-0.07,-0.03,-0.02,0.37,0.77,0.75,0.44亿,2.73亿,119.27亿,40.05
17,18,601311,骆驼股份,9.22,-0.11,-0.01,0.11,0.35,0.8,0.76,0.38亿,11.73亿,108.16亿,27.09
18,19,002074,国轩高科,31.4,-0.16,-0.05,0.0,0.65,1.17,1.78,2.51亿,12.39亿,388.90亿,278.95
19,20,300919,中伟股份,73.85,-0.19,-0.14,0.0,0.99,1.19,1.65,1.68亿,2.29亿,168.81亿,34.24
20,21,600386,北巴传媒,4.42,-0.23,-0.01,0.0,0.67,1.31,2.71,0.24亿,8.06亿,35.64亿,74.19
21,22,000546,金圆股份,12.63,-0.24,-0.03,0.0,0.79,1.04,1.26,0.72亿,7.11亿,89.86亿,32.91
22,23,002171,楚江新材,8.13,-0.24,-0.02,0.25,0.39,0.86,0.98,0.41亿,12.98亿,105.54亿,81.31
23,24,301219,腾远钴业,72.75,-0.26,-0.19,-0.01,1.24,0.77,0.84,0.42亿,0.46亿,33.33亿,29.30
24,25,603906,龙蟠科技,25.28,-0.28,-0.07,0.0,0.47,0.88,0.83,0.67亿,5.65亿,142.85亿,15.13
25,26,600500,中化国际,7.14,-0.28,-0.02,0.14,0.45,1.96,1.12,0.87亿,27.25亿,194.55亿,14.92
26,27,600733,北汽蓝谷,6.58,-0.3,-0.02,0.0,0.43,1.05,1.06,1.10亿,39.12亿,257.43亿,--
27,28,002455,百川股份,10.43,-0.38,-0.04,0.1,0.77,0.95,1.34,0.40亿,4.98亿,51.92亿,38.80
28,29,000009,中国宝安,12.88,-0.39,-0.05,0.0,0.4,0.6,1.16,1.32亿,25.51亿,328.62亿,43.29
29,30,301049,超越科技,23.73,-0.42,-0.1,-0.04,1.26,0.64,1.18,0.08亿,0.26亿,6.09亿,219.63
30,31,000155,川能动力,18.03,-0.44,-0.08,-0.11,0.61,1.19,1.6,1.43亿,12.97亿,233.84亿,45.89
31,32,002266,浙富控股,4.16,-0.48,-0.02,0.0,0.24,0.86,0.72,0.32亿,31.97亿,132.98亿,16.06
32,33,002009,天奇股份,16.15,-0.49,-0.08,0.0,0.93,1.07,1.36,0.56亿,3.72亿,60.09亿,22.92
33,34,300837,浙矿股份,45.65,-0.55,-0.25,0.07,0.45,0.79,2.07,0.07亿,0.33亿,15.18亿,24.64
34,35,600884,杉杉股份,18.36,-0.65,-0.12,0.0,0.75,0.68,1.08,2.41亿,17.57亿,322.63亿,14.11
35,36,688779,长远锂科,16.16,-0.68,-0.11,0.06,0.51,1.03,0.92,0.83亿,10.14亿,163.80亿,21.0
36,37,301152,天力锂能,51.9,-0.69,-0.36,-0.04,3.13,1.09,1.42,0.43亿,0.26亿,13.72亿,30.13
37,38,688005,容百科技,75.29,-0.74,-0.56,-0.05,0.48,0.82,1.57,1.02亿,2.80亿,211.16亿,27.73
38,39,300409,道氏技术,16.82,-0.83,-0.14,0.06,1.34,0.99,1.65,1.08亿,4.78亿,80.35亿,48.6
39,40,600549,厦门钨业,22.95,-0.91,-0.21,0.04,1.19,1.5,2.29,3.84亿,14.11亿,323.83亿,22.31
40,41,002733,雄韬股份,20.9,-0.95,-0.2,0.05,3.42,1.08,2.61,2.61亿,3.65亿,76.35亿,57.95
41,42,002466,天齐锂业,87.21,-1.15,-1.01,0.05,1.1,1.8,2.4,14.13亿,14.75亿,1285.99亿,6.72
