,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,000735,罗牛山,8.13,10.01,0.74,0.0,4.9,6.34,9.61,4.45亿,11.51亿,93.57亿,1180.63
1,2,002100,天康生物,9.13,4.58,0.4,0.11,2.78,3.15,5.84,3.39亿,13.54亿,123.65亿,35.95
2,3,603566,普莱柯,32.38,4.45,1.38,-0.12,0.85,1.53,5.64,0.87亿,3.21亿,104.10亿,64.51
3,4,600267,海正药业,11.3,0.8,0.09,-0.09,0.69,1.85,1.52,0.85亿,10.92亿,123.44亿,30.22
4,5,600420,国药现代,10.25,0.79,0.08,0.0,0.57,1.65,2.46,0.60亿,10.27亿,105.27亿,19.17
5,6,600201,生物股份,12.17,0.66,0.08,0.25,0.55,0.51,1.74,0.74亿,11.20亿,136.35亿,48.68
6,7,002688,金河生物,5.55,0.36,0.02,-0.18,0.22,0.96,0.9,0.09亿,7.66亿,42.52亿,31.71
7,8,600195,中牧股份,15.11,0.27,0.04,-0.07,0.29,0.45,1.73,0.45亿,10.21亿,154.30亿,28.90
8,9,603718,海利生物,11.79,0.26,0.03,0.09,0.55,1.36,2.3,0.41亿,6.44亿,75.93亿,125.16
9,10,002385,大北农,8.3,0.12,0.01,0.0,1.51,0.82,0.96,4.11亿,32.94亿,273.44亿,--
10,11,688098,申联生物,8.85,0.11,0.01,0.11,0.2,1.19,1.02,0.07亿,3.88亿,34.35亿,37.67
11,12,300841,康华生物,101.65,-0.07,-0.07,0.12,0.85,1.0,1.72,0.79亿,0.92亿,93.09亿,21.24
12,13,603739,蔚蓝生物,14.53,-0.21,-0.03,0.0,0.16,0.62,1.03,0.06亿,2.52亿,36.68亿,50.74
13,14,300119,瑞普生物,20.32,-0.54,-0.11,0.05,0.23,0.76,1.32,0.15亿,3.26亿,66.21亿,30.61
14,15,002141,贤丰控股,4.7,-0.63,-0.03,0.43,0.39,1.26,1.9,0.21亿,11.35亿,53.33亿,16.09
15,16,688526,科前生物,29.62,-1.99,-0.6,-0.03,0.5,0.42,2.38,0.18亿,1.21亿,35.88亿,36.54
