,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002274,华昌化工,8.73,8.04,0.65,0.12,4.31,10.97,8.42,3.48亿,9.38亿,81.89亿,8.22
1,2,002312,川发龙蟒,11.51,1.95,0.22,0.52,0.83,1.73,2.83,1.27亿,13.48亿,155.12亿,14.67
2,3,000953,河化股份,6.66,1.06,0.07,0.0,0.88,1.24,1.67,0.21亿,3.66亿,24.38亿,--
3,4,600811,东方集团,2.53,0.8,0.02,0.4,0.54,1.25,1.59,0.50亿,36.59亿,92.58亿,--
4,5,600128,弘业股份,8.9,0.68,0.06,0.11,1.26,1.59,1.24,0.28亿,2.47亿,21.96亿,71.78
5,6,002556,辉隆股份,9.03,0.67,0.06,0.0,0.47,0.71,1.11,0.37亿,8.76亿,79.07亿,12.58
6,7,600227,圣济堂,3.07,0.66,0.02,0.33,0.43,1.23,1.31,0.17亿,12.78亿,39.24亿,--
7,8,600691,阳煤化工,3.36,0.6,0.02,0.3,0.16,1.09,1.2,0.12亿,23.76亿,79.82亿,31.26
8,9,000792,盐湖股份,25.91,0.5,0.13,-0.08,0.3,0.9,1.63,4.20亿,54.33亿,1407.64亿,8.74
9,10,000408,藏格矿业,28.13,0.5,0.14,0.04,0.17,0.62,1.04,0.75亿,15.80亿,444.58亿,8.00
10,11,000893,亚钾国际,29.05,0.48,0.14,0.07,0.29,0.63,0.9,0.63亿,7.57亿,219.85亿,13.33
11,12,002783,凯龙股份,9.99,0.4,0.04,0.1,1.05,1.05,1.31,0.35亿,3.33亿,33.26亿,18.47
12,13,300239,东宝生物,7.53,0.4,0.03,0.13,1.02,1.17,1.47,0.40亿,5.14亿,38.71亿,38.19
13,14,000713,丰乐种业,9.09,0.33,0.03,0.11,1.62,0.72,1.32,0.90亿,6.14亿,55.81亿,899.24
14,15,600141,兴发集团,31.04,0.32,0.1,0.03,0.48,0.85,0.94,1.63亿,11.05亿,343.12亿,5.27
15,16,002588,史丹利,6.34,0.32,0.02,-0.16,0.46,0.6,0.63,0.23亿,7.96亿,50.47亿,12.89
16,17,603077,和邦生物,3.26,0.31,0.01,-0.31,0.45,0.7,1.54,1.29亿,88.31亿,287.90亿,6.3
17,18,000552,靖远煤电,3.41,0.29,0.01,-0.29,0.44,0.83,0.88,0.38亿,25.05亿,85.41亿,16.61
18,19,000683,远兴能源,9.14,0.22,0.02,0.11,0.62,1.03,2.63,1.88亿,32.77亿,299.50亿,10.59
19,20,002749,国光股份,9.64,0.21,0.02,0.21,0.15,0.78,1.46,0.06亿,3.99亿,38.49亿,19.23
20,21,000912,泸天化,5.06,0.2,0.01,0.0,0.28,1.01,0.59,0.22亿,15.68亿,79.34亿,17.43
21,22,000902,新洋丰,12.44,0.16,0.02,-0.08,0.77,1.5,1.45,1.14亿,11.85亿,147.47亿,10.13
22,23,600727,鲁北化工,6.99,0.14,0.01,-0.14,0.43,0.86,0.43,0.13亿,4.40亿,30.73亿,82.17
23,24,600096,云天化,22.43,0.13,0.03,0.05,0.61,0.73,0.76,2.40亿,17.44亿,391.25亿,6.02
24,25,000059,华锦股份,7.6,0.13,0.01,0.13,0.74,0.67,1.84,0.90亿,15.99亿,121.56亿,17.78
25,26,000731,四川美丰,8.62,0.12,0.01,0.12,0.69,0.82,0.7,0.35亿,5.86亿,50.49亿,7.28
26,27,600313,农发种业,10.86,0.09,0.01,-0.09,1.93,0.63,1.48,2.23亿,10.67亿,115.88亿,122.55
27,28,002539,云图控股,12.04,0.08,0.01,-0.08,0.5,0.64,0.75,0.41亿,6.88亿,82.79亿,8.37
28,29,000422,湖北宜化,15.57,0.06,0.01,0.06,0.53,0.83,0.84,0.74亿,8.98亿,139.79亿,4.88
29,30,600470,六国化工,6.59,0.0,0.0,-0.15,0.62,0.81,0.76,0.21亿,5.22亿,34.37亿,13.02
30,31,600331,宏达股份,3.06,0.0,0.0,0.33,0.38,0.96,0.65,0.24亿,20.32亿,62.18亿,48.70
31,32,301256,华融化学,9.27,0.0,0.0,0.0,1.79,0.9,1.73,0.20亿,1.20亿,11.12亿,44.10
32,33,002237,恒邦股份,11.17,0.0,0.0,0.0,0.54,1.1,1.34,0.55亿,9.10亿,101.69亿,23.77
33,34,300072,海新能科,4.48,0.0,0.0,0.0,0.32,0.66,1.34,0.34亿,23.30亿,104.38亿,--
34,35,002999,天禾股份,9.67,0.0,0.0,-0.1,2.46,0.6,0.93,0.52亿,2.18亿,21.06亿,28.13
35,36,002758,浙农股份,15.31,0.0,0.0,0.0,2.2,0.76,1.18,0.65亿,1.92亿,29.42亿,14.07
36,37,002470,ST金正,2.05,0.0,0.0,0.0,0.2,0.99,0.98,0.13亿,31.25亿,64.07亿,--
37,38,002538,司尔特,8.4,0.0,0.0,-0.12,0.39,0.76,0.83,0.27亿,8.27亿,69.51亿,10.68
38,39,002545,东方铁塔,9.34,0.0,0.0,-0.11,0.26,0.72,0.96,0.27亿,11.30亿,105.51亿,12.21
39,40,300505,川金诺,24.83,-0.04,-0.01,0.04,1.86,0.78,1.53,0.77亿,1.65亿,40.96亿,14.79
40,41,003017,大洋生物,31.55,-0.06,-0.02,0.0,0.66,0.62,0.85,0.09亿,0.42亿,13.38亿,28.34
41,42,603227,雪峰科技,9.1,-0.11,-0.01,0.0,0.81,1.31,1.21,0.49亿,6.59亿,59.94亿,17.83
42,43,600251,冠农股份,9.01,-0.11,-0.01,0.0,0.42,0.75,1.0,0.29亿,7.77亿,70.01亿,19.97
43,44,300387,富邦股份,7.47,-0.13,-0.01,0.13,1.23,0.48,0.8,0.26亿,2.88亿,21.54亿,35.41
44,45,002170,芭田股份,6.18,-0.16,-0.01,0.0,0.8,0.56,1.13,0.35亿,7.08亿,43.77亿,49.63
45,46,603739,蔚蓝生物,14.53,-0.21,-0.03,0.0,0.17,0.56,1.03,0.06亿,2.52亿,36.68亿,50.74
46,47,000833,粤桂股份,7.57,-0.26,-0.02,0.0,1.41,0.78,1.45,0.40亿,3.78亿,28.62亿,11.55
47,48,001217,华尔泰,13.85,-0.29,-0.04,0.15,1.09,1.0,1.44,0.22亿,1.43亿,19.83亿,19.08
48,49,000707,双环科技,10.69,-0.47,-0.05,0.0,1.83,0.97,2.33,0.91亿,4.64亿,49.62亿,4.96
49,50,000830,鲁西化工,14.15,-0.63,-0.09,0.07,0.48,0.67,1.61,1.01亿,14.64亿,207.17亿,6.54
50,51,600277,亿利洁能,4.55,-0.66,-0.03,0.0,2.27,2.11,4.37,3.71亿,35.61亿,162.01亿,15.4
51,52,002466,天齐锂业,87.51,-0.81,-0.71,0.17,1.15,1.64,2.4,14.76亿,14.75亿,1290.41亿,6.74
