,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,601198,东兴证券,8.81,3.04,0.26,0.57,0.49,2.79,3.16,1.39亿,32.32亿,284.78亿,39.04
1,2,601995,中金公司,40.82,2.56,1.02,0.1,0.48,4.49,2.66,1.81亿,9.30亿,379.47亿,24.58
2,3,601066,中信建投,26.82,1.67,0.44,0.08,0.28,2.62,2.08,2.84亿,38.11亿,1022.21亿,24.24
3,4,002148,北纬科技,6.6,1.54,0.1,1.38,2.89,0.81,2.62,0.85亿,4.52亿,29.81亿,162.51
4,5,601881,中国银河,9.64,1.37,0.13,0.0,0.19,2.59,1.58,1.18亿,64.46亿,621.42亿,11.38
5,6,600061,国投资本,6.94,1.31,0.09,-0.14,0.2,2.2,2.04,0.86亿,64.25亿,445.92亿,15.62
6,7,300309,*ST吉艾,1.15,0.88,0.01,0.88,6.05,0.97,6.14,0.59亿,8.37亿,9.63亿,--
7,8,600683,京投发展,5.08,0.59,0.03,0.0,0.42,0.76,0.99,0.16亿,7.41亿,37.63亿,11.54
8,9,000959,首钢股份,3.96,0.51,0.02,-0.25,0.07,0.88,1.01,0.17亿,60.13亿,238.13亿,13.05
9,10,300688,创业黑马,19.55,0.46,0.09,-0.05,1.95,1.15,1.03,0.52亿,1.36亿,26.51亿,--
10,11,600266,城建发展,4.55,0.22,0.01,0.0,0.3,0.78,1.1,0.31亿,22.57亿,102.67亿,--
11,12,600100,同方股份,5.7,0.18,0.01,0.18,1.49,1.74,2.29,2.52亿,29.64亿,168.94亿,--
12,13,600658,电子城,5.18,0.0,0.0,-0.19,0.7,1.28,1.35,0.40亿,11.19亿,57.94亿,100.08
13,14,000609,中迪投资,5.92,0.0,0.0,0.0,0.6,0.64,0.84,0.10亿,2.92亿,17.29亿,--
14,15,000931,中关村,6.75,-0.29,-0.02,0.0,0.32,0.74,0.89,0.16亿,7.46亿,50.37亿,289.69
15,16,603888,新华网,19.71,-1.6,-0.32,-0.1,1.46,2.21,1.9,1.48亿,5.19亿,102.30亿,57.80
16,17,002383,合众思壮,8.11,-2.76,-0.23,0.12,4.18,2.75,2.76,1.94亿,5.71亿,46.30亿,264.10
