,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002310,东方园林,2.21,2.79,0.06,0.46,1.27,3.27,2.33,0.73亿,26.05亿,57.58亿,--
1,2,603716,塞力医疗,11.22,1.91,0.21,0.0,2.65,3.92,2.63,0.60亿,2.01亿,22.59亿,--
2,3,000900,现代投资,4.36,1.4,0.06,-0.23,0.35,1.72,1.86,0.23亿,15.18亿,66.17亿,11.01
3,4,000881,中广核技,8.39,1.21,0.1,0.36,0.95,3.43,2.65,0.62亿,7.76亿,65.11亿,28.16
4,5,000928,中钢国际,7.43,1.09,0.08,0.14,1.08,1.27,2.72,1.03亿,12.81亿,95.18亿,15.32
5,6,600587,新华医疗,29.7,0.75,0.22,0.03,1.18,0.74,2.65,1.41亿,4.03亿,119.83亿,21.85
6,7,601330,绿色动力,7.22,0.7,0.05,0.0,0.19,1.33,0.98,0.14亿,9.89亿,71.41亿,12.78
7,8,000685,中山公用,7.3,0.69,0.05,0.28,0.25,1.77,0.97,0.23亿,12.53亿,91.49亿,11.84
8,9,600008,首创环保,2.94,0.69,0.02,0.0,0.21,0.77,0.69,0.45亿,73.41亿,215.81亿,4.98
9,10,300867,圣元环保,18.82,0.59,0.11,0.05,0.76,0.92,1.34,0.22亿,1.54亿,29.03亿,24.10
10,11,603588,高能环境,10.91,0.55,0.06,0.55,0.43,2.44,3.32,0.70亿,14.86亿,162.09亿,20.71
11,12,000826,启迪环境,3.77,0.53,0.02,0.0,0.4,0.7,0.8,0.22亿,14.31亿,53.93亿,--
12,13,002672,东江环保,6.09,0.49,0.03,-0.16,0.24,1.31,0.49,0.10亿,6.79亿,41.35亿,--
13,14,300422,博世科,6.24,0.48,0.03,-0.32,0.31,0.85,1.29,0.08亿,3.84亿,23.96亿,--
14,15,601200,上海环境,9.46,0.21,0.02,-0.11,0.18,1.05,0.85,0.19亿,11.22亿,106.13亿,17.52
15,16,300815,玉禾田,16.89,0.18,0.03,0.24,0.23,0.65,0.77,0.13亿,3.23亿,54.58亿,11.04
16,17,300929,华骐环保,12.55,0.16,0.02,-0.08,0.65,0.84,0.64,0.08亿,0.95亿,11.97亿,29.50
17,18,300140,中环装备,8.18,0.12,0.01,0.0,1.01,1.01,1.96,0.35亿,4.23亿,34.63亿,--
18,19,300664,鹏鹞环保,5.53,0.0,0.0,-0.36,0.32,0.94,0.72,0.12亿,7.04亿,38.95亿,11.12
19,20,300385,雪浪环境,6.54,-0.15,-0.01,0.15,0.15,0.55,0.92,0.03亿,2.87亿,18.79亿,--
20,21,301175,中科环保,6.49,-0.15,-0.01,0.15,0.93,0.61,0.61,0.20亿,3.41亿,22.14亿,41.05
21,22,000546,金圆股份,12.64,-0.16,-0.02,0.0,0.77,1.07,1.26,0.69亿,7.11亿,89.93亿,32.93
22,23,300055,万邦达,9.47,-0.32,-0.03,0.21,0.27,0.96,1.37,0.16亿,6.24亿,59.12亿,58.08
23,24,300187,永清环保,6.27,-0.32,-0.02,-0.16,0.21,0.56,1.43,0.09亿,6.45亿,40.43亿,55.81
24,25,000035,中国天楹,5.57,-0.36,-0.02,-0.18,0.3,0.85,0.9,0.41亿,24.53亿,136.65亿,83.84
25,26,301049,超越科技,23.74,-0.38,-0.09,0.17,1.25,0.67,1.18,0.08亿,0.26亿,6.10亿,219.72
26,27,002496,辉丰股份,2.49,-0.4,-0.01,0.0,0.56,0.6,0.8,0.16亿,11.40亿,28.40亿,--
27,28,002483,润邦股份,6.11,-0.49,-0.03,-0.16,0.7,0.49,1.47,0.38亿,8.85亿,54.09亿,25.61
28,29,002973,侨银股份,11.82,-0.51,-0.06,-0.09,0.13,0.9,1.01,0.06亿,4.09亿,48.30亿,17.06
29,30,301235,华康医疗,39.2,-1.56,-0.62,0.0,4.13,2.03,3.77,0.81亿,0.50亿,19.55亿,55.13
30,31,002140,东华科技,11.09,-1.86,-0.21,-0.18,1.53,0.91,2.65,0.92亿,5.38亿,59.70亿,26.82
31,32,300500,启迪设计,17.23,-2.21,-0.39,0.17,1.77,1.07,3.18,0.50亿,1.64亿,28.31亿,36.11
32,33,002514,宝馨科技,12.98,-2.41,-0.32,-0.23,3.77,0.77,1.88,2.72亿,5.54亿,71.91亿,1208.33
