,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,301017,漱玉平民,21.8,7.02,1.43,-0.23,5.78,5.34,5.89,1.37亿,1.09亿,23.83亿,50.98
1,2,002162,悦心健康,5.52,5.14,0.27,0.0,9.29,7.77,10.29,4.81亿,9.26亿,51.13亿,--
2,3,002728,特一药业,22.22,4.81,1.02,-0.09,13.73,4.51,7.31,4.82亿,1.60亿,35.51亿,39.06
3,4,600594,益佰制药,5.7,3.83,0.21,0.0,3.02,4.58,4.55,1.35亿,7.92亿,45.14亿,17.27
4,5,300753,爱朋医疗,18.66,3.38,0.61,-0.11,2.67,3.19,5.37,0.37亿,0.75亿,14.00亿,--
5,6,002762,金发拉比,12.87,2.96,0.37,-0.39,16.75,2.8,6.24,4.31亿,2.01亿,25.88亿,331.49
6,7,600129,太极集团,35.45,2.9,1.0,0.31,0.76,2.06,3.51,1.48亿,5.57亿,197.42亿,59.49
7,8,600200,江苏吴中,9.34,2.86,0.26,0.11,4.24,2.14,4.51,2.77亿,7.08亿,66.15亿,--
8,9,002435,长江健康,5.65,2.73,0.15,0.18,1.91,3.18,4.73,1.30亿,12.03亿,67.94亿,48.80
9,10,002626,金达威,27.19,2.18,0.58,-0.55,7.35,3.95,6.16,12.25亿,6.10亿,165.82亿,35.67
10,11,000756,新华制药,27.0,2.04,0.54,0.04,5.09,3.72,3.55,6.06亿,4.41亿,118.96亿,46.50
11,12,002172,澳洋健康,4.39,1.86,0.08,0.23,3.87,4.66,4.64,1.30亿,7.65亿,33.60亿,101.50
12,13,603222,济民医疗,11.23,1.81,0.2,0.09,2.29,2.06,4.17,1.22亿,4.77亿,53.57亿,55.41
13,14,002390,信邦制药,5.11,1.79,0.09,0.0,1.64,3.06,1.99,1.52亿,18.30亿,93.53亿,30.91
14,15,000150,*ST宜康,1.14,1.79,0.02,0.0,2.09,1.08,4.46,0.19亿,8.06亿,9.19亿,--
15,16,688363,华熙生物,129.02,1.77,2.25,0.02,1.15,1.38,2.19,2.93亿,1.98亿,254.93亿,68.72
16,17,002173,创新医疗,7.48,1.77,0.13,-0.13,4.05,1.71,3.67,1.14亿,3.75亿,28.07亿,--
17,18,300255,常山药业,5.91,1.72,0.1,0.17,0.38,1.8,1.89,0.21亿,9.32亿,55.06亿,61.59
18,19,002950,奥美医疗,13.12,1.71,0.22,0.0,1.18,2.44,2.79,0.53亿,3.44亿,45.14亿,31.65
19,20,000919,金陵药业,8.41,1.57,0.13,0.0,1.48,2.97,2.42,0.63亿,5.04亿,42.34亿,34.69
20,21,600763,通策医疗,157.88,1.42,2.21,0.36,0.74,1.54,4.97,3.68亿,3.21亿,506.23亿,73.70
21,22,603858,步长制药,20.46,1.39,0.28,0.1,0.54,1.92,2.18,1.22亿,11.06亿,226.30亿,13.40
22,23,300015,爱尔眼科,33.03,1.38,0.45,0.06,0.18,1.08,2.46,3.49亿,58.03亿,1916.74亿,75.42
23,24,000538,云南白药,57.32,1.36,0.77,-0.02,0.28,2.49,1.86,2.68亿,16.85亿,965.61亿,33.51
24,25,600704,物产中大,4.85,1.25,0.06,0.0,0.32,1.56,1.46,0.79亿,50.62亿,245.52亿,5.88
25,26,000908,景峰医药,3.33,1.22,0.04,0.0,1.12,2.1,1.52,0.29亿,7.82亿,26.04亿,--
26,27,301033,迈普医学,48.13,1.16,0.55,0.56,2.16,0.81,3.13,0.38亿,0.37亿,17.83亿,79.16
27,28,002898,赛隆药业,12.28,1.07,0.13,0.08,2.6,1.81,1.73,0.32亿,1.01亿,12.40亿,955.17
28,29,300238,冠昊生物,11.59,1.05,0.12,0.0,1.36,1.96,2.18,0.42亿,2.65亿,30.73亿,--
29,30,000615,奥园美谷,7.78,1.04,0.08,0.0,1.54,1.1,2.08,0.91亿,7.62亿,59.25亿,--
30,31,000790,华神科技,4.97,1.02,0.05,0.2,1.42,2.04,1.83,0.44亿,6.19亿,30.77亿,90.34
31,32,603630,拉芳家化,15.48,0.98,0.15,-0.07,0.92,1.08,1.5,0.32亿,2.25亿,34.86亿,42.07
32,33,300896,爱美客,623.3,0.95,5.89,0.04,0.44,0.87,1.86,2.44亿,0.89亿,552.10亿,101.94
33,34,000718,苏宁环球,3.34,0.91,0.03,-0.3,0.26,1.16,0.91,0.20亿,22.90亿,76.48亿,15.14
34,35,002038,双鹭药业,9.03,0.89,0.08,0.0,0.53,1.44,1.79,0.41亿,8.51亿,76.88亿,29.24
35,36,600267,海正药业,11.3,0.8,0.09,0.0,0.67,1.97,1.52,0.83亿,10.92亿,123.44亿,30.22
36,37,600420,国药现代,10.25,0.79,0.08,-0.1,0.56,1.76,2.46,0.59亿,10.27亿,105.27亿,19.17
37,38,601886,江河集团,7.94,0.76,0.06,-0.13,0.15,0.84,1.52,0.13亿,11.33亿,90.07亿,15.07
38,39,600196,复星医药,34.32,0.73,0.25,-0.03,0.48,1.69,0.94,3.47亿,21.18亿,726.80亿,28.02
39,40,002524,光正眼科,7.51,0.54,0.04,0.13,0.73,0.84,1.21,0.28亿,5.09亿,38.24亿,21.95
40,41,000813,德展健康,3.9,0.52,0.02,-0.26,0.84,1.32,2.32,0.73亿,22.18亿,86.48亿,98.48
41,42,301258,富士莱,45.37,0.49,0.22,0.09,2.82,0.98,1.77,0.29亿,0.23亿,10.40亿,24.54
