,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300288,朗玛信息,14.36,19.17,2.31,-0.69,22.78,10.59,14.69,7.87亿,2.52亿,36.12亿,60.12
1,2,300937,药易购,34.17,12.11,3.69,0.0,19.16,7.21,11.42,2.61亿,0.41亿,13.91亿,146.13
2,3,000411,英特集团,13.65,9.99,1.24,0.0,2.95,4.29,10.23,1.18亿,3.01亿,41.06亿,19.76
3,4,301017,漱玉平民,21.99,7.95,1.62,-0.05,6.23,4.56,5.89,1.48亿,1.09亿,24.04亿,51.42
4,5,300181,佐力药业,12.69,6.64,0.79,-0.31,3.19,2.97,7.23,2.41亿,6.09亿,77.23亿,32.73
5,6,600557,康缘药业,26.34,6.12,1.52,-0.08,2.47,2.7,10.31,3.75亿,5.76亿,151.83亿,41.05
6,7,002727,一心堂,33.19,5.77,1.81,0.06,6.95,11.77,4.91,9.44亿,3.98亿,132.20亿,21.9
7,8,002603,以岭药业,31.0,5.62,1.65,0.07,7.77,5.01,7.43,32.53亿,13.76亿,426.56亿,27.46
8,9,600833,第一医药,12.72,5.38,0.65,0.0,5.7,6.63,7.79,1.62亿,2.23亿,28.38亿,28.55
9,10,603939,益丰药房,59.49,4.57,2.6,0.15,2.27,7.99,6.12,10.09亿,7.19亿,427.50亿,39.1
10,11,600572,康恩贝,5.07,4.32,0.21,0.0,1.99,3.89,4.53,2.54亿,25.63亿,129.96亿,42.61
11,12,002462,嘉事堂,15.66,4.12,0.62,0.0,4.62,6.19,4.85,2.10亿,2.91亿,45.58亿,13.86
12,13,603233,大参林,38.23,4.03,1.48,0.13,1.76,5.38,6.04,6.54亿,9.48亿,362.33亿,29.48
13,14,603883,老百姓,39.86,3.83,1.47,0.4,2.03,7.34,7.03,4.87亿,5.82亿,232.12亿,28.68
14,15,605266,健之佳,85.29,3.46,2.85,-0.41,5.5,8.05,6.89,2.85亿,0.58亿,49.86亿,32.91
15,16,000950,重药控股,5.52,3.37,0.18,0.0,1.29,3.74,3.18,1.22亿,17.28亿,95.40亿,9.26
16,17,603368,柳药集团,21.88,3.35,0.71,0.05,1.75,2.19,5.48,1.39亿,3.62亿,79.26亿,10.33
17,18,600056,中国医药,15.62,3.24,0.49,0.13,4.4,4.34,3.83,10.23亿,14.95亿,233.57亿,22.86
18,19,000756,新华制药,27.27,3.06,0.81,0.29,5.57,3.22,3.55,6.62亿,4.41亿,120.15亿,46.97
19,20,600993,马应龙,25.49,2.91,0.72,-0.24,1.33,1.98,3.19,1.45亿,4.30亿,109.69亿,19.81
20,21,600107,美尔雅,6.81,2.87,0.19,0.15,3.04,4.6,4.83,0.74亿,3.60亿,24.52亿,--
21,22,600511,国药股份,30.58,2.69,0.8,0.16,0.97,3.39,4.4,1.64亿,5.53亿,169.21亿,12.09
22,23,600998,九州通,14.19,2.46,0.34,0.07,0.91,4.38,4.04,2.43亿,18.74亿,265.90亿,11.47
23,24,600713,南京医药,5.44,2.45,0.13,0.0,2.27,4.95,3.01,1.29亿,10.42亿,56.66亿,11.37
24,25,301331,恩威医药,43.77,2.36,1.01,0.57,10.2,2.34,3.2,0.78亿,0.18亿,7.68亿,46.56
25,26,002788,鹭燕医药,9.13,2.24,0.2,0.0,2.05,3.5,2.58,0.71亿,3.79亿,34.64亿,10.61
26,27,000705,浙江震元,8.69,2.23,0.19,0.12,4.58,3.6,2.59,1.12亿,2.82亿,24.49亿,42.19
27,28,301126,达嘉维康,17.57,2.15,0.37,0.29,6.92,3.64,3.37,1.32亿,1.08亿,19.04亿,51.47
28,29,002589,瑞康医药,4.28,2.15,0.09,0.23,3.6,3.39,2.62,1.78亿,11.58亿,49.57亿,79.07
29,30,002349,精华制药,12.45,1.97,0.24,0.24,3.13,2.62,3.11,3.15亿,8.11亿,101.00亿,45.02
30,31,600332,白云山,30.77,1.85,0.56,0.03,0.57,2.62,2.38,2.48亿,14.06亿,432.59亿,10.80
31,32,600479,千金药业,10.47,1.85,0.19,-0.1,1.1,2.12,2.14,0.48亿,4.19亿,43.82亿,18.04
32,33,003020,立方制药,39.19,1.79,0.69,0.21,0.79,0.88,2.21,0.16亿,0.51亿,19.94亿,21.11
33,34,000989,九芝堂,9.6,1.59,0.15,-0.1,1.08,1.64,2.12,0.68亿,6.58亿,63.17亿,15.75
34,35,301015,百洋医药,28.28,1.25,0.35,0.36,3.02,2.04,6.19,1.02亿,1.18亿,33.48亿,32.41
35,36,601607,上海医药,19.09,1.22,0.23,0.0,0.48,2.41,1.7,1.76亿,19.26亿,367.63亿,11.00
36,37,600628,新世界,7.2,1.12,0.08,0.0,0.39,2.71,1.97,0.18亿,6.47亿,46.58亿,--
37,38,300110,华仁药业,4.53,1.12,0.05,0.22,1.43,1.77,2.23,0.76亿,11.81亿,53.48亿,32.60
38,39,000788,北大医药,7.93,0.89,0.07,-0.13,1.51,1.56,1.4,0.71亿,5.96亿,47.26亿,77.44
39,40,002793,罗欣药业,8.17,0.86,0.07,0.0,0.51,1.16,1.24,0.25亿,5.97亿,48.75亿,--
40,41,300267,尔康制药,3.76,0.8,0.03,0.27,1.69,1.06,1.34,0.90亿,14.21亿,53.43亿,160.18
41,42,300146,汤臣倍健,22.87,0.62,0.14,0.0,0.53,1.44,1.94,1.37亿,11.29亿,258.31亿,19.68
42,43,002262,恩华药业,26.0,0.58,0.15,-0.08,0.42,0.8,2.17,0.97亿,8.82亿,229.26亿,26.48
43,44,301087,可孚医疗,38.4,0.55,0.21,0.03,1.42,1.15,1.21,0.48亿,0.88亿,33.77亿,35.85
44,45,300626,华瑞股份,9.16,0.55,0.05,0.0,0.94,1.82,1.87,0.15亿,1.77亿,16.24亿,69.95
45,46,002198,嘉应制药,8.0,0.5,0.04,0.13,1.16,0.87,2.01,0.47亿,5.08亿,40.60亿,136.80
46,47,300003,乐普医疗,24.16,0.42,0.1,0.12,0.27,0.69,0.96,1.04亿,16.14亿,389.98亿,18.83
47,48,000963,华东医药,49.78,0.16,0.08,0.1,0.15,0.56,1.61,1.33亿,17.50亿,871.00亿,33.05
48,49,600518,ST康美,2.21,0.0,0.0,0.0,0.27,1.06,1.81,0.83亿,136.13亿,300.85亿,--
49,50,002758,浙农股份,15.31,0.0,0.0,0.0,2.2,0.76,1.18,0.65亿,1.92亿,29.42亿,14.07
50,51,300151,昌红科技,22.89,-0.09,-0.02,-0.09,0.66,0.94,1.7,0.48亿,3.18亿,72.79亿,72.61
51,52,002433,ST太安,4.42,-0.23,-0.01,0.0,0.52,0.74,1.35,0.17亿,7.44亿,32.90亿,--
52,53,002411,*ST必康,7.23,-1.63,-0.12,0.0,0.56,0.55,2.04,0.62亿,15.32亿,110.78亿,27.28
53,54,301263,泰恩康,36.84,-3.05,-1.16,0.22,5.03,1.15,5.37,0.99亿,0.54亿,19.77亿,51.36
