,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300166,东方国信,10.21,2.82,0.28,0.49,10.9,6.78,6.14,10.38亿,9.19亿,93.87亿,81.68
1,2,300379,东方通,25.1,2.24,0.55,0.52,1.82,2.98,3.18,1.96亿,4.33亿,108.72亿,--
2,3,301236,软通动力,40.7,1.8,0.72,0.32,6.36,4.72,4.1,2.15亿,0.82亿,33.37亿,28.84
3,4,688039,当虹科技,46.75,1.3,0.6,0.06,3.35,3.34,5.37,0.93亿,0.59亿,27.47亿,--
4,5,002439,启明星辰,30.0,1.04,0.31,0.2,0.64,1.69,3.64,1.38亿,7.24亿,217.32亿,--
5,6,300598,诚迈科技,56.79,1.01,0.57,0.6,1.47,1.67,1.9,1.33亿,1.60亿,90.90亿,--
6,7,300047,天源迪科,8.2,0.61,0.05,0.24,8.72,2.14,6.87,3.86亿,5.35亿,43.88亿,92.04
7,8,300036,超图软件,20.8,0.29,0.06,0.05,0.81,1.59,2.27,0.72亿,4.25亿,88.31亿,122.74
8,9,300496,中科创达,100.09,0.19,0.19,0.29,0.71,1.44,1.8,2.35亿,3.35亿,334.87亿,53.73
9,10,002065,东华软件,6.72,-0.15,-0.01,0.0,0.5,1.46,1.34,0.97亿,29.04亿,195.16亿,33.41
10,11,688058,宝兰德,52.6,-0.47,-0.25,0.42,1.56,1.31,2.42,0.33亿,0.41亿,21.51亿,--
11,12,688561,奇安信,76.95,-0.72,-0.56,0.01,0.3,1.52,4.32,1.06亿,4.61亿,354.43亿,--
12,13,688509,正元地信,4.68,-0.85,-0.04,-0.21,0.7,2.06,1.48,0.12亿,3.76亿,17.61亿,--
13,14,300369,绿盟科技,12.72,-0.94,-0.12,0.08,1.48,3.34,3.74,1.39亿,7.35亿,93.44亿,--
14,15,300608,思特奇,10.92,-1.18,-0.13,0.0,4.29,1.42,3.44,0.92亿,1.96亿,21.35亿,--
15,16,300339,润和软件,25.97,-1.25,-0.33,0.27,3.4,1.5,2.36,6.81亿,7.71亿,200.35亿,128.07
16,17,300674,宇信科技,18.04,-1.48,-0.27,0.11,2.26,2.35,5.3,2.88亿,7.03亿,126.87亿,85.49
17,18,300366,创意信息,12.14,-1.54,-0.19,0.25,3.29,1.57,2.11,1.97亿,4.96亿,60.17亿,--
18,19,688258,卓易信息,48.9,-2.49,-1.25,0.0,1.08,1.81,2.39,0.31亿,0.59亿,28.79亿,101.08
