,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,002674,兴业科技,12.16,1.84,0.22,0.08,0.38,1.84,2.6,0.13亿,2.89亿,35.13亿,20.2
1,2,002182,云海金属,23.5,1.82,0.42,0.04,1.53,1.98,2.3,2.00亿,5.57亿,130.94亿,19.68
2,3,600166,福田汽车,3.53,1.73,0.06,-0.28,0.48,1.15,2.59,1.10亿,65.75亿,232.10亿,87.98
3,4,002906,华阳集团,36.3,1.62,0.58,-0.11,0.74,1.65,3.02,1.27亿,4.75亿,172.42亿,48.54
4,5,688007,光峰科技,27.61,1.36,0.37,-0.43,0.5,1.49,3.71,0.63亿,4.57亿,126.21亿,103.61
5,6,600104,上汽集团,15.07,0.87,0.13,-0.07,0.09,2.27,1.07,1.59亿,116.83亿,1760.70亿,10.44
6,7,600152,维科技术,13.44,0.82,0.11,-0.22,2.77,1.66,2.93,1.94亿,5.25亿,70.55亿,411.47
7,8,300180,华峰超纤,4.29,0.7,0.03,0.0,0.34,1.18,1.64,0.21亿,14.33亿,61.46亿,214.77
8,9,601238,广汽集团,11.72,0.6,0.07,-0.09,0.16,1.19,1.03,1.41亿,73.28亿,858.83亿,11.44
9,10,600006,东风汽车,6.08,0.5,0.03,0.0,0.28,0.98,0.99,0.35亿,20.00亿,121.60亿,93.03
10,11,002363,隆基机械,8.27,0.49,0.04,0.0,1.74,0.77,3.16,0.60亿,4.16亿,34.41亿,72.18
11,12,300041,回天新材,19.2,0.47,0.09,-0.05,1.25,1.89,2.88,1.00亿,4.19亿,80.52亿,23.83
12,13,000625,长安汽车,13.71,0.44,0.06,-0.07,0.61,1.21,1.03,6.37亿,76.04亿,1042.57亿,14.79
13,14,600081,东风科技,11.43,0.35,0.04,0.09,0.3,1.05,0.97,0.11亿,3.14亿,35.84亿,57.17
14,15,000550,江铃汽车,15.35,0.26,0.04,-0.13,0.22,0.9,0.72,0.17亿,5.18亿,79.58亿,13.86
15,16,600418,江淮汽车,16.37,0.24,0.04,-0.12,1.07,0.84,1.9,3.32亿,18.93亿,309.94亿,--
16,17,002284,亚太股份,8.44,0.24,0.02,0.0,0.6,1.02,1.78,0.35亿,6.86亿,57.93亿,114.93
17,18,002355,兴民智通,4.71,0.0,0.0,-0.21,0.55,0.69,1.7,0.16亿,6.17亿,29.07亿,--
18,19,600733,北汽蓝谷,6.6,0.0,0.0,0.15,0.37,1.15,1.06,0.96亿,39.12亿,258.21亿,--
