,序号,代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
0,1,300807,天迈科技,27.5,5.65,1.47,0.0,10.22,4.94,11.56,1.35亿,0.49亿,13.38亿,--
1,2,002405,四维图新,13.53,4.0,0.52,0.15,2.36,2.01,5.53,7.17亿,22.98亿,310.91亿,--
2,3,300342,天银机电,10.01,2.88,0.28,0.2,3.31,2.78,7.61,1.38亿,4.16亿,41.67亿,79.04
3,4,300075,数字政通,21.44,2.78,0.58,-0.33,5.84,1.59,4.65,5.11亿,4.15亿,89.01亿,45.87
4,5,300036,超图软件,21.22,2.31,0.48,0.19,2.04,1.9,3.76,1.82亿,4.25亿,90.09亿,125.22
5,6,002544,普天科技,21.42,2.0,0.42,0.09,0.83,1.98,3.76,1.17亿,6.67亿,142.79亿,90.54
6,7,600198,大唐电信,7.2,1.98,0.14,0.0,1.05,1.54,3.12,0.66亿,8.80亿,63.39亿,--
7,8,300101,振芯科技,28.84,1.87,0.53,-0.21,1.02,1.75,3.74,1.66亿,5.62亿,162.20亿,57.32
8,9,002465,海格通信,9.47,1.83,0.17,-0.11,0.71,1.53,2.8,1.51亿,22.65亿,214.50亿,41.40
9,10,002232,启明信息,15.34,1.79,0.27,0.99,1.72,1.09,3.19,1.06亿,4.09亿,62.67亿,69.62
10,11,688418,震有科技,13.16,1.62,0.21,-0.08,1.17,1.68,4.25,0.20亿,1.33亿,17.45亿,--
11,12,300366,创意信息,12.52,1.54,0.19,0.24,6.96,1.58,5.11,4.24亿,4.96亿,62.06亿,--
12,13,688270,臻镭科技,109.6,1.49,1.61,-0.04,0.83,0.9,4.39,0.56亿,0.62亿,67.83亿,125.70
13,14,002413,雷科防务,5.06,1.4,0.07,0.2,1.09,1.29,1.6,0.68亿,12.33亿,62.40亿,--
14,15,688568,中科星图,70.44,1.4,0.97,0.19,0.63,1.24,2.88,0.57亿,1.32亿,92.90亿,181.90
15,16,300469,信息发展,15.26,1.4,0.21,-0.39,1.27,2.08,3.46,0.36亿,1.88亿,28.70亿,--
16,17,688066,航天宏图,91.98,1.33,1.21,0.0,0.37,1.03,3.04,0.61亿,1.82亿,167.03亿,154.16
17,18,603703,盛洋科技,17.09,1.24,0.21,0.06,1.03,1.82,2.55,0.52亿,2.99亿,51.03亿,170.98
18,19,002296,辉煌科技,9.11,1.11,0.1,0.11,3.24,1.07,2.89,1.01亿,3.46亿,31.51亿,26.34
19,20,300900,广联航空,33.64,1.02,0.34,0.03,1.99,1.08,2.46,0.82亿,1.22亿,41.13亿,70.50
20,21,002025,航天电器,62.15,0.97,0.6,-0.06,0.27,0.69,1.87,0.74亿,4.53亿,281.27亿,47.74
21,22,300324,旋极信息,3.24,0.94,0.03,0.0,1.54,0.8,2.18,0.84亿,16.96亿,54.95亿,--
22,23,603528,多伦科技,7.63,0.93,0.07,-0.26,0.61,1.35,2.91,0.29亿,6.24亿,47.62亿,81.36
23,24,002357,富临运业,6.85,0.88,0.06,0.15,2.78,1.04,1.92,0.59亿,3.13亿,21.47亿,23.48
24,25,002446,盛路通信,10.29,0.88,0.09,-0.1,1.88,1.26,4.12,1.61亿,8.43亿,86.79亿,36.67
25,26,002583,海能达,6.03,0.84,0.05,0.17,0.96,1.02,2.34,0.70亿,12.27亿,74.00亿,23.28
26,27,300287,飞利信,4.2,0.72,0.03,-0.24,3.27,1.23,2.4,1.76亿,12.84亿,53.94亿,--
27,28,600968,海油发展,3.25,0.62,0.02,-0.31,0.21,1.25,1.86,0.70亿,101.65亿,330.37亿,13.46
28,29,600990,四创电子,33.51,0.57,0.19,-0.03,0.56,1.09,1.86,0.39亿,2.07亿,69.34亿,--
29,30,300672,国科微,92.33,0.57,0.52,-0.01,1.41,0.99,3.17,2.26亿,1.74亿,160.90亿,127.44
30,31,300102,乾照光电,7.19,0.56,0.04,0.14,0.7,1.32,2.52,0.45亿,9.01亿,64.82亿,--
31,32,300098,高新兴,3.71,0.54,0.02,-0.27,1.41,1.16,1.9,0.79亿,15.21亿,56.43亿,--
32,33,300322,硕贝德,8.6,0.47,0.04,0.0,1.04,0.94,1.99,0.39亿,4.39亿,37.78亿,--
33,34,000409,云鼎科技,7.8,0.39,0.03,-0.13,1.59,1.14,1.67,0.52亿,4.23亿,33.02亿,231.20
34,35,000547,航天发展,11.26,0.36,0.04,-0.18,1.34,1.15,2.23,2.38亿,15.86亿,178.53亿,73.88
35,36,000058,深赛格,7.09,0.28,0.02,0.0,0.56,0.77,1.41,0.39亿,9.85亿,69.81亿,340.59
36,37,600118,中国卫星,24.29,0.25,0.06,0.04,0.45,0.94,1.11,1.28亿,11.82亿,287.23亿,75.99
37,38,300013,新宁物流,4.73,0.21,0.01,-0.21,1.12,0.83,1.27,0.24亿,4.46亿,21.10亿,--
38,39,002115,三维通信,5.65,0.18,0.01,0.0,1.83,1.06,1.95,0.71亿,6.94亿,39.20亿,38.88
39,40,002151,北斗星通,31.65,0.16,0.05,-0.03,1.0,1.14,1.71,1.23亿,3.90亿,123.46亿,104.49
40,41,600877,声光电科,15.51,0.13,0.02,-0.13,0.42,0.88,1.29,0.53亿,8.14亿,126.18亿,115.36
41,42,688333,铂力特,153.51,0.06,0.09,0.1,0.33,0.78,2.14,0.45亿,0.89亿,137.28亿,--
42,43,000818,航锦科技,33.47,0.03,0.01,0.18,0.32,1.04,1.97,0.73亿,6.76亿,226.39亿,93.47
43,44,688682,霍莱沃,87.3,0.0,0.0,0.01,0.49,0.68,2.83,0.13亿,0.30亿,26.45亿,175.29
44,45,603131,上海沪工,12.27,0.0,0.0,0.0,0.41,1.09,0.81,0.16亿,3.18亿,39.02亿,48.01
45,46,300735,光弘科技,10.49,0.0,0.0,0.0,0.54,0.93,1.72,0.42亿,7.53亿,78.96亿,30.29
46,47,002535,ST林重,2.94,0.0,0.0,0.0,1.18,0.76,1.7,0.20亿,5.71亿,16.78亿,188.53
47,48,300136,信维通信,19.06,-0.05,-0.01,0.0,1.09,0.81,1.78,1.71亿,8.24亿,156.97亿,23.00
48,49,300045,华力创通,8.13,-0.12,-0.01,0.25,2.09,0.65,1.6,0.83亿,4.93亿,40.06亿,--
49,50,300123,亚光科技,7.05,-0.14,-0.01,-0.14,0.96,0.68,2.27,0.67亿,9.88亿,69.63亿,--
50,51,600345,长江通信,18.47,-0.27,-0.05,0.05,0.72,1.05,2.16,0.26亿,1.98亿,36.57亿,21.32
51,52,300177,中海达,7.14,-0.28,-0.02,0.28,1.03,0.86,0.98,0.45亿,6.06亿,43.29亿,1526.44
52,53,000066,中国长城,13.9,-0.29,-0.04,0.36,3.67,2.13,5.74,15.72亿,31.47亿,437.40亿,--
53,54,300590,移为通信,11.98,-0.33,-0.04,0.0,2.1,0.88,2.25,0.84亿,3.38亿,40.49亿,29.55
54,55,300965,恒宇信通,50.14,-0.34,-0.17,0.0,0.65,0.64,1.41,0.05亿,0.16亿,8.24亿,--
55,56,300252,金信诺,8.39,-0.36,-0.03,0.0,0.74,0.68,1.31,0.28亿,4.42亿,37.11亿,97.63
56,57,002829,星网宇达,39.19,-0.41,-0.16,0.0,1.02,0.9,1.4,0.41亿,1.03亿,40.23亿,43.18
